fold	target size	expected intersection ratio in top n
1	0	0.9784675147698284
2	0	0.9796508291411024
3	0	0.9795047936177328
4	0	0.9791280189530003
5	0	0.9778583990606615
1	1	0.9734640034173103
2	1	0.9746882413138972
3	1	0.9744884758928718
4	1	0.9743674267554797
5	1	0.9727613945987005
1	2	0.9666972124914253
2	2	0.9681237216946187
3	2	0.9677791973018374
4	2	0.967707091271419
5	2	0.9658974935696927
1	5	0.9278568875438992
2	5	0.9299711349850978
3	5	0.9289389577749991
4	5	0.9301104493299431
5	5	0.9281356829123745
1	10	0.7249433143096877
2	10	0.7274448644712784
3	10	0.7242658827701304
4	10	0.7253636585489225
5	10	0.7241548040219358
1	20	0.4190847033673991
2	20	0.4195255270272027
3	20	0.4186405923046235
4	20	0.41932933062712696
5	20	0.41881997702308066
1	50	0.18673218944054992
2	50	0.18684920288279175
3	50	0.18662522540586757
4	50	0.1867864078591912
5	50	0.18659930220020354
1	100	0.09731788902272705
2	100	0.09737024725882398
3	100	0.09733385989476395
4	100	0.09733041941054887
5	100	0.09730399666072559
1	200	0.04976484946083017
2	200	0.04980534862918972
3	200	0.049778743168735776
4	200	0.04978598757113601
5	200	0.04977072179504285
1	500	0.020198872358103467
2	500	0.020202863640096616
3	500	0.0201980487688379
4	500	0.020200002306849305
5	500	0.020194520211345213
1	1000	0.01019937892308604
2	1000	0.010200141607117953
3	1000	0.010199380396926666
4	1000	0.010199707413554726
5	1000	0.010198987485094286
