target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	2.5852011431612192E-216	1.6861416217233288E-174	4.86719495732734E-140	4.442008976939169E-180
500	Popularity	iMF (test)	NaN	6.4365454351417975E-143	5.793321449058269E-132	2.5433413315213666E-118	2.3115114966582825E-143
500	Popularity	Random	NaN	2.3398392615055004E-286	9.875456732090543E-309	1.4556210309727418E-293	0.0
500	Popularity	Normalized kNN (full)	0.0	7.50896577835388E-38	9.065025926515471E-29	1.50971907105104E-26	2.4752639295645515E-32
500	Popularity	Normalized kNN (test)	NaN	7.096387365252876E-302	0.0	8.255458564594407E-301	0.0
500	Popularity	kNN (full)	NaN	2.5210714062875644E-201	2.754970062090447E-175	1.3821731771398939E-145	2.0541476150007342E-182
500	Popularity	Average Rating	NaN	1.2832222941944734E-290	1.1425568053679942E-296	2.2404021932016722E-275	1.04E-321
500	Popularity	iMF (full)	NaN	4.315908296175439E-204	1.1501811445639407E-164	1.906710687039994E-142	2.474552688597436E-174
20	Popularity	Random	NaN	3.5686410764189077E-202	2.9151757136245877E-142	2.5048472100607826E-132	4.197747256723295E-155
20	Popularity	Normalized kNN (test)	NaN	4.773855923907834E-6	1.3457127163458247E-7	2.8666256649953344E-9	5.777819302675969E-9
20	Popularity	iMF (full)	NaN	2.0E-323	2.7410268330396464E-215	2.9995366079994E-218	4.5096892056156534E-238
20	Popularity	iMF (test)	NaN	4.743560395561803E-304	1.0249494444044198E-225	3.1207787258578017E-232	4.3078518912084577E-252
20	Popularity	kNN (test)	NaN	3.95886206120196E-288	1.6604623379203383E-219	1.1692787546583327E-211	3.5544981906487536E-237
20	Popularity	kNN (full)	1.1355527761559622E-32	1.666746959145872E-236	5.4936865413390975E-174	8.951153116152082E-163	4.8565513646629415E-188
20	Popularity	Average Rating	NaN	2.79329463591227E-76	3.377142882708418E-11	1.0405216018743028E-8	1.6205051854313023E-11
20	Popularity	Normalized kNN (full)	0.0	2.8373756569104917E-61	7.837583849121051E-243	7.560101001265484E-269	2.966093052583501E-280
20	Random	Normalized kNN (test)	NaN	3.3046375093870445E-181	1.9492014693570242E-216	6.06403327428951E-192	1.0980400718590455E-229
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	1.1355527761559622E-32	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	1.468483406756824E-69	1.2440137804866308E-111	1.2813311938101102E-91	1.8771036358566963E-115
20	Random	Normalized kNN (full)	0.0	6.990895535494425E-54	1.04140852528537E-6	3.995357534596018E-7	6.686074552749442E-8
50	Popularity	Normalized kNN (full)	0.0	2.6312615415157147E-38	1.727668218520113E-157	3.2673222685412277E-161	5.7201226040087375E-182
50	Popularity	iMF (full)	NaN	1.6587149482575233E-207	1.0823251201462638E-203	1.4580111267251845E-192	1.0387672779749345E-222
50	Popularity	iMF (test)	NaN	1.8900106727192452E-168	1.4169148925805426E-195	6.366141740941637E-190	1.2533731735598335E-215
50	Popularity	kNN (test)	NaN	5.826040774286827E-267	5.663458994454989E-224	2.3881532638643665E-195	5.704549310346388E-238
50	Popularity	Normalized kNN (test)	NaN	6.398911277259955E-240	6.642534814747486E-114	4.4113548159805193E-82	1.4986676295716566E-116
50	Popularity	kNN (full)	NaN	4.31442693660218E-161	5.632212097462846E-132	2.942205761060929E-118	2.115915991364785E-140
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	3.9300214104880007E-284	1.0410715792151582E-277	1.05615824198237E-309
5	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
5	iMF (full)	Random	NaN	0.0	1.740218039755058E-85	4.351375861556154E-73	7.998745911072202E-91
5	iMF (full)	Normalized kNN (test)	6.190503809796762E-49	3.166798050443688E-91	1.1347747633537354E-19	3.75914539611978E-12	7.816197678230412E-19
5	iMF (full)	Average Rating	NaN	8.097876397824671E-110	4.630172422163793E-25	9.13396563133807E-17	1.0426283180611392E-24
5	iMF (full)	Popularity	NaN	2.595643920636979E-180	4.120861386617453E-64	5.965265188154832E-49	1.7397224296669577E-65
5	iMF (full)	kNN (full)	0.0	1.632276726655802E-30	1.4457221619348132E-70	3.4980155518223364E-67	8.465032409409296E-78
5	iMF (full)	kNN (test)	1.429127443552289E-45	0.0013399225565226456	1.8837076344016432E-8	8.34066335468109E-6	2.9090085177885768E-8
5	iMF (full)	iMF (test)	NaN	3.547179507949674E-5	0.002025351350093679	0.08827522088837803	0.005734189894979844
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	1.1906055761993518E-9	4.952327935354699E-8	3.8405379267446166E-5	3.939646801268362E-8
200	Average Rating	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	2.295710438574699E-13	2.134446654359394E-11	3.121703387128651E-14	3.124940878738485E-14
20	Normalized kNN (test)	iMF (full)	NaN	0.0	1.001377577042604E-188	3.9729729615589446E-159	5.322831272611415E-204
20	Normalized kNN (test)	iMF (test)	NaN	0.0	3.990448585634209E-205	1.5123055102537226E-175	1.4902818305602588E-223
20	Normalized kNN (test)	kNN (test)	NaN	4.705973668676629E-213	7.513982012051853E-145	8.110361740694949E-123	8.539709835709163E-156
20	Normalized kNN (test)	kNN (full)	1.1355527761559622E-32	1.5369421670755182E-217	1.6624701693685973E-119	4.672694163269262E-86	1.5115206798272002E-122
20	Normalized kNN (test)	Average Rating	NaN	2.5941712728756816E-112	4.316631746383077E-60	5.9351887155480786E-55	3.1986164801487993E-64
20	Normalized kNN (test)	Normalized kNN (full)	0.0	1.6694146181984626E-21	2.8860034694511026E-253	3.880353885438662E-272	4.448186659953887E-288
0	Normalized kNN (full)	kNN (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Random	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Popularity	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Average Rating	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	kNN (test)	0.0	0.0	0.0	0.0	0.0
0	Normalized kNN (full)	Normalized kNN (test)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (full)	0.0	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (test)	0.0	7.8960431E-315	0.0	0.0	0.0
50	Normalized kNN (full)	kNN (test)	0.0	2.789474552440475E-309	0.0	0.0	0.0
50	Normalized kNN (full)	Normalized kNN (test)	0.0	5.826100792370239E-112	0.9647277321697585	4.5487687202727813E-4	0.13860863405389823
50	Normalized kNN (full)	kNN (full)	0.0	8.47097927E-315	0.0	0.0	0.0
50	Normalized kNN (full)	Random	0.0	3.2280379758622837E-248	3.0888680437941515E-134	7.047386749067629E-113	5.180001279445955E-140
50	Normalized kNN (full)	Average Rating	0.0	1.2311360561644456E-208	1.185750001988733E-72	1.0101485604573734E-54	2.3376113985448154E-71
100	kNN (test)	Popularity	NaN	9.535207470714175E-165	4.5607962707105915E-136	1.0971051668895216E-110	1.5126927339676943E-142
100	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	iMF (full)	NaN	1.5276298239102536E-22	7.823140534444997E-33	3.7564502455961787E-16	1.215806659112128E-29
100	kNN (test)	iMF (test)	NaN	1.2098240822289685E-13	1.8677264688994438E-32	4.309667840658732E-21	1.5479898720971473E-31
100	kNN (test)	Normalized kNN (full)	0.0	5.551489312667629E-171	3.288039014254035E-275	1.595109517211068E-273	9.46198543382398E-304
100	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	kNN (full)	NaN	1.4779164704096695E-5	0.012169367965636316	0.9561373571731668	0.07928957752537959
0	kNN (full)	Random	0.0	1.246830381881098E-4	2.4760080980855884E-29	4.73217667604242E-51	2.814907261497503E-44
0	kNN (full)	iMF (test)	0.0	4.6893811801314274E-64	5.3709184238558596E-101	3.8764171001192216E-88	9.29888700418006E-108
0	kNN (full)	Popularity	0.0	0.03374507732644291	2.6732823877492784E-55	2.011048307199245E-67	2.3687088352884267E-71
0	kNN (full)	Average Rating	0.0	3.6770195749483766E-17	5.80846408690256E-73	3.097077131180361E-73	1.758312042318393E-84
0	kNN (full)	iMF (full)	0.0	6.857901526145347E-49	2.5610524565802068E-95	1.304302048707028E-85	6.640269809671989E-103
0	kNN (full)	kNN (test)	0.0	5.316368559122158E-41	2.7759408989641974E-82	2.370816254776696E-80	2.712870063128796E-92
0	kNN (full)	Normalized kNN (test)	1.4E-322	3.5764889681273235E-27	1.4512418103245137E-74	2.1751868293008106E-72	1.2785393139542934E-84
100	Popularity	Normalized kNN (test)	NaN	0.0	0.0	6.0345E-320	0.0
100	Popularity	iMF (full)	NaN	1.0928541958037334E-155	1.0754773449023412E-151	1.665094817908455E-123	5.215217288176351E-160
100	Popularity	iMF (test)	NaN	3.042549197715488E-122	4.938734900886786E-145	2.6225908060866444E-127	1.1843479660727758E-155
100	Popularity	Normalized kNN (full)	0.0	4.9750390966549936E-11	9.472400288639167E-66	4.906416641921629E-81	2.717664302476466E-79
100	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
100	Popularity	Random	NaN	0.0	0.0	0.0	0.0
100	Popularity	kNN (full)	NaN	2.1863441249762224E-130	1.9523208214518787E-105	3.8126962130469215E-82	1.841977528603032E-109
50	iMF (full)	iMF (test)	NaN	0.5689906060679726	0.08411892685990818	0.37894366811934355	0.07171570356639448
50	iMF (full)	kNN (test)	NaN	1.0005270236156806E-14	1.549497935177595E-16	2.8148850722701227E-8	1.6514913989912283E-14
50	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
50	iMF (full)	kNN (full)	NaN	3.0264587752676525E-18	1.375235192168256E-35	9.008551210316706E-27	2.881381818449094E-35
50	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
50	iMF (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	iMF (test)	NaN	0.012843229572724496	1.2066042169693166E-6	1.7189256285021212E-7	7.536376479503275E-8
500	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	Normalized kNN (full)	0.0	6.637615367274584E-51	2.374357861164765E-41	1.457118344647069E-34	2.660687621264889E-43
500	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	kNN (full)	NaN	3.637203210614973E-9	1.010292413928339E-12	2.7922169632405728E-8	1.6016931078779312E-12
500	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
500	kNN (test)	iMF (full)	NaN	5.84220303794054E-20	2.2370148952879063E-18	4.505158776911435E-14	1.7171280075194981E-18
100	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
100	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
100	Normalized kNN (test)	Normalized kNN (full)	0.0	3.62177419786669E-309	1.0274316612690916E-187	1.0482097970491037E-153	1.1532616874402108E-199
100	Normalized kNN (test)	Average Rating	NaN	5.111556180056505E-106	4.818421629482285E-106	3.072240055513229E-90	5.24069500871326E-113
100	Normalized kNN (test)	Random	NaN	2.783622603917414E-6	2.0870643912964456E-17	2.1845580137397595E-18	1.7922677809663043E-20
100	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
2	kNN (test)	iMF (full)	5.933152274764638E-18	0.009372314316110918	0.0016960997433397025	5.038031477683245E-4	0.0015731803590817845
2	kNN (test)	Random	5.933152274764638E-18	6.804822790170984E-227	5.167672872835173E-26	6.584508155187057E-16	4.5849508363607656E-26
2	kNN (test)	kNN (full)	0.0	7.021981059471545E-36	1.6674967717986555E-80	1.615552697495021E-77	1.0449115905871228E-88
2	kNN (test)	Average Rating	5.933152274764638E-18	0.0303784466996228	0.01207690448534701	0.008285220811755463	0.009617982014876115
2	kNN (test)	Popularity	5.933152274764638E-18	2.511549421921632E-192	7.868368562709768E-30	8.48599874014817E-13	3.5367646510658096E-27
2	kNN (test)	iMF (test)	5.933152274764638E-18	5.942445572139523E-11	7.863993864022979E-6	1.6740978228685317E-4	1.71458677749761E-5
2	kNN (test)	Normalized kNN (test)	3.787195666014513E-6	1.1552450842207056E-4	0.25448800003137206	0.42926807288589486	0.6633965929776144
2	kNN (test)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
200	kNN (test)	iMF (full)	NaN	1.2874295005205022E-47	2.1056585922365316E-35	3.85672547160019E-25	2.0017140748066398E-34
200	kNN (test)	kNN (full)	NaN	1.8756639820323453E-11	0.001151951512193805	0.03142879140175212	0.004055180481440831
200	kNN (test)	Popularity	NaN	3.629242589036401E-247	1.418663617923849E-162	6.988057036210384E-130	1.593749976273568E-167
200	kNN (test)	iMF (test)	NaN	5.217286570436139E-27	6.686935214777362E-25	3.7371671504970276E-21	9.582047220752542E-27
200	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
200	kNN (test)	Normalized kNN (full)	0.0	2.8918515768099012E-86	3.718608947431017E-168	7.868187429565208E-158	2.9371684585995427E-184
200	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
2	iMF (full)	Random	NaN	5.9568702839238435E-242	1.308325107400482E-32	3.345015249008185E-27	1.4016098642565179E-33
2	iMF (full)	kNN (full)	0.0	4.51625069801051E-40	3.749894588295199E-82	5.50752281252793E-80	1.0118596649857713E-90
2	iMF (full)	Average Rating	NaN	0.549148049479874	0.9136385641925733	0.6822215260166048	0.9504358905658677
2	iMF (full)	Popularity	NaN	5.251309855739704E-161	3.144411692452285E-34	1.5071919709520068E-23	1.3000252833273687E-34
2	iMF (full)	iMF (test)	NaN	1.4887300374185705E-7	0.01393996538769327	0.3788826221392525	0.03903249109093198
2	iMF (full)	Normalized kNN (test)	6.129651156983204E-26	0.04127729810471426	0.1356069886449791	2.8340157393117756E-4	0.026562874972427732
2	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
10	Average Rating	iMF (full)	NaN	0.0	2.5643532736953028E-51	3.728041771927047E-26	1.259877300654006E-47
10	Average Rating	Normalized kNN (test)	1.7332503506142719E-74	4.1911240729800177E-26	0.07280550368701212	0.0023839920914120972	0.01123658393291026
10	Average Rating	Popularity	NaN	7.339187849465717E-157	0.0570778993804653	0.007476925417488093	0.032700711530793784
10	Average Rating	iMF (test)	NaN	0.0	1.567224475900697E-64	2.842112451707612E-41	1.742589149909059E-63
10	Average Rating	kNN (test)	3.176528011126658E-43	0.0	1.2430014310018891E-54	4.103031033140316E-35	1.3597713052761235E-54
10	Average Rating	kNN (full)	0.0	2.957828890965239E-306	2.8598513868897337E-5	0.03609023438406312	0.018291606071644408
10	Average Rating	Normalized kNN (full)	0.0	7.574826921393105E-118	0.0	0.0	0.0
10	Average Rating	Random	NaN	1.1752566850756033E-263	1.1094719638921723E-248	1.0124736769903979E-216	1.210443535664919E-266
200	iMF (full)	kNN (full)	NaN	2.5103391126197784E-19	9.396905456321084E-22	5.8642115725879335E-15	6.891138386835861E-21
200	iMF (full)	Popularity	NaN	5.824359591543153E-260	1.3556090312751256E-168	7.4744090924906896E-149	2.8185735250067763E-180
200	iMF (full)	iMF (test)	NaN	0.34649153078143213	0.6047202498159409	0.653786826852726	0.9858975192120568
200	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
200	iMF (full)	Normalized kNN (full)	0.0	2.3171885461027843E-165	1.7894809213208512E-241	1.6414569269763517E-222	4.5559921861687583E-265
200	iMF (full)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
1	iMF (test)	kNN (test)	1.2727323013246772E-18	1.0238906138440375E-8	0.006000608834417294	0.001198987166068519	0.003972079976648284
1	iMF (test)	iMF (full)	NaN	2.2284521904812908E-7	0.03249681357367791	0.5564716327237532	0.09935331815319082
1	iMF (test)	Normalized kNN (test)	4.934239949578746E-26	0.3039939451269682	0.006366458594687531	5.1744680429704976E-5	8.480471581742322E-4
1	iMF (test)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
1	iMF (test)	Random	NaN	6.345538740028253E-212	8.481251050008777E-25	9.93984987702031E-20	1.0333007448163952E-25
1	iMF (test)	Popularity	NaN	1.6052119870910406E-150	3.090414753046661E-25	1.742860792024199E-16	3.173062850265505E-25
1	iMF (test)	Average Rating	NaN	0.22253885150668595	0.012541697586933031	0.1342358601472181	0.029165526324970076
1	iMF (test)	kNN (full)	0.0	5.167970743842438E-56	1.432920135176536E-91	2.1118298525719002E-84	6.335649816239891E-100
10	iMF (full)	Normalized kNN (test)	1.7332503506142719E-74	0.0	1.9996162086407365E-41	2.7750200607141004E-18	1.5727610226907478E-37
10	iMF (full)	Popularity	NaN	1.637580341039719E-139	6.751901333278736E-64	4.237034846082024E-38	1.4298631847719489E-61
10	iMF (full)	iMF (test)	NaN	1.764115880689194E-4	6.384421823944479E-4	3.836140416758625E-5	1.4843538008459535E-4
10	iMF (full)	kNN (test)	3.176528011126658E-43	0.012742862506978477	0.16493577887993716	0.33540609399544485	0.6570487940919427
10	iMF (full)	kNN (full)	0.0	4.48293546551927E-29	1.3246977117594489E-37	6.476743732122693E-35	4.57151699876349E-40
10	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
10	iMF (full)	Random	NaN	0.0	8.680598593651264E-299	5.607296967188816E-288	0.0
100	iMF (full)	iMF (test)	NaN	0.6768352106052875	0.034699803675830136	0.006225908701335216	0.012461046932136089
100	iMF (full)	Normalized kNN (full)	0.0	5.516702164242029E-225	0.0	5.16E-320	0.0
100	iMF (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
100	iMF (full)	kNN (full)	NaN	5.3333033225722605E-9	9.051046928640253E-22	1.0921727402009077E-13	1.8612813961385045E-20
20	iMF (full)	iMF (test)	NaN	7.353098673076452E-4	3.450672683576633E-6	0.00646973265336572	3.522339412191177E-5
20	iMF (full)	kNN (test)	NaN	1.8384422061899916E-102	3.646421194199133E-24	5.697663539956779E-17	1.3443125042757958E-23
20	iMF (full)	kNN (full)	1.1355527761559622E-32	2.8288276590128613E-60	1.1651237620784712E-30	6.530588690895432E-26	1.3449683638661903E-31
20	iMF (full)	Average Rating	NaN	0.0	2.1051031828682534E-271	6.708747392521023E-250	1.6993121535408613E-292
20	iMF (full)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
2	Random	kNN (full)	0.0	4.0239291521991865E-118	2.3093306821846847E-10	1.7818973144303067E-31	5.080240671630753E-18
2	Random	Average Rating	NaN	7.953519298915433E-265	1.7263688478286764E-34	2.1388459536858684E-26	6.826904925255354E-36
2	Random	Popularity	NaN	1.1019921670377308E-53	0.029783220083211017	0.004741951932399136	0.002416773884912202
2	Random	iMF (test)	NaN	5.021248385011802E-268	1.7331429606060645E-35	4.0721591700479413E-29	4.308633286682576E-37
2	Random	Normalized kNN (test)	6.129651156983204E-26	8.23456376649895E-268	1.1405040566275282E-27	7.96583868203016E-14	1.1832862892965471E-26
2	Random	Normalized kNN (full)	0.0	1.4728780297263286E-247	0.0	0.0	0.0
1	kNN (test)	iMF (full)	1.2727323013246772E-18	0.11068564853808638	0.17585739469918182	0.0016103331652104961	0.05645034757511695
1	kNN (test)	Normalized kNN (test)	8.024065695924376E-6	2.934555021499114E-8	0.6695673643366874	0.06318733689256464	0.32764353310075744
1	kNN (test)	Normalized kNN (full)	0.0	0.0	0.0	0.0	0.0
1	kNN (test)	Random	1.2727323013246772E-18	1.3741752747209855E-175	4.6997850733463585E-21	2.652316963611126E-11	6.552707904236919E-21
1	kNN (test)	Popularity	1.2727323013246772E-18	1.2995809884083532E-178	9.066685130176916E-23	5.939405221070954E-8	1.0819090179668242E-19
