fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	Random	0.4339074074074074	0.5337681986862939	0.16690740740740742	0.6616795939544567	0.24405855573182703
1	0	iMF (full)	0.4339074074074074	0.5803787233060392	0.17099999999999999	0.6704789943685421	0.2489704769695097
1	0	Popularity	0.4339074074074074	0.5523323927997482	0.16853703703703704	0.6653878133360343	0.24614359585249548
1	0	Normalized kNN (test)	0.4182592592592592	0.5729364456148416	0.16655555555555554	0.6531345918835589	0.24249672585300286
1	0	Average Rating	0.4339074074074074	0.5766756694575503	0.1696666666666667	0.6683897391798755	0.24752913323428727
1	0	Normalized kNN (full)	0.1348703703703704	0.27197671606808793	0.06490740740740741	0.25680059944971784	0.09305523337824415
1	0	kNN (full/test)	0.418	0.5651962533034414	0.16661111111111113	0.652825216737838	0.2425697849182951
1	0	iMF (test)	0.4339074074074074	0.5849874216099097	0.17099999999999999	0.670661882828181	0.2489514581191325
2	0	Random	0.43042592592592593	0.5331231677455487	0.16651851851851854	0.6564287014588485	0.2433805848656826
2	0	iMF (full)	0.43042592592592593	0.5767007033135373	0.17074074074074075	0.6656624694573845	0.2486281659482354
2	0	Popularity	0.43042592592592593	0.552964121271531	0.16842592592592592	0.6606303330496057	0.2459153256842071
2	0	Normalized kNN (test)	0.41464814814814815	0.5689968159247699	0.1665925925925926	0.6495499562357703	0.24268289476803567
2	0	Average Rating	0.43042592592592593	0.5714390676644433	0.1696111111111111	0.6639933816387661	0.24745167136420693
2	0	Normalized kNN (full)	0.13614814814814816	0.27221661546145637	0.06622222222222222	0.2572866011984198	0.09459545962424443
2	0	kNN (full/test)	0.41350000000000003	0.5642310623663587	0.16624074074074074	0.6475000155566674	0.2420104696436916
2	0	iMF (test)	0.43042592592592593	0.5821254033061919	0.17096296296296298	0.6660459260745576	0.2488811537472926
3	0	Random	0.42903703703703705	0.5304558126857869	0.16675925925925925	0.658123039281009	0.24386978466562748
3	0	iMF (full)	0.42903703703703705	0.5784381978634775	0.1698703703703704	0.6642912097411433	0.24742829202613034
3	0	Popularity	0.42903703703703705	0.5518743251206983	0.16781481481481483	0.6604016230958265	0.24520960084452617
3	0	Normalized kNN (test)	0.4121851851851852	0.5655461425408077	0.16527777777777777	0.6470653562864086	0.24082762384785963
3	0	Average Rating	0.42903703703703705	0.5702350667750669	0.16912962962962963	0.6622128135061978	0.2465533517968425
3	0	Normalized kNN (full)	0.13433333333333333	0.2711961519361779	0.0662962962962963	0.2538159681868047	0.09452366077415555
3	0	kNN (full/test)	0.41255555555555556	0.5632048795981955	0.1658703703703704	0.6478132661597559	0.24137495488831073
3	0	iMF (test)	0.42903703703703705	0.5846660308394953	0.17037037037037037	0.6654490901015138	0.24807133872040169
4	0	Random	0.42942592592592593	0.5318684615964439	0.16507407407407407	0.657786178869341	0.24186140022521113
4	0	iMF (full)	0.42942592592592593	0.5745830012472752	0.16811111111111113	0.6638452772697099	0.24564876328746463
4	0	Popularity	0.42942592592592593	0.5466374252230087	0.16594444444444445	0.6598415011906827	0.24311933132551253
4	0	Normalized kNN (test)	0.4134814814814815	0.5678791549419343	0.16427777777777777	0.6466584094359648	0.23980664372829644
4	0	Average Rating	0.42942592592592593	0.573270555392706	0.1675	0.6634666797587614	0.24505293228774994
4	0	Normalized kNN (full)	0.13431481481481483	0.2699525806390827	0.06496296296296296	0.25380367013235483	0.0931529439227938
4	0	kNN (full/test)	0.4122222222222222	0.5579242014102422	0.16392592592592595	0.6453886098612867	0.2392921286290408
4	0	iMF (test)	0.42942592592592593	0.5796226834139855	0.1683888888888889	0.6638051758379508	0.24585728129008033
5	0	Random	0.4310740740740741	0.5310470294302314	0.16846296296296298	0.6606319686735801	0.24507868568081886
5	0	iMF (full)	0.4310740740740741	0.5793135779640263	0.1721111111111111	0.6686285530924788	0.24952654239768668
5	0	Popularity	0.4310740740740741	0.5528902362583454	0.16953703703703704	0.6639319846239917	0.24660636846188622
5	0	Normalized kNN (test)	0.4147777777777778	0.5745867405856352	0.1683888888888889	0.6539427191555657	0.24410300712860866
5	0	Average Rating	0.4310740740740741	0.5773942801146915	0.17162962962962963	0.667890971271495	0.24914831636585405
5	0	Normalized kNN (full)	0.13696296296296298	0.27037252806012185	0.06640740740740741	0.25568724715829105	0.0946312081876396
5	0	kNN (full/test)	0.4140185185185185	0.5689256362522301	0.16785185185185184	0.6521028366193224	0.2432927365886902
5	0	iMF (test)	0.4310740740740741	0.584967743968029	0.17253703703703704	0.6692013833857039	0.2500345241548815
1	1	Random	0.5235925925925926	0.48785493572784244	0.16535185185185186	0.6589685253828402	0.24216355717891566
1	1	iMF (full)	0.5235925925925926	0.5716163737627894	0.17033333333333334	0.6695159441207084	0.24825344541908798
1	1	Popularity	0.5235925925925926	0.5380614124681574	0.1675925925925926	0.663297296694348	0.24499991798004342
1	1	Normalized kNN (test)	0.4752962962962963	0.5537084164316771	0.16572222222222222	0.6518046193100334	0.24161293340458231
1	1	Average Rating	0.5235925925925926	0.5381179006623206	0.1683703703703704	0.6658159614524142	0.24600681417086948
1	1	Normalized kNN (full)	0.13644444444444445	0.27155679158266305	0.06487037037037037	0.25677863838609016	0.09302823707247546
1	1	kNN (full/test)	0.47716666666666663	0.5580154801469226	0.1660185185185185	0.6515607459205894	0.24188640702096248
1	1	iMF (test)	0.5235925925925926	0.5784613096675375	0.17061111111111113	0.6698409220841172	0.24853492932267707
2	1	Random	0.5203888888888889	0.48499294602538356	0.1648703703703704	0.6538753454807092	0.2415784465696226
2	1	iMF (full)	0.5203888888888889	0.5703763229773211	0.16994444444444445	0.6644015110064779	0.24770483064273346
2	1	Popularity	0.5203888888888889	0.538496306989779	0.1674074074074074	0.6588004785852483	0.24469460017313188
2	1	Normalized kNN (test)	0.4713333333333333	0.5493437099335687	0.16596296296296298	0.6486471750421394	0.2419822189362944
2	1	Average Rating	0.5203888888888889	0.532817192736984	0.1683888888888889	0.6618347776536844	0.2460466802690371
2	1	Normalized kNN (full)	0.13792592592592595	0.2717790791698828	0.06620370370370371	0.25727235618417477	0.09457935656466311
2	1	kNN (full/test)	0.4731666666666666	0.5569154715139685	0.16568518518518519	0.6465051064966999	0.2413640563803519
2	1	iMF (test)	0.5203888888888889	0.5764040796578062	0.17077777777777778	0.6657578642526794	0.24863940440917842
3	1	Random	0.5189259259259259	0.4842325605365068	0.16446296296296298	0.652655786587713	0.24106321502346179
3	1	iMF (full)	0.5189259259259259	0.5722213070173198	0.16944444444444445	0.6633735874024683	0.24689878301884105
3	1	Popularity	0.5189259259259259	0.5383536293321567	0.16666666666666666	0.6582729837501679	0.24385550044822463
3	1	Normalized kNN (test)	0.4688518518518519	0.5459358610705918	0.16444444444444445	0.6455203813811397	0.23987642113351074
3	1	Average Rating	0.5189259259259259	0.5334217315072672	0.16783333333333333	0.6598924021926421	0.2450560980887547
3	1	Normalized kNN (full)	0.1362962962962963	0.2707516845162065	0.0662962962962963	0.2538159681868047	0.09452366077415555
3	1	kNN (full/test)	0.47168518518518515	0.5567939351201611	0.16542592592592595	0.6470470236574022	0.2408521420670747
3	1	iMF (test)	0.5189259259259259	0.5764372559402328	0.16992592592592592	0.664213248392865	0.24747949280433837
4	1	Random	0.5189074074074074	0.4849351171147347	0.16318518518518518	0.6532406620048676	0.23958481190337538
4	1	iMF (full)	0.5189074074074074	0.5655200658153489	0.16746296296296298	0.6622484756266426	0.24483529400564857
4	1	Popularity	0.5189074074074074	0.5332446811853374	0.1645740740740741	0.6571811522803339	0.24147849329921997
4	1	Normalized kNN (test)	0.4708333333333333	0.5493674071793143	0.1632962962962963	0.6453108869604136	0.23875356588445723
4	1	Average Rating	0.5189074074074074	0.5376729481953995	0.16616666666666668	0.6612972018263084	0.24351277357948398
4	1	Normalized kNN (full)	0.1360185185185185	0.26969356119113025	0.06494444444444444	0.2537995549060174	0.0931462099160598
4	1	kNN (full/test)	0.4726296296296296	0.5518012644851663	0.16324074074074074	0.6439939022026901	0.23847857208117915
4	1	iMF (test)	0.5189074074074074	0.5727124254485334	0.16807407407407407	0.6636084082848666	0.24554618607413298
5	1	Random	0.5208333333333334	0.4852615089085818	0.16631481481481483	0.6573692189203427	0.2426463091736738
5	1	iMF (full)	0.5208333333333334	0.5719696569287758	0.17177777777777778	0.6677541220547566	0.2490781083384763
5	1	Popularity	0.5208333333333334	0.5400547604994266	0.16849999999999998	0.6623537452193634	0.2454624436340447
5	1	Normalized kNN (test)	0.4724444444444444	0.5542624210460153	0.16762962962962963	0.6529225037742392	0.24327592705099538
5	1	Average Rating	0.5208333333333334	0.539931499682687	0.1700925925925926	0.6652200913314157	0.2474035023313026
5	1	Normalized kNN (full)	0.1385740740740741	0.2698797904263658	0.06638888888888889	0.25568210312536926	0.09462315665784894
5	1	kNN (full/test)	0.47438888888888886	0.5613963582045318	0.1673148148148148	0.6513799095977842	0.24270921541525675
5	1	iMF (test)	0.5208333333333334	0.5772954075744571	0.17205555555555557	0.6685921173944934	0.24950566536287674
1	2	Random	0.6102407407407408	0.4507870064068232	0.16166666666666665	0.6509709178974314	0.2377055236879921
1	2	iMF (full)	0.6102407407407408	0.5657795721763157	0.16933333333333334	0.6680419123907596	0.2470968079191012
1	2	Popularity	0.6102407407407408	0.5260147508945541	0.16622222222222222	0.6605052693003899	0.24333619743944257
1	2	Normalized kNN (test)	0.5312037037037037	0.5350593227070206	0.16462962962962963	0.6502112579433459	0.24043695068695414
1	2	Average Rating	0.6102407407407408	0.5060443295946397	0.16670370370370372	0.662625670605443	0.24404428074486714
1	2	Normalized kNN (full)	0.13812962962962963	0.27121275991230864	0.06485185185185185	0.25676184347497155	0.09301658829057945
1	2	kNN (full/test)	0.5373333333333333	0.5516503662977635	0.16553703703703704	0.6509934182298699	0.24134549725026436
1	2	iMF (test)	0.6102407407407408	0.572853823036954	0.16979629629629628	0.6684863139883609	0.24756566654887913
2	2	Random	0.6069444444444444	0.4491801679592627	0.16225925925925927	0.6484963953438799	0.23853989698676997
2	2	iMF (full)	0.6069444444444444	0.5614154616682372	0.16937037037037037	0.6634200702300758	0.24711027413634176
2	2	Popularity	0.6069444444444444	0.5289454905878503	0.1661111111111111	0.6562755700322135	0.24316129288675256
2	2	Normalized kNN (test)	0.525888888888889	0.532834561855218	0.16492592592592592	0.6472056214314009	0.24090129146444011
2	2	Average Rating	0.6069444444444444	0.5035507938141054	0.1666851851851852	0.6588106333074345	0.24406408534299678
2	2	Normalized kNN (full)	0.1392962962962963	0.27115376921004375	0.06620370370370371	0.2572742555194074	0.09458064480942961
2	2	kNN (full/test)	0.5318518518518518	0.5508997282798317	0.16518518518518518	0.6457649147883332	0.2408187603625404
2	2	iMF (test)	0.6069444444444444	0.5682805547626801	0.16972222222222222	0.6637291074624283	0.2474128875139326
3	2	Random	0.6058888888888889	0.4537728429726277	0.16166666666666665	0.645905104714422	0.2374826909896035
3	2	iMF (full)	0.6058888888888889	0.5658126623114561	0.16883333333333334	0.6623648229646103	0.24617591902962493
3	2	Popularity	0.6058888888888889	0.5271035305618449	0.16537037037037036	0.656105128365312	0.24234271445304426
3	2	Normalized kNN (test)	0.5248148148148148	0.5287804306103218	0.1637222222222222	0.6450062586187556	0.2391693136833013
3	2	Average Rating	0.6058888888888889	0.5030471550238614	0.16633333333333333	0.6575704590763233	0.24338260145917257
3	2	Normalized kNN (full)	0.1373148148148148	0.2703986351924679	0.06627777777777778	0.25380568012096105	0.09451043326092805
3	2	kNN (full/test)	0.5308518518518518	0.5512226999316795	0.16468518518518518	0.645592147699062	0.23999400437763016
3	2	iMF (test)	0.6058888888888889	0.5710376286116305	0.16927777777777778	0.6634961444457316	0.2468194128798246
4	2	Random	0.6063518518518519	0.4491139225058923	0.16033333333333336	0.6478370692341238	0.23611609157828403
4	2	iMF (full)	0.6063518518518519	0.5617338276541943	0.16694444444444445	0.6617318909468555	0.24426324077191117
