target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	4.439675842019039E-11	1.715516017265936E-16	1.1970991337376675E-9	5.698666087981695E-15
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	6.041951651058689E-83	5.242154799217546E-80	8.140335822754622E-55	4.106171002147394E-79
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	1.3943493682633893E-17	5.982693495595993E-25	1.4857336830082117E-16	1.8646337923980428E-23
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	6.099798901051182E-11	0.32214725867954097	0.8253507000821803	0.5646148190982765
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	7.841000249711849E-6	4.767515180292372E-11	1.5723243334351713E-6	3.4010901293773304E-10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	3.0677126738398995E-290	2.900284E-318	1.940740246250553E-297	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	6.220584067547316E-173	1.4019263551991336E-162	1.900673330825561E-133	7.147255531286748E-168
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.8462372445016341	0.6791693886251535	0.5911567840057701	0.8078554687049294
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	2.5893844766030393E-10	9.916130171868886E-20	7.102215429566158E-17	3.0322203494345794E-20
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	1.2631118163524087E-84	4.1665078545301954E-79	2.138397486164063E-53	8.354044074891649E-78
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	9.6891766393822E-9	2.438270322367681E-11	3.111751547406251E-8	4.434816173610058E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	1.470383542709594E-19	8.610842031317096E-26	3.697166424255024E-24	9.185447883721227E-29
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	9.575021908071064E-300	0.0	1.4684E-320	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	2.3636738154138874E-308	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	1.123179215795443E-20	1.1487321387026057E-48	1.912610247043838E-40	5.77430412387348E-50
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.959323775036382	0.2509582364470273	0.24269900317681248	0.25382891661971085
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	0.10148346331007385	2.3293664433681477E-4	2.928057851153457E-4	8.77184202595746E-5
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	1.719362712989338E-160	1.3895053153759888E-138	4.2495620760645624E-110	3.0200341781696985E-142
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	NaN	5.144289401010017E-308	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	NaN	8.718877821714117E-14	3.957200233545236E-18	4.3475293768745816E-13	1.9520624969533002E-17
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	2.2613027491541712E-10	4.185312451217347E-17	2.0719630360570086E-15	6.557183830520564E-18
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	NaN	2.523849027956126E-7	1.7952288658128108E-10	1.5246206302712198E-6	2.718921359656368E-9
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	NaN	0.5183679833654999	0.058504544461514166	0.1068351375108183	0.06967434542200635
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	NaN	1.81533629538269E-16	3.102218943890531E-23	8.823567862449207E-15	1.092061360313299E-21
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	7.034062175876057E-6	5.172595773142887E-13	7.037987466791498E-12	1.3293922121982294E-13
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	NaN	7.194740465211224E-309	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	NaN	7.163688093107961E-34	1.229702124183629E-13	1.3393762419856971E-8	1.4637358255279066E-12
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=900)	NaN	2.5763214419125175E-6	9.317645631709394E-9	1.4309313684375192E-6	1.1887872909299166E-8
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=1.0, alpha=100.0)	NaN	6.899956858764272E-35	4.394983556791246E-37	1.3636124187588307E-26	8.509654430290334E-37
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=100)	NaN	5.982677839856578E-19	3.9445052197453174E-27	3.934806684414111E-18	1.5588033295013713E-25
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=100.0)	NaN	6.112037734777656E-83	8.898747975043607E-75	1.3649394378122162E-52	7.616610417667683E-74
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=900, min=3)	NaN	9.28082420737443E-309	0.0	0.0	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=1000)	NaN	8.388077846149166E-6	1.7826299366494387E-8	7.801904316045457E-6	3.4685731694593864E-8
