fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.06909973959211216	0.026314814814814815	0.11580828325067481	0.03965559068847951
3	1000	Normalized kNN (k=3000, min=3)	1.0	0.00244299905008747	0.0011851851851851852	0.004100539932365312	0.0016057573503015226
3	1000	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.07110654282966404	0.027314814814814816	0.11573892513048814	0.04056493086621598
3	1000	kNN (k=200)	1.0	0.16207424416206057	0.05496296296296296	0.22852110895251482	0.0810854753733418
3	1000	kNN (k=600)	1.0	0.1560135619985694	0.05251851851851852	0.21849454404572827	0.07757093111108525
3	1000	Normalized kNN (k=800, min=3)	1.0	0.0030749772708275162	0.0014074074074074076	0.0053727147119360325	0.0020170536674951308
3	1000	iMF (k=5, lambda=0.1, alpha=1.0)	1.0	0.15158235173143775	0.05277777777777778	0.2161930656572425	0.0777456870815299
3	1000	Normalized kNN (k=100, min=3)	1.0	0.029386493710576132	0.013296296296296296	0.05643392487914462	0.01986158622781308
2	1000	Normalized kNN (k=1000, min=3)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
5	1000	Normalized kNN (k=1000, min=3)	1.0	0.0017445084491611049	8.333333333333334E-4	0.003488127861252702	0.0011464848917979293
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1379565982488802	0.04788888888888889	0.20508995110803008	0.07141050908129004
5	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13796712092568522	0.048351851851851854	0.2058959842103745	0.07181324854600582
2	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07486208722477658	0.028481481481481483	0.1205382508842821	0.0423552535776892
5	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.0682316571425705	0.02575925925925926	0.10854627743815433	0.03823203480778778
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
5	1000	kNN (k=20)	1.0	0.12506402421471283	0.04288888888888889	0.17642167772597933	0.06284956658375984
3	1000	iMF (k=50, lambda=0.1, alpha=1.0)	1.0	0.13680197857207518	0.04540740740740741	0.1850595129240813	0.06650155970541413
3	1000	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.12653993484311102	0.043055555555555555	0.18223086107476955	0.0637489020554505
2	1000	kNN (k=80)	1.0	0.15904549098493306	0.05385185185185185	0.2232934176011761	0.07927043773055459
5	1000	kNN (k=80)	1.0	0.15856756105123312	0.053981481481481484	0.22468318463637346	0.07937191911836365
3	1000	Normalized kNN (k=50, min=3)	1.0	0.06049844541442822	0.026129629629629628	0.11278238268718276	0.03935178572717288
3	1000	iMF (k=10, lambda=1.0, alpha=10.0)	1.0	0.15206439058904345	0.05353703703703704	0.224681506880645	0.07917706293692246
3	1000	Normalized kNN (k=300, min=3)	1.0	0.007835989931967208	0.0033703703703703704	0.01385643626282155	0.0049052454385214396
3	1000	kNN (k=5000)	1.0	0.13157136687345372	0.04638888888888889	0.1935505752621202	0.06870766368576696
3	1000	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.17211517981367816	0.058685185185185194	0.2402989338897217	0.08616951128753526
3	1000	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.15141710273852796	0.0527962962962963	0.21568815408370348	0.07770101824653873
2	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09633412210218664	0.033462962962962965	0.14252232189760844	0.04972455880117867
5	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09530173994973862	0.03414814814814815	0.1429999174495424	0.05030320578093882
3	1000	Normalized kNN (k=20, min=3)	1.0	0.11054411983168067	0.04357407407407408	0.1820037717334422	0.06497197427735316
2	1000	Normalized kNN (k=200, min=3)	1.0	0.012480196115073157	0.005574074074074074	0.022733355527636123	0.00821218509009914
5	1000	Normalized kNN (k=200, min=3)	1.0	0.011874642914236778	0.0052592592592592595	0.022992748240873082	0.007827809141107252
2	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16286970965129324	0.05538888888888889	0.2302504008746325	0.08157907784616016
3	1000	Normalized kNN (k=4000, min=3)	1.0	0.0025637374916814976	0.0012037037037037038	0.004186433976592689	0.0016371856525612424
3	1000	Random	1.0	0.004070582533396934	0.001925925925925926	0.006650779784848412	0.002617192434973034
5	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16703528667638226	0.05681481481481482	0.23622611423150253	0.08365557384707033
3	1000	kNN (k=4000)	1.0	0.13206314042897707	0.04661111111111112	0.19404497085986547	0.0689502176642113
3	1000	kNN (k=10)	1.0	0.10147502419877921	0.03548148148148148	0.14184874487657725	0.051567997060616495
3	1000	kNN (k=800)	1.0	0.15277884987731258	0.05137037037037038	0.21375234574973176	0.07596190075873371
2	1000	Normalized kNN (k=10, min=3)	1.0	0.10128483207593139	0.030925925925925926	0.12793568015997292	0.045553095225107774
5	1000	Normalized kNN (k=10, min=3)	1.0	0.09101933292655576	0.028962962962962965	0.1157188811626055	0.04204224358381867
2	1000	kNN (k=60)	1.0	0.15623834049470636	0.05277777777777778	0.2190475373712342	0.07770321664517721
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
5	1000	kNN (k=60)	1.0	0.15463458148621073	0.052611111111111115	0.21842367858452943	0.07737164965102207
5	1000	Average Rating	1.0	0.0016536457453755096	7.037037037037038E-4	0.002894179894179894	0.0010021176777712726
2	1000	kNN (k=40)	1.0	0.14908744783402217	0.05040740740740741	0.20949218244671872	0.07406569168780848
