target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	0.0	0.6138888888888889	0.6138888888888889	0.6138888888888889	0.6138888888888889
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	0.0	0.5601851851851852	0.5601851851851852	0.5601851851851852	0.5601851851851852
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	0.0	0.572962962962963	0.572962962962963	0.572962962962963	0.572962962962963
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	0.0	0.5498148148148149	0.5498148148148149	0.5498148148148149	0.5498148148148149
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	0.0	0.6692592592592592	0.6692592592592592	0.6692592592592592	0.6692592592592592
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	0.0	0.5494444444444444	0.5494444444444444	0.5494444444444444	0.5494444444444444
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	0.0	0.6264814814814815	0.6264814814814815	0.6264814814814815	0.6264814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	0.0	0.6081481481481481	0.6081481481481481	0.6081481481481481	0.6081481481481481
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	0.0	0.56	0.56	0.56	0.56
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	0.0	0.615	0.615	0.615	0.615
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	0.0	0.5462962962962963	0.5462962962962963	0.5462962962962963	0.5462962962962963
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	0.0	0.5977777777777777	0.5977777777777777	0.5977777777777777	0.5977777777777777
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	0.0	0.6722222222222223	0.6722222222222223	0.6722222222222223	0.6722222222222223
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	0.0	0.612037037037037	0.612037037037037	0.612037037037037	0.612037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	0.0	0.6775925925925926	0.6775925925925926	0.6775925925925926	0.6775925925925926
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	0.0	0.5518518518518518	0.5518518518518518	0.5518518518518518	0.5518518518518518
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	0.0	0.557037037037037	0.557037037037037	0.557037037037037	0.557037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	0.0	0.6246296296296296	0.6246296296296296	0.6246296296296296	0.6246296296296296
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	0.0	0.6768518518518518	0.6768518518518518	0.6768518518518518	0.6768518518518518
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	0.0	0.5462962962962963	0.5462962962962963	0.5462962962962963	0.5462962962962963
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	0.0	0.5581481481481482	0.5581481481481482	0.5581481481481482	0.5581481481481482
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	0.0	0.5633333333333334	0.5633333333333334	0.5633333333333334	0.5633333333333334
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	0.0	0.5516666666666666	0.5516666666666666	0.5516666666666666	0.5516666666666666
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	0.0	0.552037037037037	0.552037037037037	0.552037037037037	0.552037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	0.0	0.5616666666666666	0.5616666666666666	0.5616666666666666	0.5616666666666666
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	0.0	0.6764814814814815	0.6764814814814815	0.6764814814814815	0.6764814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	0.0	0.59	0.59	0.59	0.59
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=900)	0.0	0.5461111111111111	0.5461111111111111	0.5461111111111111	0.5461111111111111
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=1.0, alpha=100.0)	0.0	0.6112962962962963	0.6112962962962963	0.6112962962962963	0.6112962962962963
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=100)	0.0	0.5487037037037037	0.5487037037037037	0.5487037037037037	0.5487037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=10.0, alpha=100.0)	0.0	0.6105555555555555	0.6105555555555555	0.6105555555555555	0.6105555555555555
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=900, min=3)	0.0	0.6764814814814815	0.6764814814814815	0.6764814814814815	0.6764814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=600, min=3)	0.0	0.6761111111111111	0.6761111111111111	0.6761111111111111	0.6761111111111111
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=1000)	0.0	0.547037037037037	0.547037037037037	0.547037037037037	0.547037037037037
