fold	target size	expected intersection ratio in top n
3	0	0.979169268423807
4	0	0.9795091854001244
4	2	0.9684549412521439
3	5	0.9306634125977644
2	50	0.1864442158356
3	50	0.18636330520774522
3	10	0.7317927340248399
3	1	0.9744024442580949
3	500	0.02030221438427105
4	50	0.18643898073818008
4	1	0.9745004917179134
3	2	0.967720977927578
4	10	0.7319583353389477
5	50	0.18647274147642248
5	1	0.9736455201263272
5	2	0.9665922531371839
2	2	0.9670743318290702
2	500	0.02033885442394389
1	50	0.18627845214580918
2	20	0.4204379913622091
2	100	0.09721308929396769
3	1000	0.01019966294974211
5	500	0.020312371806158393
3	200	0.0499633183240499
5	200	0.04994889995874301
4	5	0.9307640074053065
2	1000	0.010199526338719647
5	0	0.9784445883552683
2	200	0.04983930528249184
2	10	0.7313167602375343
4	500	0.020323693932170105
2	1	0.9741907653800692
4	100	0.09721694457990601
1	100	0.09720705176739948
5	1000	0.01019924166927048
5	100	0.09724458351941297
5	10	0.731102136536463
3	100	0.09726604823629645
4	1000	0.010199754072954042
2	5	0.9293275117830112
4	200	0.04992270666036985
4	20	0.42089094016262774
3	20	0.4206649179764604
1	2	0.9669623238239797
2	0	0.9790848039854408
1	500	0.020274352623000494
1	20	0.41989573110323525
5	20	0.42025752666708965
1	1	0.9738634584456832
5	5	0.9280970370730736
1	0	0.9787531724888973
1	10	0.7286687894388293
1	1000	0.01019940046315897
1	200	0.049891994196327887
1	5	0.9292143568511039
