fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
5	50	Average Rating	1.0	0.1237497050732762	0.061537037037037036	0.24627466025950895	0.08943639988936081
2	50	Average Rating	1.0	0.10563073830095267	0.05470370370370371	0.2202691840904391	0.0799384538927235
4	50	Average Rating	1.0	0.11056870740496345	0.05418518518518519	0.22650663462911869	0.07991084154854382
5	50	iMF (test)	1.0	0.4539578174814432	0.13974074074074075	0.5632567025246435	0.20477467473164876
1	50	Average Rating	1.0	0.10501055690931575	0.052000000000000005	0.21921466826626002	0.07639455987057994
2	50	iMF (test)	1.0	0.4539301892101584	0.13924074074074075	0.5632987661432813	0.20472441802058908
4	50	iMF (test)	1.0	0.4492164048362098	0.13622222222222222	0.5613551852394683	0.2013063797266067
1	50	iMF (test)	1.0	0.4546525782957654	0.13944444444444445	0.5666298561343063	0.20492402771147122
5	50	Normalized kNN (full)	0.17762962962962964	0.25480116181586115	0.06559259259259259	0.25530877038074523	0.09415123262705646
5	50	Random	1.0	0.07160467457971861	0.033296296296296296	0.12410785564385926	0.046942609688355744
2	50	Normalized kNN (full)	0.17394444444444446	0.2560273376677964	0.06520370370370371	0.25666932238087237	0.09390643111991022
2	50	Random	1.0	0.07250601795619303	0.03266666666666667	0.12247066952870958	0.04642800111577597
1	50	Normalized kNN (full)	0.17266666666666666	0.25822394711054997	0.06388888888888888	0.2563524637417242	0.09248531270630461
1	50	Random	1.0	0.06807667362735012	0.030592592592592595	0.11662937202067274	0.04332879465828073
5	50	iMF (full)	1.0	0.44726842102379755	0.13820370370370372	0.554385143038856	0.2020122460500345
5	50	Popularity	1.0	0.3644081916052173	0.11488888888888889	0.46683787388962955	0.16849452459599068
4	50	Normalized kNN (full)	0.16942592592592592	0.25475866992848745	0.06403703703703705	0.2532865653973508	0.09258694950973284
4	50	Random	1.0	0.07150394776279977	0.030166666666666668	0.11904777414637105	0.04340842241213815
2	50	iMF (full)	1.0	0.44437963693986265	0.13712962962962963	0.553171822693922	0.20115975389814358
2	50	Popularity	1.0	0.37032868990793505	0.11583333333333333	0.47558395807000714	0.17090192113374764
1	50	iMF (full)	1.0	0.45154949102674324	0.13785185185185184	0.5597504040945228	0.20243279158956448
1	50	Popularity	1.0	0.37020781292832666	0.11570370370370371	0.47898585503675856	0.17086467041303122
4	50	iMF (full)	1.0	0.4449771136634009	0.13572222222222222	0.5532340012889537	0.19976166752604277
4	50	Popularity	1.0	0.37032173607517965	0.11648148148148148	0.48209847480189627	0.17218939162751312
5	50	kNN (test)	1.0	0.4374464943735658	0.1373148148148148	0.5557123258764365	0.2012488359413152
2	50	kNN (test)	1.0	0.4344839368110142	0.1368888888888889	0.5569912948750755	0.20154070574714136
1	50	kNN (test)	1.0	0.4401194661887739	0.13635185185185186	0.5582618308316633	0.20083023198456978
4	50	kNN (test)	1.0	0.43563819044295593	0.13642592592592592	0.5617057430673319	0.2015198297815789
1	2	Average Rating	0.6122407407407408	0.456571630499689	0.16444444444444445	0.6589045786594382	0.24154239210175193
1	2	iMF (test)	0.6122407407407408	0.5773805802240601	0.17003703703703704	0.6689503674916656	0.24783319044410826
1	2	Normalized kNN (full)	0.13503703703703704	0.2719084722555775	0.06490740740740741	0.25680059944971784	0.09305523337824415
1	2	Random	0.6122407407407408	0.4668121065163656	0.16131481481481483	0.6502606167162599	0.2372925625705537
1	2	iMF (full)	0.6122407407407408	0.5730560630516758	0.16992592592592592	0.6685467760076402	0.24774521788364168
1	2	Popularity	0.6122407407407408	0.543556134240607	0.1673888888888889	0.662861638893193	0.24470679620277014
5	50	Normalized kNN (test)	1.0	0.15790245413077406	0.07255555555555555	0.3110560229047841	0.10810433609577556
2	50	Normalized kNN (test)	1.0	0.15346939897698852	0.07057407407407408	0.3081425844134958	0.10575994001935454
1	50	Normalized kNN (test)	1.0	0.13950919875852924	0.06566666666666666	0.28691383773069806	0.09816506596549616
