target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.5978148148148148	0.8112592592592592	0.8112592592592592	0.8112592592592592
500	Popularity	iMF (test)	1.0	0.5137407407407407	0.6808518518518518	0.6808518518518518	0.6808518518518518
500	Popularity	Random	1.0	0.6344814814814815	0.6450370370370371	0.6450370370370371	0.6450370370370371
500	Popularity	Normalized kNN (full)	0.3574074074074074	0.5667777777777778	0.7408518518518519	0.7408518518518519	0.7408518518518519
500	Popularity	Normalized kNN (test)	1.0	0.6364814814814815	0.6411111111111111	0.6411111111111111	0.6411111111111111
500	Popularity	kNN (full)	1.0	0.5572962962962963	0.7487777777777778	0.7487777777777778	0.7487777777777778
500	Popularity	Average Rating	1.0	0.6362592592592593	0.6410740740740741	0.6410740740740741	0.6410740740740741
500	Popularity	iMF (full)	1.0	0.5275555555555556	0.7041851851851851	0.7041851851851851	0.7041851851851851
20	Popularity	Random	1.0	0.36762962962962964	0.5276296296296297	0.5276296296296297	0.5276296296296297
20	Popularity	Normalized kNN (test)	1.0	0.3587037037037037	0.7163333333333334	0.7163333333333334	0.7163333333333334
20	Popularity	iMF (full)	1.0	0.42974074074074076	0.7583333333333333	0.7583333333333333	0.7583333333333333
20	Popularity	iMF (test)	1.0	0.41988888888888887	0.7498888888888889	0.7498888888888889	0.7498888888888889
20	Popularity	kNN (test)	1.0	0.4712222222222222	0.7972592592592592	0.7972592592592592	0.7972592592592592
20	Popularity	kNN (full)	0.8502592592592593	0.44937037037037036	0.7791111111111111	0.7791111111111111	0.7791111111111111
20	Popularity	Average Rating	1.0	0.3597037037037037	0.6804074074074075	0.6804074074074075	0.6804074074074075
20	Popularity	Normalized kNN (full)	0.0067777777777777775	0.44292592592592595	0.5581851851851852	0.5581851851851852	0.5581851851851852
20	Random	Normalized kNN (test)	1.0	0.3658888888888889	0.5344814814814814	0.5344814814814814	0.5344814814814814
20	Random	iMF (full)	1.0	0.3470740740740741	0.49377777777777776	0.49377777777777776	0.49377777777777776
