target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.5303703703703704	0.5303703703703704	0.5303703703703704	0.5303703703703704
500	Popularity	iMF (test)	0.0	0.4816666666666667	0.4816666666666667	0.4816666666666667	0.4816666666666667
500	Popularity	Random	0.0	0.6046296296296296	0.6046296296296296	0.6046296296296296	0.6046296296296296
500	Popularity	Normalized kNN (full)	0.0	0.5298148148148148	0.5298148148148148	0.5298148148148148	0.5298148148148148
500	Popularity	Normalized kNN (test)	0.0	0.600925925925926	0.600925925925926	0.600925925925926	0.600925925925926
500	Popularity	kNN (full)	0.0	0.5075925925925926	0.5075925925925926	0.5075925925925926	0.5075925925925926
500	Popularity	Average Rating	0.0	0.6096296296296296	0.6096296296296296	0.6096296296296296	0.6096296296296296
500	Popularity	iMF (full)	0.0	0.4898148148148148	0.4898148148148148	0.4898148148148148	0.4898148148148148
20	Popularity	Random	0.0	0.3516666666666667	0.3516666666666667	0.3516666666666667	0.3516666666666667
20	Popularity	Normalized kNN (test)	0.0	0.3424074074074074	0.3424074074074074	0.3424074074074074	0.3424074074074074
20	Popularity	iMF (full)	0.0	0.337037037037037	0.337037037037037	0.337037037037037	0.337037037037037
20	Popularity	iMF (test)	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333
20	Popularity	kNN (test)	0.0	0.3409259259259259	0.3409259259259259	0.3409259259259259	0.3409259259259259
20	Popularity	kNN (full)	0.0	0.3403703703703704	0.3403703703703704	0.3403703703703704	0.3403703703703704
20	Popularity	Average Rating	0.0	0.3466666666666667	0.3466666666666667	0.3466666666666667	0.3466666666666667
20	Popularity	Normalized kNN (full)	0.0	0.37296296296296294	0.37296296296296294	0.37296296296296294	0.37296296296296294
20	Random	Normalized kNN (test)	0.0	0.34925925925925927	0.34925925925925927	0.34925925925925927	0.34925925925925927
20	Random	iMF (full)	0.0	0.3362962962962963	0.3362962962962963	0.3362962962962963	0.3362962962962963
20	Random	iMF (test)	0.0	0.3335185185185185	0.3335185185185185	0.3335185185185185	0.3335185185185185
20	Random	kNN (test)	0.0	0.3353703703703704	0.3353703703703704	0.3353703703703704	0.3353703703703704
20	Random	kNN (full)	0.0	0.33925925925925926	0.33925925925925926	0.33925925925925926	0.33925925925925926
20	Random	Average Rating	0.0	0.36703703703703705	0.36703703703703705	0.36703703703703705	0.36703703703703705
20	Random	Normalized kNN (full)	0.0	0.4374074074074074	0.4374074074074074	0.4374074074074074	0.4374074074074074
50	Popularity	Normalized kNN (full)	0.0	0.395	0.395	0.395	0.395
50	Popularity	iMF (full)	0.0	0.34944444444444445	0.34944444444444445	0.34944444444444445	0.34944444444444445
50	Popularity	iMF (test)	0.0	0.34685185185185186	0.34685185185185186	0.34685185185185186	0.34685185185185186
50	Popularity	kNN (test)	0.0	0.3562962962962963	0.3562962962962963	0.3562962962962963	0.3562962962962963
50	Popularity	Normalized kNN (test)	0.0	0.36833333333333335	0.36833333333333335	0.36833333333333335	0.36833333333333335
50	Popularity	kNN (full)	0.0	0.3561111111111111	0.3561111111111111	0.3561111111111111	0.3561111111111111
50	Popularity	Random	0.0	0.38555555555555554	0.38555555555555554	0.38555555555555554	0.38555555555555554
50	Popularity	Average Rating	0.0	0.3725925925925926	0.3725925925925926	0.3725925925925926	0.3725925925925926
5	iMF (full)	Normalized kNN (full)	0.0	0.3264814814814815	0.3264814814814815	0.3264814814814815	0.3264814814814815
5	iMF (full)	Random	0.0	0.3251851851851852	0.3251851851851852	0.3251851851851852	0.3251851851851852
5	iMF (full)	Normalized kNN (test)	0.0	0.325	0.325	0.325	0.325
5	iMF (full)	Average Rating	0.0	0.32537037037037037	0.32537037037037037	0.32537037037037037	0.32537037037037037
5	iMF (full)	Popularity	0.0	0.3257407407407407	0.3257407407407407	0.3257407407407407	0.3257407407407407
5	iMF (full)	kNN (full)	0.0	0.325	0.325	0.325	0.325
5	iMF (full)	kNN (test)	0.0	0.32555555555555554	0.32555555555555554	0.32555555555555554	0.32555555555555554
5	iMF (full)	iMF (test)	0.0	0.32592592592592595	0.32592592592592595	0.32592592592592595	0.32592592592592595
200	Average Rating	kNN (test)	0.0	0.44592592592592595	0.44592592592592595	0.44592592592592595	0.44592592592592595
200	Average Rating	iMF (full)	0.0	0.43666666666666665	0.43666666666666665	0.43666666666666665	0.43666666666666665
200	Average Rating	kNN (full)	0.0	0.45092592592592595	0.45092592592592595	0.45092592592592595	0.45092592592592595
200	Average Rating	Popularity	0.0	0.5312962962962963	0.5312962962962963	0.5312962962962963	0.5312962962962963
