target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	1.1675478583128188E-122	1.1597957808972195E-131	1.500934712298951E-110	2.6683195395503245E-136
500	Popularity	iMF (test)	NaN	3.1911034125000805E-90	9.995280228191994E-94	4.32541239645403E-93	8.347403722878445E-106
500	Popularity	Random	NaN	2.4851390299154066E-303	1.22684147E-315	3.018901205971574E-309	0.0
500	Popularity	Normalized kNN (full)	NaN	2.6985982603465456E-12	3.615241316713497E-16	1.0284040682464573E-14	4.693528325446008E-19
500	Popularity	Normalized kNN (test)	NaN	1.0988054152007899E-296	2.1953705275156103E-300	1.747148706568856E-288	0.0
500	Popularity	kNN (full)	NaN	1.0055647880254102E-128	2.749347929406105E-127	1.1065383276248134E-110	3.264270925510634E-133
500	Popularity	Average Rating	NaN	4.2436092424911E-309	7.638857448230521E-307	1.2419174229897951E-293	0.0
500	Popularity	iMF (full)	NaN	8.603718849786247E-145	1.5258545679165752E-135	4.404438562678056E-115	5.192177816665457E-144
20	Popularity	Random	NaN	0.0	4.90116777E-316	4.635577556901443E-306	0.0
20	Popularity	Normalized kNN (test)	NaN	2.776720931162369E-122	0.5588801446479672	1.1264790916275013E-5	0.034815044713130065
20	Popularity	iMF (full)	NaN	6.1026088402100904E-167	1.2148644708230352E-122	7.137246996521637E-99	8.164688841099733E-128
20	Popularity	iMF (test)	NaN	2.521022337143564E-168	8.848375800655267E-137	1.0045178229480918E-127	5.729459902143306E-148
20	Popularity	kNN (test)	NaN	1.7086736117023478E-173	5.999510668663816E-147	7.061016200567871E-126	5.157294528174684E-153
20	Popularity	kNN (full)	NaN	1.4208694788291808E-115	9.325328932709825E-84	4.0556137227008465E-67	2.7217365348404356E-85
20	Popularity	Average Rating	NaN	7.441965543202134E-292	3.019781344322558E-48	8.918418854292388E-37	7.045001417208956E-49
20	Popularity	Normalized kNN (full)	NaN	1.2225862584857515E-35	4.124986671459399E-95	6.888989253195634E-99	1.6984954838326404E-108
20	Random	Normalized kNN (test)	NaN	4.641630325167359E-262	0.0	0.0	0.0
