fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
2	1000	iMF (test)	1.0	0.14844841027175837	0.05183333333333334	0.2223211553240662	0.07709474594199925
2	1000	Normalized kNN (full)	1.0	0.11236139067875252	0.043629629629629636	0.18735096863115228	0.06523230636704741
2	1000	Random	1.0	0.004009673657000278	0.0018888888888888892	0.006943522162531956	0.002628137764162858
2	1000	iMF (full)	1.0	0.16385946327341339	0.05583333333333333	0.23095271794411934	0.08211130686511826
2	1000	Popularity	1.0	0.09404217940217928	0.035555555555555556	0.149218629085167	0.05255417136159949
2	200	Average Rating	1.0	0.012511026591839057	0.0056851851851851855	0.020421627443800956	0.007798938825202379
2	1	Average Rating	0.5208333333333334	0.5333501493357036	0.16777777777777778	0.6605953859534897	0.24531488977178542
5	20	Average Rating	1.0	0.23649123382610207	0.11144444444444446	0.45065569593012833	0.16306027509793367
2	200	iMF (test)	1.0	0.3202305235193691	0.1034814814814815	0.4281783210473487	0.15292999185672473
2	1000	kNN (test)	1.0	0.1532753320749501	0.0515925925925926	0.21556275453449938	0.07616570969422301
2	1	iMF (test)	0.5208333333333334	0.5777442679058046	0.17064814814814816	0.665197444996163	0.2484604195358879
5	20	iMF (test)	1.0	0.482776246822793	0.1520925925925926	0.6083344350337347	0.2223443209117048
2	500	Average Rating	1.0	0.004849714948411086	0.0028703703703703703	0.010043922947627822	0.0039445553254031105
2	2	Average Rating	0.6086296296296296	0.43023388702372806	0.16485185185185186	0.6554403527723568	0.24202483500404645
2	10	Average Rating	0.9994444444444445	0.3390644210392608	0.14187037037037037	0.5757561953381922	0.20900078811238004
2	50	Average Rating	1.0	0.10563073830095267	0.05470370370370371	0.2202691840904391	0.0799384538927235
1	50	Average Rating	1.0	0.10501055690931575	0.052000000000000005	0.21921466826626002	0.07639455987057994
2	0	Average Rating	0.43042592592592593	0.5714390676644433	0.1696111111111111	0.6639933816387661	0.24745167136420693
1	10	Average Rating	0.9994259259259258	0.34916144926904014	0.1371666666666667	0.5649742360253771	0.2021973659507327
1	1	Average Rating	0.5242592592592593	0.526894084726518	0.1675185185185185	0.6644369721342722	0.245069621487979
1	2	Average Rating	0.6122407407407408	0.456571630499689	0.16444444444444445	0.6589045786594382	0.24154239210175193
5	500	Average Rating	1.0	0.002307403027163492	0.0011481481481481481	0.0039247587380141285	0.0015043632092051075
1	0	Average Rating	0.4339074074074074	0.5766756694575503	0.1696666666666667	0.6683897391798755	0.24752913323428727
5	50	Average Rating	1.0	0.1237497050732762	0.061537037037037036	0.24627466025950895	0.08943639988936081
3	50	Average Rating	1.0	0.14055312929797595	0.06951851851851852	0.2962137536000175	0.10339691982415504
4	50	Average Rating	1.0	0.11056870740496345	0.05418518518518519	0.22650663462911869	0.07991084154854382
5	2	Average Rating	0.6092592592592593	0.5079293910920634	0.1665925925925926	0.6589343287914864	0.2433329920860027
3	2	Average Rating	0.6078703703703704	0.4363276252761231	0.1647962962962963	0.6550887439810893	0.24168426838051568
1	50	iMF (test)	1.0	0.45738240284523424	0.14022222222222222	0.5695398218208408	0.20604709378300812
2	500	iMF (test)	1.0	0.20780818698376008	0.07124074074074074	0.2998273621416174	0.10547484569738363
2	50	iMF (test)	1.0	0.4514741595959291	0.1396666666666667	0.5652367564884354	0.20530055454188076
2	10	iMF (test)	0.9994444444444445	0.512485642581879	0.16198148148148148	0.6420041644627151	0.23699738389175304
2	2	iMF (test)	0.6086296296296296	0.5763056565899962	0.17035185185185184	0.6648841225161739	0.24814225190184222
2	0	iMF (test)	0.43042592592592593	0.5833552853615582	0.17112962962962963	0.666016595747522	0.24906821932332188
1	1	iMF (test)	0.5242592592592593	0.5806258974550651	0.17048148148148148	0.6698678386661566	0.2483893628419335
1	10	iMF (test)	0.9994259259259258	0.51238302601642	0.16216666666666668	0.6469895011268522	0.23729512801214878
5	500	iMF (test)	1.0	0.21786797501267124	0.07364814814814814	0.30949823762769624	0.1089075615665686
1	0	iMF (test)	0.4339074074074074	0.5855309674613496	0.17112962962962963	0.6708911189213059	0.2491043360082105
1	2	iMF (test)	0.6122407407407408	0.5779315128140858	0.1701111111111111	0.6690725121813828	0.24788979123486835
3	50	iMF (test)	1.0	0.45694084365817716	0.13979629629629628	0.5634381376897248	0.20523367578184362
5	50	iMF (test)	1.0	0.4519441571215034	0.13896296296296295	0.5599873978305839	0.20346458875886006
