target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.5978148148148148	0.8112592592592592	0.8112592592592592	0.8112592592592592
500	Popularity	iMF (test)	1.0	0.5139259259259259	0.682037037037037	0.682037037037037	0.682037037037037
500	Popularity	Random	1.0	0.6342222222222222	0.6454074074074074	0.6454074074074074	0.6454074074074074
500	Popularity	Normalized kNN (full)	1.0	0.565037037037037	0.7391481481481481	0.7391481481481481	0.7391481481481481
500	Popularity	Normalized kNN (test)	1.0	0.6364814814814815	0.6411111111111111	0.6411111111111111	0.6411111111111111
500	Popularity	kNN (full)	1.0	0.5572962962962963	0.7487777777777778	0.7487777777777778	0.7487777777777778
500	Popularity	Average Rating	1.0	0.6362592592592593	0.6410740740740741	0.6410740740740741	0.6410740740740741
500	Popularity	iMF (full)	1.0	0.528962962962963	0.7054444444444444	0.7054444444444444	0.7054444444444444
20	Popularity	Random	1.0	0.3685185185185185	0.5348148148148149	0.5348148148148149	0.5348148148148149
20	Popularity	Normalized kNN (test)	1.0	0.3587037037037037	0.7163333333333334	0.7163333333333334	0.7163333333333334
20	Popularity	iMF (full)	1.0	0.4282962962962963	0.7582222222222222	0.7582222222222222	0.7582222222222222
20	Popularity	iMF (test)	1.0	0.4214074074074074	0.7511481481481481	0.7511481481481481	0.7511481481481481
20	Popularity	kNN (test)	1.0	0.4712222222222222	0.7972592592592592	0.7972592592592592	0.7972592592592592
20	Popularity	kNN (full)	1.0	0.4484074074074074	0.7786296296296297	0.7786296296296297	0.7786296296296297
20	Popularity	Average Rating	1.0	0.3597037037037037	0.6804074074074075	0.6804074074074075	0.6804074074074075
20	Popularity	Normalized kNN (full)	1.0	0.4225925925925926	0.648074074074074	0.648074074074074	0.648074074074074
20	Random	Normalized kNN (test)	1.0	0.3651111111111111	0.5395185185185185	0.5395185185185185	0.5395185185185185
20	Random	iMF (full)	1.0	0.3467777777777778	0.49937037037037035	0.49937037037037035	0.49937037037037035
20	Random	iMF (test)	1.0	0.3447777777777778	0.4955555555555556	0.4955555555555556	0.4955555555555556
20	Random	kNN (test)	1.0	0.3468148148148148	0.5023703703703704	0.5023703703703704	0.5023703703703704
20	Random	kNN (full)	1.0	0.35074074074074074	0.5081481481481481	0.5081481481481481	0.5081481481481481
20	Random	Average Rating	1.0	0.38096296296296295	0.5531111111111111	0.5531111111111111	0.5531111111111111
20	Random	Normalized kNN (full)	1.0	0.39714814814814814	0.5635555555555556	0.5635555555555556	0.5635555555555556
50	Popularity	Normalized kNN (full)	1.0	0.4536296296296296	0.6225925925925926	0.6225925925925926	0.6225925925925926
50	Popularity	iMF (full)	1.0	0.4471851851851852	0.7429629629629629	0.7429629629629629	0.7429629629629629
50	Popularity	iMF (test)	1.0	0.43707407407407406	0.7288148148148148	0.7288148148148148	0.7288148148148148
50	Popularity	kNN (test)	1.0	0.4907037037037037	0.7851111111111111	0.7851111111111111	0.7851111111111111
50	Popularity	Normalized kNN (test)	1.0	0.3794074074074074	0.5825925925925926	0.5825925925925926	0.5825925925925926
50	Popularity	kNN (full)	1.0	0.4686296296296296	0.756	0.756	0.756
50	Popularity	Random	1.0	0.3956296296296296	0.4680740740740741	0.4680740740740741	0.4680740740740741
50	Popularity	Average Rating	1.0	0.38092592592592595	0.5349259259259259	0.5349259259259259	0.5349259259259259
5	iMF (full)	Normalized kNN (full)	1.0	0.44992592592592595	0.8989259259259259	0.8989259259259259	0.8989259259259259
5	iMF (full)	Random	1.0	0.361	0.8759259259259259	0.8759259259259259	0.8759259259259259
5	iMF (full)	Normalized kNN (test)	1.0	0.44425925925925924	0.9417037037037037	0.9417037037037037	0.9417037037037037
