target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
0	Average Rating	kNN (test)	NaN	0.8732085091190978	1.6444267303252043E-5	8.459065237232726E-5	3.162877546434297E-5
0	Average Rating	Popularity	NaN	4.8956100301318645E-102	4.846997393180833E-24	9.966532952106232E-16	5.400677550462477E-24
0	Average Rating	Random	NaN	1.0919255547391742E-262	6.736189753196064E-53	4.524163864955427E-42	2.6908927385187367E-56
0	Average Rating	iMF (full)	NaN	3.936553197966645E-4	7.064069802423476E-10	2.56045430698346E-4	3.963871388148519E-8
0	Average Rating	Normalized kNN (full)	NaN	8.02016434112194E-43	1.9350940342928956E-15	6.612301557983463E-19	1.0973298275823777E-20
0	Average Rating	iMF (test)	NaN	2.9018788968163574E-21	7.133334621442717E-18	5.733142916513713E-10	4.506711024175803E-16
0	Average Rating	kNN (full)	NaN	0.6364309967288022	0.022404675116211335	0.18758544585631232	0.09123632180239316
0	Average Rating	Normalized kNN (test)	NaN	4.47499027509991E-28	3.4924013310466697E-9	3.0587194167334924E-5	5.323106165594491E-8
0	kNN (test)	Popularity	NaN	1.290031302166572E-296	1.2472410444979326E-65	2.2257681723167894E-44	2.5372478767374414E-64
0	kNN (test)	Random	NaN	1.417457417212946E-253	1.16464748367534E-68	9.858835218187219E-59	1.6668025236906176E-72
0	kNN (test)	iMF (full)	NaN	9.558746216750092E-11	0.0011540280512848512	0.9667662668403552	0.024600443279265725
0	kNN (test)	Normalized kNN (full)	NaN	1.3755783702991197E-72	6.047703776040303E-36	6.997051645237721E-40	1.8648608901773277E-42
0	kNN (test)	iMF (test)	NaN	1.2253609170759177E-44	1.0549509759805818E-10	3.134667336491902E-4	1.7894958713186868E-8
0	kNN (test)	kNN (full)	NaN	0.520296394865331	0.005785152484480543	8.427003242387446E-4	0.0010807607767231867
0	kNN (test)	Normalized kNN (test)	NaN	1.5678605188588825E-16	1.0	0.5072111847105439	0.8961004251742455
0	Popularity	Random	NaN	4.2474060458669417E-50	8.419372708078862E-14	8.777737969284074E-11	8.685111872371479E-16
0	Popularity	iMF (full)	NaN	2.7666404919585256E-248	5.490043268132518E-61	1.49519161301233E-37	5.8489393743792314E-61
0	Popularity	Normalized kNN (full)	NaN	1.6905652944489689E-18	0.07274057095451897	0.11765434681941023	0.9082148883024718
0	Popularity	iMF (test)	NaN	9.73962443007405E-303	2.0233024522170273E-69	5.877071759087478E-49	7.677933537767954E-71
0	Popularity	kNN (full)	NaN	3.333668935913367E-204	1.2988715356062697E-41	2.2621110781860537E-27	4.480149759217232E-39
0	Popularity	Normalized kNN (test)	NaN	1.0714646466668127E-175	4.971104055365553E-39	1.6550398911414457E-27	2.4909459963127815E-39
0	Random	iMF (full)	NaN	8.529844032059786E-297	6.732552424536614E-76	2.7178661787613375E-56	8.345163230069534E-78
0	Random	Normalized kNN (full)	NaN	1.1514958627649622E-102	1.193906331488206E-18	1.8350700817636217E-7	5.004491121771255E-16
0	Random	iMF (test)	NaN	0.0	4.2400906503981124E-86	1.5686624982614957E-69	7.502885216022876E-89
0	Random	kNN (full)	NaN	3.1321852985382887E-248	6.472653646961391E-60	1.5708089637474527E-46	7.799620760963772E-61
0	Random	Normalized kNN (test)	NaN	0.0	1.1076909387034577E-70	5.4991796797334395E-56	1.438281552932538E-73
0	iMF (full)	Normalized kNN (full)	NaN	1.739601197999339E-103	1.0681099851439006E-45	6.802088961891763E-37	1.7730074625891707E-49
0	iMF (full)	iMF (test)	NaN	2.880007869943128E-24	1.946799675970972E-6	5.155083528153061E-5	6.368800084738307E-6
0	iMF (full)	kNN (full)	NaN	5.772288968943422E-11	1.1758826695414358E-7	0.005634871061938694	1.6290337649155783E-6
0	iMF (full)	Normalized kNN (test)	NaN	9.870291210403223E-5	0.023648876679840558	0.5762258933744269	0.09512158842873819
0	Normalized kNN (full)	iMF (test)	NaN	2.2371202830680494E-167	1.1588901028096988E-56	1.412251461584461E-48	6.69248533100992E-61
0	Normalized kNN (full)	kNN (full)	NaN	2.613740202449842E-74	7.200597259307997E-28	1.3748275931872637E-26	4.265164368308393E-31
0	Normalized kNN (full)	Normalized kNN (test)	NaN	1.099791022175327E-99	2.0463799966593354E-29	9.049832971051122E-30	1.247824310631807E-34
0	iMF (test)	kNN (full)	NaN	2.958903069447222E-46	7.463414410397875E-17	8.63450190628971E-9	4.270020074035044E-15
0	iMF (test)	Normalized kNN (test)	NaN	0.01853393054052609	3.213083670600643E-7	0.0019873441684833625	5.66502740484222E-6
0	kNN (full)	Normalized kNN (test)	NaN	8.249377142568236E-17	0.052438889870376586	0.05379616928420265	0.024058961278616117
