fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10
1	0	Random	0.4277592592592593	0.5340452563664349	0.16637037037037036	0.6593736942985984
1	0	iMF (full)	0.4277592592592593	0.5788493170738235	0.1698703703703704	0.6664551444853289
1	0	Popularity	0.4277592592592593	0.5488173633083896	0.1672962962962963	0.6616864034164244
1	0	Normalized kNN (test)	0.4277592592592593	0.578639588883482	0.16983333333333334	0.6665546590210105
1	0	Average Rating	0.4277592592592593	0.5722384782388	0.1695185185185185	0.6667816524221869
1	0	Normalized kNN (full)	0.4277592592592593	0.5581007003186398	0.16814814814814816	0.6621669149940249
1	0	kNN (full/test)	0.4277592592592593	0.5746179342895341	0.16946296296296295	0.6656077933947588
1	0	iMF (test)	0.4277592592592593	0.581568366562939	0.17048148148148148	0.6674659163145649
2	0	Random	0.42975925925925923	0.5274113888550734	0.1659814814814815	0.6505681011889534
2	0	iMF (full)	0.42975925925925923	0.5712935226134888	0.1698703703703704	0.6584099971754445
2	0	Popularity	0.42975925925925923	0.5419709448994462	0.16748148148148148	0.654034026027092
2	0	Normalized kNN (test)	0.42975925925925923	0.5711576252219185	0.16925925925925925	0.6579062052821745
2	0	Average Rating	0.42975925925925923	0.5648867696988591	0.16864814814814816	0.6565834179195479
2	0	Normalized kNN (full)	0.42975925925925923	0.5524248651764961	0.16748148148148148	0.6530069554445188
2	0	kNN (full/test)	0.42975925925925923	0.5666006285169937	0.16931481481481483	0.6577559154323231
2	0	iMF (test)	0.42975925925925923	0.577019774725827	0.1701851851851852	0.6590149645028617
3	0	Random	0.43166666666666664	0.5341069095629392	0.1678888888888889	0.6609444198250335
3	0	iMF (full)	0.43166666666666664	0.57897376125946	0.1712962962962963	0.6681500548997021
3	0	Popularity	0.43166666666666664	0.5544559287365544	0.1690925925925926	0.6644411349830924
3	0	Normalized kNN (test)	0.43166666666666664	0.5783876335584447	0.17057407407407407	0.6674020660215186
3	0	Average Rating	0.43166666666666664	0.5748104422711507	0.17044444444444445	0.6665811343887743
3	0	Normalized kNN (full)	0.43166666666666664	0.5589832955842314	0.1696111111111111	0.6650054317188135
3	0	kNN (full/test)	0.43166666666666664	0.5771625579437212	0.17066666666666666	0.6669995357686916
3	0	iMF (test)	0.43166666666666664	0.5860523200708211	0.1715925925925926	0.6687648457391523
4	0	Random	0.43292592592592594	0.5337600918058094	0.16948148148148148	0.659336673914855
4	0	iMF (full)	0.43292592592592594	0.5789876913694876	0.1733888888888889	0.6688571554985362
4	0	Popularity	0.43292592592592594	0.5516551557429978	0.17051851851851854	0.663993546221787
4	0	Normalized kNN (test)	0.43292592592592594	0.5789870837394949	0.17246296296296298	0.6668704742408632
4	0	Average Rating	0.43292592592592594	0.5758239914671645	0.17229629629629628	0.6666617502542774
4	0	Normalized kNN (full)	0.43292592592592594	0.5582499684039548	0.1708888888888889	0.6633181331348837
4	0	kNN (full/test)	0.43292592592592594	0.5750760830090893	0.1724074074074074	0.6670431994341208
4	0	iMF (test)	0.43292592592592594	0.5869941308263521	0.1736666666666667	0.6691491091175013
5	0	Random	0.4311666666666667	0.528132309495934	0.1645740740740741	0.6586767501094046
5	0	iMF (full)	0.4311666666666667	0.5754804462733057	0.1683888888888889	0.6676225001373135
5	0	Popularity	0.4311666666666667	0.5503215595607464	0.16585185185185186	0.6624874051529188
5	0	Normalized kNN (test)	0.4311666666666667	0.5776505522838398	0.16762962962962963	0.6667509185834017
5	0	Average Rating	0.4311666666666667	0.5700184526190191	0.1672037037037037	0.6663526956632367
5	0	Normalized kNN (full)	0.4311666666666667	0.5560692587613614	0.1658888888888889	0.6619896822299963
5	0	kNN (full/test)	0.4311666666666667	0.5733298014782842	0.16807407407407407	0.6675414797713646
5	0	iMF (test)	0.4311666666666667	0.5786735045920082	0.16849999999999998	0.6678304332256915
1	1	Random	0.5175185185185185	0.48511761048355295	0.16453703703703704	0.6553342623232745
1	1	iMF (full)	0.5175185185185185	0.5701797874403461	0.16925925925925925	0.6653869324232443
1	1	Popularity	0.5175185185185185	0.5347402774297535	0.16616666666666668	0.6594591092871696
1	1	Normalized kNN (test)	0.5175185185185185	0.559397267119459	0.16872222222222222	0.6647105866537454
1	1	Average Rating	0.5175185185185185	0.5338628389596838	0.16775925925925925	0.6640705395985095
1	1	Normalized kNN (full)	0.5175185185185185	0.5324242228836467	0.16637037037037036	0.659014186387349
1	1	kNN (full/test)	0.5175185185185185	0.56705983098989	0.16874074074074075	0.6644046321013198
1	1	iMF (test)	0.5175185185185185	0.5757175841396813	0.1696851851851852	0.666047441014145
