target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	1.0	0.5658148148148148	0.7585925925925926	0.7585925925925926
500	Popularity	iMF (test)	1.0	0.5197777777777778	0.6847407407407408	0.6847407407407408
500	Popularity	Average Rating	1.0	0.6437037037037037	0.65	0.65
500	Popularity	Random	1.0	0.646	0.6567037037037037	0.6567037037037037
500	Popularity	Normalized kNN (full)	1.0	0.5683703703703704	0.7404444444444445	0.7404444444444445
500	Popularity	iMF (full)	1.0	0.5311481481481481	0.6982592592592592	0.6982592592592592
500	Popularity	Normalized kNN (test)	1.0	0.6348518518518519	0.6455925925925926	0.6455925925925926
1	Average Rating	iMF (test)	1.0	0.508962962962963	0.9681851851851851	0.9681851851851851
1	Average Rating	iMF (full)	1.0	0.5022592592592593	0.9676666666666667	0.9676666666666667
1	Average Rating	Normalized kNN (test)	1.0	0.5611481481481482	0.9737777777777777	0.9737777777777777
1	Average Rating	Normalized kNN (full)	1.0	0.46366666666666667	0.9626666666666667	0.9626666666666667
1	Average Rating	kNN (full/test)	1.0	0.510962962962963	0.9687037037037037	0.9687037037037037
1	Average Rating	Random	1.0	0.44355555555555554	0.9568888888888889	0.9568888888888889
1	Average Rating	Popularity	1.0	0.48985185185185187	0.9651851851851851	0.9651851851851851
50	Normalized kNN (test)	Popularity	1.0	0.3937407407407407	0.6413703703703704	0.6413703703703704
50	Normalized kNN (test)	Normalized kNN (full)	1.0	0.40903703703703703	0.606925925925926	0.606925925925926
50	Normalized kNN (test)	iMF (full)	1.0	0.37248148148148147	0.6333333333333333	0.6333333333333333
50	Normalized kNN (test)	Random	1.0	0.44562962962962965	0.5317037037037037	0.5317037037037037
50	Normalized kNN (test)	iMF (test)	1.0	0.3705555555555556	0.6318148148148148	0.6318148148148148
50	Normalized kNN (test)	Average Rating	1.0	0.4716666666666667	0.6239629629629629	0.6239629629629629
50	Normalized kNN (test)	kNN (full/test)	1.0	0.38196296296296295	0.6566666666666666	0.6566666666666666
20	Popularity	Random	1.0	0.36518518518518517	0.5242962962962963	0.5242962962962963
