target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10
500	Popularity	kNN (full/test)	0.0	0.5270370370370371	0.5270370370370371	0.5270370370370371
500	Popularity	iMF (test)	0.0	0.4935185185185185	0.4935185185185185	0.4935185185185185
500	Popularity	Average Rating	0.0	0.6412222222222222	0.6412222222222222	0.6412222222222222
500	Popularity	Random	0.0	0.6409259259259259	0.6409259259259259	0.6409259259259259
500	Popularity	Normalized kNN (full)	0.0	0.5467777777777778	0.5467777777777778	0.5467777777777778
500	Popularity	iMF (full)	0.0	0.5025185185185185	0.5025185185185185	0.5025185185185185
500	Popularity	Normalized kNN (test)	0.0	0.6332222222222222	0.6332222222222222	0.6332222222222222
1	Average Rating	iMF (test)	3.333333333333333E-4	0.32337037037037036	0.32337037037037036	0.32337037037037036
1	Average Rating	iMF (full)	3.333333333333333E-4	0.3232962962962963	0.3232962962962963	0.3232962962962963
1	Average Rating	Normalized kNN (test)	3.333333333333333E-4	0.32366666666666666	0.32366666666666666	0.32366666666666666
1	Average Rating	Normalized kNN (full)	3.333333333333333E-4	0.3232962962962963	0.3232962962962963	0.3232962962962963
1	Average Rating	kNN (full/test)	3.333333333333333E-4	0.32337037037037036	0.32337037037037036	0.32337037037037036
1	Average Rating	Random	3.333333333333333E-4	0.3234074074074074	0.3234074074074074	0.3234074074074074
1	Average Rating	Popularity	3.333333333333333E-4	0.32351851851851854	0.32351851851851854	0.32351851851851854
50	Normalized kNN (test)	Popularity	0.0	0.37425925925925924	0.37425925925925924	0.37425925925925924
50	Normalized kNN (test)	Normalized kNN (full)	0.0	0.39525925925925925	0.39525925925925925	0.39525925925925925
50	Normalized kNN (test)	iMF (full)	0.0	0.3542962962962963	0.3542962962962963	0.3542962962962963
50	Normalized kNN (test)	Random	0.0	0.43148148148148147	0.43148148148148147	0.43148148148148147
50	Normalized kNN (test)	iMF (test)	0.0	0.35403703703703704	0.35403703703703704	0.35403703703703704
50	Normalized kNN (test)	Average Rating	0.0	0.44596296296296295	0.44596296296296295	0.44596296296296295
50	Normalized kNN (test)	kNN (full/test)	0.0	0.36118518518518516	0.36118518518518516	0.36118518518518516
20	Popularity	Random	0.0	0.3512222222222222	0.3512222222222222	0.3512222222222222
20	Popularity	Normalized kNN (test)	0.0	0.33770370370370373	0.33770370370370373	0.33770370370370373
20	Popularity	iMF (full)	0.0	0.334	0.334	0.334
20	Popularity	iMF (test)	0.0	0.3323333333333333	0.3323333333333333	0.3323333333333333
20	Popularity	kNN (full/test)	0.0	0.3376296296296296	0.3376296296296296	0.3376296296296296
20	Popularity	Average Rating	0.0	0.3456666666666667	0.3456666666666667	0.3456666666666667
20	Popularity	Normalized kNN (full)	0.0	0.34859259259259257	0.34859259259259257	0.34859259259259257
20	Random	Normalized kNN (test)	0.0	0.34185185185185185	0.34185185185185185	0.34185185185185185
20	Random	iMF (full)	0.0	0.33496296296296296	0.33496296296296296	0.33496296296296296
20	Random	iMF (test)	0.0	0.3333333333333333	0.3333333333333333	0.3333333333333333
20	Random	kNN (full/test)	0.0	0.337	0.337	0.337
20	Random	Average Rating	0.0	0.3804814814814815	0.3804814814814815	0.3804814814814815
20	Random	Normalized kNN (full)	0.0	0.3858888888888889	0.3858888888888889	0.3858888888888889
50	Popularity	Normalized kNN (full)	0.0	0.3963333333333333	0.3963333333333333	0.3963333333333333
50	Popularity	iMF (full)	0.0	0.3574074074074074	0.3574074074074074	0.3574074074074074
50	Popularity	Random	0.0	0.4061111111111111	0.4061111111111111	0.4061111111111111
