target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	3.4215284711302614E-14	1.8566307604937397E-19	2.5005238611515128E-12	2.5933745275654437E-18
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	4.235318003284412E-80	1.0098748803034619E-76	4.274052231348984E-60	4.870707272272728E-78
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	8.090784001984362E-25	3.9075921840240226E-32	3.494756344286057E-24	6.678853556677335E-32
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	3.084494367874625E-11	0.4186907829319173	0.44609077898659555	0.6527557625434546
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	7.129782827894944E-10	7.439777810836156E-17	4.729782962818287E-9	1.0267795218700123E-15
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	6.262859833855844E-286	7.53790225E-316	3.6541036122215687E-289	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	1.163722310966472E-173	2.123276171975596E-158	3.980996729384325E-121	1.4135660982381873E-161
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.2286123292156843	0.3636317723154714	0.2992429188987621	0.2519022185830794
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	3.3181823168480607E-15	3.407605375074458E-29	1.0012285542913432E-22	4.814582124252455E-30
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	4.808405003484818E-90	4.191114342445694E-84	2.0032911991208173E-61	3.108185336344024E-84
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	1.8382462976129798E-12	8.116881159339062E-15	1.0109038849207835E-10	8.629689855341992E-15
