fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	Normalized kNN (k=1000, min=3)	1.0	0.0026748587551766495	0.0012962962962962963	0.0053645290017082835	0.0018123804231096657
3	1000	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.07105968435595678	0.02724074074074074	0.1190757798082524	0.04106203330261956
3	1000	Normalized kNN (k=3000, min=3)	1.0	0.00244299905008747	0.0011851851851851852	0.004100539932365312	0.0016057573503015226
3	1000	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.06902914596887456	0.02625925925925926	0.1083514147142162	0.03872875507636994
3	1000	kNN (k=200)	1.0	0.16207424416206057	0.05496296296296296	0.22852110895251482	0.0810854753733418
3	1000	kNN (k=600)	1.0	0.1560135619985694	0.05251851851851852	0.21849454404572827	0.07757093111108525
3	1000	Normalized kNN (k=800, min=3)	1.0	0.0030749772708275162	0.0014074074074074076	0.0053727147119360325	0.0020170536674951308
3	1000	iMF (k=5, lambda=0.1, alpha=1.0)	1.0	0.1517661709433682	0.052833333333333336	0.21621129023102262	0.07780923858277491
3	1000	Normalized kNN (k=100, min=3)	1.0	0.029386493710576132	0.013296296296296296	0.05643392487914462	0.01986158622781308
3	1000	iMF (k=50, lambda=0.1, alpha=1.0)	1.0	0.13750640213201884	0.04503703703703704	0.1865867423640205	0.06623242467934803
3	1000	Normalized kNN (k=50, min=3)	1.0	0.06049844541442822	0.026129629629629628	0.11278238268718276	0.03935178572717288
3	1000	iMF (k=10, lambda=1.0, alpha=10.0)	1.0	0.15330685175740372	0.05407407407407407	0.22594294330079598	0.07989713126492362
3	1000	Normalized kNN (k=4000, min=3)	1.0	0.0025637374916814976	0.0012037037037037038	0.004186433976592689	0.0016371856525612424
3	1000	Random	1.0	0.003823691867369693	0.0017592592592592592	0.006477786393539318	0.002374862637525548
3	1000	kNN (k=10)	1.0	0.10147502419877921	0.03548148148148148	0.14184874487657725	0.051567997060616495
2	1000	Normalized kNN (k=1000, min=3)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13539978389770055	0.047629629629629626	0.20354684792210134	0.0708639678754171
2	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.0707401417039795	0.0265	0.11649469030325545	0.039797511846949914
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
2	1000	kNN (k=80)	1.0	0.15904549098493306	0.05385185185185185	0.2232934176011761	0.07927043773055459
3	1000	iMF (k=50, lambda=1.0, alpha=100.0)	1.0	0.09256658814974464	0.033185185185185186	0.14000927060193802	0.04925001416033781
3	1000	kNN (k=30)	1.0	0.14201199180930585	0.04722222222222222	0.19322552635551002	0.06922196617914193
3	1000	Normalized kNN (k=60, min=3)	1.0	0.0516416850250843	0.022481481481481484	0.09616174370021895	0.03380393974357234
2	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.09578603379074173	0.033907407407407414	0.14384613125560228	0.05019303507832032
3	1000	kNN (k=2000)	1.0	0.1390240789633389	0.04837037037037037	0.20104730606054175	0.07143903862220616
2	1000	Normalized kNN (k=200, min=3)	1.0	0.012480196115073157	0.005574074074074074	0.022733355527636123	0.00821218509009914
2	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16217659318311126	0.0555	0.22995866031738094	0.08169856507435204
3	1000	Normalized kNN (k=30, min=3)	1.0	0.0898401466219677	0.03707407407407408	0.1575186609942413	0.05547080332541585
2	1000	Normalized kNN (k=10, min=3)	1.0	0.10106916990070157	0.030907407407407408	0.12707927884523826	0.045468471152738596
2	1000	kNN (k=60)	1.0	0.15623834049470636	0.05277777777777778	0.2190475373712342	0.07770321664517721
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
3	1000	Normalized kNN (k=400, min=3)	1.0	0.005711685624106748	0.0023333333333333335	0.010666890572344708	0.003505588550699731
2	1000	kNN (k=40)	1.0	0.14908744783402217	0.05040740740740741	0.20949218244671872	0.07406569168780848
3	1000	iMF (k=5, lambda=10.0, alpha=100.0)	1.0	0.06571493826787557	0.025	0.10964418581937663	0.03762286998509927
2	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.13870737872446715	0.04846296296296296	0.20626797240715128	0.0720405650502966
3	1000	kNN (k=90)	1.0	0.1631582800124476	0.055462962962962964	0.22982223292482326	0.08164941913035972
3	1000	Normalized kNN (k=700, min=3)	1.0	0.003694323052654641	0.0015555555555555557	0.006518030815585469	0.0022693156731443172
2	1000	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.1422151678044142	0.047703703703703706	0.19666322491175744	0.06991415132825453
3	1000	Normalized kNN (k=90, min=3)	1.0	0.032589725161087456	0.014574074074074074	0.062353846080307876	0.021858191871616924
3	1000	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.12618181214124405	0.04307407407407408	0.18141518341437815	0.06378983175108724
3	1000	kNN (k=70)	1.0	0.15937660560511205	0.05440740740740741	0.22409895428852197	0.08004331542828057
3	1000	iMF (k=5, lambda=1.0, alpha=100.0)	1.0	0.06909580091094315	0.026462962962962962	0.11521886395021652	0.03944697513603474
3	1000	iMF (k=5, lambda=10.0, alpha=10.0)	1.0	0.14011058716151362	0.04981481481481481	0.20600053129799203	0.0736865255758339
3	1000	kNN (k=50)	1.0	0.15442727590677122	0.0525	0.2156755453575709	0.07720146856961811
2	1000	Normalized kNN (k=40, min=3)	1.0	0.07584456821488214	0.031407407407407405	0.14066914898474997	0.04738562395122021
2	1000	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.15230156838286713	0.05244444444444444	0.2256221840261647	0.07808462221583397
3	1000	Normalized kNN (k=300, min=3)	1.0	0.007835989931967208	0.0033703703703703704	0.01385643626282155	0.0049052454385214396
2	1000	Normalized kNN (k=70, min=3)	1.0	0.04283459398119991	0.01877777777777778	0.08253209718279826	0.028298520631156017
3	1000	kNN (k=5000)	1.0	0.13157136687345372	0.04638888888888889	0.1935505752621202	0.06870766368576696
2	1000	kNN (k=700)	1.0	0.15235467607703215	0.05125925925925926	0.21503391031670172	0.07577017973438147
3	1000	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.1695816419034516	0.05690740740740741	0.23232192666473933	0.08352091094688016
3	1000	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.1516121946769868	0.05272222222222222	0.21563948259058752	0.07762243758450434
3	1000	Normalized kNN (k=2000, min=3)	1.0	0.0020823299330538637	0.0010925925925925927	0.003737185045820266	0.001467079192024121
3	1000	iMF (k=5, lambda=1.0, alpha=1.0)	1.0	0.15125805084054167	0.05262962962962963	0.21552026582078598	0.07751561179176404
3	1000	Normalized kNN (k=20, min=3)	1.0	0.11053641847735628	0.04357407407407408	0.18197290753591133	0.06496960010831233
3	1000	iMF (k=10, lambda=10.0, alpha=100.0)	1.0	0.07338377923572582	0.028111111111111114	0.11659187658783313	0.041489302043285256
2	1000	Normalized kNN (k=500, min=3)	1.0	0.0036338930795922703	0.0016481481481481482	0.006003864624819423	0.002275520578036228
3	1000	kNN (k=4000)	1.0	0.13206314042897707	0.04661111111111112	0.19404497085986547	0.0689502176642113
3	1000	kNN (k=800)	1.0	0.15277884987731258	0.05137037037037038	0.21375234574973176	0.07596190075873371
2	1000	Normalized kNN (k=900, min=3)	1.0	0.0022296509038911847	7.962962962962962E-4	0.0035023954137134187	0.0011118835527686517
2	1000	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.15231393900412135	0.05307407407407408	0.22652938489095395	0.0788359770935441
2	1000	kNN (k=300)	1.0	0.1586657278087373	0.05353703703703704	0.2229887351475136	0.07884084986373008
3	1000	iMF (k=50, lambda=0.1, alpha=10.0)	1.0	0.12684997059228836	0.04374074074074075	0.18383920418564598	0.06468190013963905
2	1000	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.16280478465351217	0.05564814814814815	0.22969935766023497	0.0817990903717894
3	1000	kNN (k=3000)	1.0	0.1340281256600418	0.04701851851851852	0.19553311251028782	0.06950966072572873
3	1000	kNN (k=900)	1.0	0.15074456999636146	0.0510925925925926	0.2122784842203147	0.07551340797126484
3	1000	kNN (k=100)	1.0	0.16297891301753378	0.05524074074074074	0.22852003706351082	0.08135221278737308
2	1000	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.13126516014890463	0.04474074074074075	0.18967982421405416	0.0664931955054277
3	1000	iMF (k=50, lambda=0.1, alpha=100.0)	1.0	0.09507432807204509	0.03381481481481482	0.14290432603202546	0.050152117140007654
3	1000	iMF (k=50, lambda=10.0, alpha=10.0)	1.0	0.13228247963742626	0.044222222222222225	0.187522302074778	0.06549802894487718
3	1000	Normalized kNN (k=80, min=3)	1.0	0.03867442595680738	0.017425925925925928	0.0745252380316276	0.02610212785486341
3	1000	Popularity	1.0	0.09515328782078136	0.03564814814814815	0.14675062515265894	0.05246785349527822
2	1000	Normalized kNN (k=300, min=3)	1.0	0.00662122540325746	0.0030555555555555557	0.012442528578596613	0.004440626325506319
3	1000	Normalized kNN (k=600, min=3)	1.0	0.003493627131878784	0.0015925925925925925	0.006237477521143286	0.0022693670073545783
2	1000	kNN (k=5000)	1.0	0.13265745151285133	0.04557407407407408	0.19367833160347622	0.06753596707499072
2	1000	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.1652543262299127	0.05583333333333333	0.23158468886002276	0.08219080682262916
2	1000	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.14690547012193533	0.05038888888888889	0.20893242197241252	0.07433391225014582
3	1000	kNN (k=400)	1.0	0.15918618405589924	0.05383333333333333	0.2229523760995783	0.0794460014947355
2	1000	Normalized kNN (k=20, min=3)	1.0	0.11228772238223295	0.04359259259259259	0.18716578344596707	0.06517057797198568
3	1000	Normalized kNN (k=5000, min=3)	1.0	0.00245790358041296	0.0012592592592592594	0.004178010354663321	0.0016475131698879114
2	1000	kNN (k=4000)	1.0	0.1327366784778049	0.045703703703703705	0.19396878444103052	0.06768828897241067
3	1000	kNN (k=1000)	1.0	0.14952885001666957	0.05068518518518518	0.21100014346289606	0.07497068695320269
2	1000	kNN (k=800)	1.0	0.15068774253539843	0.05075925925925926	0.2126553428964676	0.07499358842143393
