target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	1.9862796417985645E-222	6.233420660607661E-175	4.381007401217273E-142	7.700465746884982E-182
500	Popularity	iMF (test)	NaN	3.0841986924459153E-88	1.094615359285618E-78	8.04990983008578E-70	7.612347591501138E-85
500	Popularity	Random	NaN	3.133421163454706E-295	0.0	1.2097477762576548E-306	0.0
500	Popularity	Normalized kNN (full)	0.0	2.639877102919831E-24	9.287234164666381E-20	3.460147646368726E-14	1.489432378638739E-21
500	Popularity	Normalized kNN (test)	NaN	1.9695402293381706E-272	3.360826096358927E-293	6.874354981607392E-270	5.80689E-318
500	Popularity	kNN (full)	NaN	4.545510696304482E-183	7.473491787587158E-159	1.1859908937237603E-128	6.166175786073808E-166
500	Popularity	Average Rating	NaN	6.175388238279715E-282	4.659730643451792E-300	1.2003874757337058E-278	0.0
500	Popularity	iMF (full)	NaN	4.0406724018944223E-165	1.3529791269527386E-140	2.3293848067004074E-111	9.688569652363487E-146
20	Popularity	Random	NaN	4.7920697844490764E-197	3.360583787476267E-126	7.809570972576596E-114	2.9282969548713575E-135
20	Popularity	Normalized kNN (test)	NaN	0.06787997343751034	1.3204068614841903E-19	3.1019519321267976E-27	2.0951676870646112E-24
20	Popularity	iMF (full)	NaN	1.7004E-319	8.995817598638133E-219	5.6333150730955334E-217	7.743154019725113E-241
20	Popularity	iMF (test)	NaN	8.419416777665685E-284	4.250150451744121E-220	1.6020730036280004E-228	1.7389477156671164E-245
20	Popularity	kNN (test)	NaN	3.95886206120196E-288	1.6604623379203383E-219	1.1692787546583327E-211	3.5544981906487536E-237
20	Popularity	kNN (full)	1.1355527761559622E-32	1.666746959145872E-236	5.4936865413390975E-174	8.951153116152082E-163	4.8565513646629415E-188
20	Popularity	Average Rating	NaN	2.79329463591227E-76	3.377142882708418E-11	1.0405216018743028E-8	1.6205051854313023E-11
20	Popularity	Normalized kNN (full)	0.0	2.8373756569104917E-61	7.837583849121051E-243	7.560101001265484E-269	2.966093052583501E-280
20	Random	Normalized kNN (test)	NaN	2.541183167537338E-207	2.062228211789007E-224	1.1197736924135878E-209	8.496346833756772E-242
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	1.1355527761559622E-32	0.0	0.0	0.0	0.0
