fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
2	50	Average Rating	1.0	0.08998373238723889	0.04231481481481481	0.164427565694802	0.0608291687026236
2	50	iMF (test)	1.0	0.393362520951313	0.13192592592592592	0.533011801282385	0.19388514796820813
2	50	Normalized kNN (full)	0.24709259259259259	0.2380309044940109	0.06524074074074074	0.25663321233211467	0.09388150649474536
2	50	Random	1.0	0.07524354200120818	0.03448148148148149	0.12941704015721212	0.049076583295279405
2	50	iMF (full)	1.0	0.39391490279584973	0.1310925925925926	0.5315271752089585	0.19253107326535734
2	50	Popularity	1.0	0.2872182169043682	0.09616666666666668	0.3924766008917528	0.1417124930836572
2	50	kNN (test)	1.0	0.3763783280097864	0.12562962962962962	0.5155059255362624	0.185342528514448
2	50	Normalized kNN (test)	1.0	0.13675011024660558	0.0652962962962963	0.27705815918865	0.09659005311209236
2	50	kNN (full)	1.0	0.3729447245951411	0.12203703703703704	0.49486499726561517	0.17925138046662176
2	100	Average Rating	1.0	0.042021732966396365	0.01988888888888889	0.07631362819615467	0.028338729490645916
2	100	iMF (test)	1.0	0.34246541882563897	0.11459259259259261	0.46845206668265604	0.16872331914094724
2	100	Normalized kNN (full)	0.3085	0.22294528461767169	0.06424074074074075	0.2559602695436998	0.09316638865839696
2	100	Random	1.0	0.038015143304197155	0.017777777777777778	0.06366459464354164	0.024944205344348564
2	100	iMF (full)	1.0	0.3474017019629472	0.11427777777777778	0.4677108925216187	0.1680848556990741
2	100	Popularity	1.0	0.2575468713769688	0.08970370370370372	0.3678660383818875	0.13236878009792186
2	100	kNN (test)	1.0	0.32451337282345066	0.11009259259259259	0.4527455215775549	0.16243115582020737
2	100	Normalized kNN (test)	1.0	0.04370590931614656	0.021592592592592594	0.08966715518548676	0.03172008935986607
2	100	kNN (full)	1.0	0.32645458294563506	0.10725925925925926	0.4367777328703373	0.15760217521360753
2	20	Average Rating	1.0	0.2465242337661484	0.10803703703703703	0.4547724229409436	0.16034846999929672
2	20	iMF (test)	1.0	0.49327506410384137	0.15137037037037038	0.6057535032575422	0.2219519246007208
2	20	Normalized kNN (full)	0.14937037037037038	0.26714367168063524	0.06574074074074074	0.25702442504590073	0.09427817033654581
2	20	Random	1.0	0.15551957473524164	0.06601851851851852	0.2629447966534152	0.09590985937763961
2	20	iMF (full)	1.0	0.49194369052593534	0.14955555555555555	0.6004314062468755	0.21938157876807693
2	20	Popularity	1.0	0.4133187140750651	0.12261111111111112	0.5092367770321533	0.1814955058877749
2	20	kNN (test)	1.0	0.493290593612152	0.14757407407407408	0.5930088728265401	0.21651760380898533
2	20	Normalized kNN (test)	1.0	0.28292440806437075	0.11811111111111113	0.495589774733689	0.17538881806790466
2	20	kNN (full)	0.9823888888888889	0.47870171869923844	0.14412962962962964	0.5789338785061835	0.21148454418591822
2	500	Average Rating	1.0	0.007667530529607824	0.0037407407407407407	0.013236392265106263	0.005145249255420576
2	500	iMF (test)	1.0	0.21330712690122794	0.07183333333333335	0.303373083169349	0.10648373206925972
2	500	Normalized kNN (full)	0.7720555555555556	0.16761072705307573	0.05792592592592593	0.24084880900984112	0.08570454601730808
2	500	Random	1.0	0.008827928690013552	0.004222222222222223	0.01530645697640621	0.0058141643778204175
2	500	iMF (full)	1.0	0.22777795998083042	0.07540740740740741	0.3123589896662759	0.11110453913261968
2	500	Popularity	1.0	0.13559211706825258	0.05066666666666667	0.20948369861674135	0.07477648605987074
2	500	kNN (test)	1.0	0.22337710788754483	0.07155555555555557	0.29639399159117774	0.105645845138414
2	500	Normalized kNN (test)	1.0	0.005486309192736173	0.0023703703703703703	0.009787194052710557	0.003351665431579727
2	500	kNN (full)	1.0	0.22867516154516238	0.0745925925925926	0.30800605685571125	0.10987055147407251
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
2	1000	iMF (test)	1.0	0.15054922390879882	0.051500000000000004	0.21950357282764138	0.07647675730080637
2	1000	Normalized kNN (full)	0.9848333333333334	0.11228772238223295	0.04359259259259259	0.18716578344596707	0.06517057797198568
2	1000	Random	1.0	0.0036055486705151613	0.001851851851851852	0.006052649548833256	0.0024817752437437126
2	1000	iMF (full)	1.0	0.16153326814837232	0.054981481481481485	0.22920480225714038	0.08109495503419735
2	1000	Popularity	1.0	0.09404217940217928	0.035555555555555556	0.149218629085167	0.05255417136159949
2	1000	kNN (test)	1.0	0.1532753320749501	0.0515925925925926	0.21556275453449938	0.07616570969422301
2	1000	Normalized kNN (test)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
2	1000	kNN (full)	1.0	0.16148652815472303	0.05475925925925926	0.22787859389155407	0.08062535976524765
2	200	Average Rating	1.0	0.014490416562442513	0.00662962962962963	0.02328865414234072	0.009042675129037336
2	200	iMF (test)	1.0	0.2829448482708414	0.09524074074074075	0.39548644044505554	0.14067683475629508
2	200	Normalized kNN (full)	0.4586666666666667	0.20151396083400724	0.06261111111111112	0.2533336628354185	0.09163609591426751
2	200	Random	1.0	0.02175022805312841	0.01	0.03619650694596726	0.013867194789078425
2	200	iMF (full)	1.0	0.2915912201794091	0.09657407407407408	0.3982504451581113	0.1422361490799843
2	200	Popularity	1.0	0.19584869975535935	0.07083333333333333	0.2939636776080924	0.10470526601695676
2	200	kNN (test)	1.0	0.2691440316115413	0.0890925925925926	0.37011040501617226	0.1316741584140251
2	200	Normalized kNN (test)	1.0	0.02458664348545057	0.011685185185185186	0.04912058356129316	0.017181342919528764
2	200	kNN (full)	1.0	0.2791809225347567	0.09177777777777778	0.3766698501860013	0.13501251219197902
2	2	Average Rating	0.6072962962962963	0.45982632239913823	0.16496296296296298	0.655616317676198	0.24214318922552813
2	2	iMF (test)	0.6072962962962963	0.568972148248988	0.1696666666666667	0.6636935769021276	0.247343383991536
2	2	Normalized kNN (full)	0.13712962962962963	0.27169816548632697	0.06614814814814815	0.2572545680578595	0.09455436656577716
2	2	Random	0.6072962962962963	0.4579817601796867	0.16262962962962965	0.6496262487063162	0.23895303112109104
2	2	iMF (full)	0.6072962962962963	0.5614646336662098	0.16901851851851854	0.6628422951441705	0.24661952124220612
2	2	Popularity	0.6072962962962963	0.5261877192104618	0.1660740740740741	0.6566361683763644	0.24318912695259096
2	2	kNN (test)	0.6005925925925926	0.5570684302264308	0.1680925925925926	0.66056857764508	0.2455189828219157
2	2	Normalized kNN (test)	0.5970740740740741	0.4901745144321224	0.16574074074074074	0.6562887907341786	0.24289224950593613
2	2	kNN (full)	0.48214814814814816	0.5369175816685978	0.1583888888888889	0.6184720434790048	0.2307911147858826
2	10	Average Rating	0.9997222222222222	0.43177450810525103	0.15314814814814814	0.6176226760297786	0.22540963698993247
2	10	iMF (test)	0.9997222222222222	0.5327260171815038	0.162	0.6417494734206488	0.23699351021824003
2	10	Normalized kNN (full)	0.14344444444444446	0.2693482672101461	0.06601851851851852	0.25718017978144664	0.09447020192435744
2	10	Random	0.9997222222222222	0.2685880849452855	0.11268518518518518	0.47065855105773635	0.16680030448547423
2	10	iMF (full)	0.9997222222222222	0.5291471614599527	0.1605740740740741	0.6363321333519311	0.23490935001113666
2	10	Popularity	0.9997222222222222	0.4566415222764114	0.14644444444444446	0.5988554336662907	0.21638588602727676
2	10	kNN (test)	0.9981296296296296	0.5261203289295213	0.16018518518518518	0.6399748357388382	0.23495854707975253
2	10	Normalized kNN (test)	0.9962962962962963	0.434679550006299	0.15194444444444444	0.6193397175773374	0.22427405721448107
2	10	kNN (full)	0.8289259259259258	0.5094635024563242	0.15396296296296297	0.6096449465451826	0.22529948051442833
2	5	Average Rating	0.839574074074074	0.44396431583431833	0.15974074074074074	0.6429128950699976	0.23524619767862295
2	5	iMF (test)	0.839574074074074	0.550243526407923	0.1672037037037037	0.6578975123593439	0.24427746074927886
2	5	Normalized kNN (full)	0.14061111111111113	0.2701123755801059	0.06612962962962964	0.25722811303140447	0.09453258007340243
2	5	Random	0.839574074074074	0.3736044980888264	0.1503888888888889	0.6159877059810294	0.2223953142937178
2	5	iMF (full)	0.839574074074074	0.5449559646475294	0.1665925925925926	0.6570198148923257	0.24358095727082008
2	5	Popularity	0.839574074074074	0.48879974889097877	0.15966666666666668	0.641649056631132	0.2349551240654557
2	5	kNN (test)	0.8321666666666666	0.5369830555231059	0.16503703703703704	0.6541811983063118	0.24171076345515433
2	5	Normalized kNN (test)	0.8291111111111111	0.4672946629792493	0.16198148148148148	0.6486668041816366	0.23814512876246213
2	5	kNN (full)	0.634888888888889	0.519579211389001	0.15674074074074074	0.6157522584719389	0.22887888285324465
2	1	Average Rating	0.5192222222222223	0.530154382328644	0.16794444444444445	0.660880902229503	0.2455109239116142
2	1	iMF (test)	0.5192222222222223	0.5720741863202569	0.1700925925925926	0.6647772067496464	0.24788500979873795
2	1	Normalized kNN (full)	0.13696296296296298	0.2719041154132827	0.06620370370370371	0.25728229456620616	0.09458847150404877
2	1	Random	0.5192222222222223	0.48609124240185464	0.16483333333333333	0.6543978034169962	0.24170987815620576
2	1	iMF (full)	0.5192222222222223	0.5660667635493356	0.1695925925925926	0.6638966214762746	0.2473401160053276
2	1	Popularity	0.5192222222222223	0.5278088962745071	0.16648148148148148	0.6573742636144597	0.24369224445390245
2	1	kNN (test)	0.5177962962962963	0.5598867725835504	0.1688148148148148	0.6619355539382259	0.24637863953478195
2	1	Normalized kNN (test)	0.5168888888888888	0.5410088468345103	0.16827777777777778	0.6602960894132218	0.24571826122425464
2	1	kNN (full)	0.4534259259259259	0.5398306944055593	0.15883333333333335	0.6191667501693254	0.23129356341050925
