target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.5818518518518518	0.7874074074074074	0.7874074074074074	0.7874074074074074
500	Popularity	iMF (test)	1.0	0.5259259259259259	0.6775925925925926	0.6775925925925926	0.6775925925925926
500	Popularity	Random	1.0	0.6503703703703704	0.6581481481481481	0.6581481481481481	0.6581481481481481
500	Popularity	Normalized kNN (full)	0.42462962962962963	0.5738888888888889	0.7455555555555555	0.7455555555555555	0.7455555555555555
500	Popularity	Normalized kNN (test)	1.0	0.6387037037037037	0.6507407407407407	0.6507407407407407	0.6507407407407407
500	Popularity	kNN (full)	1.0	0.5494444444444444	0.7290740740740741	0.7290740740740741	0.7290740740740741
500	Popularity	Average Rating	1.0	0.6392592592592593	0.6457407407407407	0.6457407407407407	0.6457407407407407
500	Popularity	iMF (full)	1.0	0.5298148148148148	0.6972222222222222	0.6972222222222222	0.6972222222222222
20	Popularity	Random	1.0	0.3896296296296296	0.5787037037037037	0.5787037037037037	0.5787037037037037
20	Popularity	Normalized kNN (test)	1.0	0.3768518518518518	0.6787037037037037	0.6787037037037037	0.6787037037037037
20	Popularity	iMF (full)	1.0	0.4025925925925926	0.6892592592592592	0.6892592592592592	0.6892592592592592
20	Popularity	iMF (test)	1.0	0.40166666666666667	0.6822222222222222	0.6822222222222222	0.6822222222222222
20	Popularity	kNN (test)	1.0	0.4674074074074074	0.742037037037037	0.742037037037037	0.742037037037037
20	Popularity	kNN (full)	0.9664814814814815	0.43777777777777777	0.7214814814814815	0.7214814814814815	0.7214814814814815
20	Popularity	Average Rating	1.0	0.39166666666666666	0.6407407407407407	0.6407407407407407	0.6407407407407407
20	Popularity	Normalized kNN (full)	0.008148148148148147	0.4698148148148148	0.6229629629629629	0.6229629629629629	0.6229629629629629
20	Random	Normalized kNN (test)	1.0	0.37037037037037035	0.5644444444444444	0.5644444444444444	0.5644444444444444
20	Random	iMF (full)	1.0	0.3540740740740741	0.5270370370370371	0.5270370370370371	0.5270370370370371
20	Random	iMF (test)	1.0	0.3475925925925926	0.5214814814814814	0.5214814814814814	0.5214814814814814
20	Random	kNN (test)	1.0	0.35388888888888886	0.5396296296296297	0.5396296296296297	0.5396296296296297
20	Random	kNN (full)	0.9664814814814815	0.3592592592592593	0.5405555555555556	0.5405555555555556	0.5405555555555556
20	Random	Average Rating	1.0	0.4014814814814815	0.587037037037037	0.587037037037037	0.587037037037037
20	Random	Normalized kNN (full)	0.008148148148148147	0.44481481481481483	0.582962962962963	0.582962962962963	0.582962962962963
50	Popularity	Normalized kNN (full)	0.013333333333333334	0.48185185185185186	0.6548148148148148	0.6548148148148148	0.6548148148148148
50	Popularity	iMF (full)	1.0	0.4159259259259259	0.7077777777777777	0.7077777777777777	0.7077777777777777
50	Popularity	iMF (test)	1.0	0.40314814814814814	0.6883333333333334	0.6883333333333334	0.6883333333333334
50	Popularity	kNN (test)	1.0	0.4714814814814815	0.7766666666666666	0.7766666666666666	0.7766666666666666
50	Popularity	Normalized kNN (test)	1.0	0.4140740740740741	0.5894444444444444	0.5894444444444444	0.5894444444444444
50	Popularity	kNN (full)	1.0	0.44407407407407407	0.7327777777777778	0.7327777777777778	0.7327777777777778
50	Popularity	Random	1.0	0.4368518518518518	0.5140740740740741	0.5140740740740741	0.5140740740740741
50	Popularity	Average Rating	1.0	0.43777777777777777	0.5237037037037037	0.5237037037037037	0.5237037037037037
5	iMF (full)	Normalized kNN (full)	0.00537037037037037	0.425	0.4724074074074074	0.4724074074074074	0.4724074074074074
5	iMF (full)	Random	1.0	0.362962962962963	0.8818518518518519	0.8818518518518519	0.8818518518518519
5	iMF (full)	Normalized kNN (test)	0.34	0.44537037037037036	0.9233333333333333	0.9233333333333333	0.9233333333333333
5	iMF (full)	Average Rating	1.0	0.4640740740740741	0.9224074074074075	0.9224074074074075	0.9224074074074075
5	iMF (full)	Popularity	1.0	0.5138888888888888	0.9318518518518518	0.9318518518518518	0.9318518518518518
5	iMF (full)	kNN (full)	0.14296296296296296	0.5846296296296296	0.8807407407407407	0.8807407407407407	0.8807407407407407
5	iMF (full)	kNN (test)	0.7857407407407407	0.6181481481481481	0.9590740740740741	0.9590740740740741	0.9590740740740741
5	iMF (full)	iMF (test)	1.0	0.617037037037037	0.9618518518518518	0.9618518518518518	0.9618518518518518
200	Average Rating	kNN (test)	1.0	0.4622222222222222	0.477962962962963	0.477962962962963	0.477962962962963
200	Average Rating	iMF (full)	1.0	0.44407407407407407	0.4577777777777778	0.4577777777777778	0.4577777777777778
200	Average Rating	kNN (full)	1.0	0.46555555555555556	0.4774074074074074	0.4774074074074074	0.4774074074074074
200	Average Rating	Popularity	1.0	0.5203703703703704	0.534074074074074	0.534074074074074	0.534074074074074
200	Average Rating	iMF (test)	1.0	0.44981481481481483	0.4638888888888889	0.4638888888888889	0.4638888888888889
200	Average Rating	Random	1.0	0.8694444444444445	0.8787037037037037	0.8787037037037037	0.8787037037037037
200	Average Rating	Normalized kNN (full)	0.05037037037037037	0.5814814814814815	0.5964814814814815	0.5964814814814815	0.5964814814814815
200	Average Rating	Normalized kNN (test)	1.0	0.8344444444444444	0.8579629629629629	0.8579629629629629	0.8579629629629629
20	Normalized kNN (test)	iMF (full)	1.0	0.3685185185185185	0.7166666666666667	0.7166666666666667	0.7166666666666667
20	Normalized kNN (test)	iMF (test)	1.0	0.3711111111111111	0.72	0.72	0.72
20	Normalized kNN (test)	kNN (test)	1.0	0.37962962962962965	0.757962962962963	0.757962962962963	0.757962962962963
20	Normalized kNN (test)	kNN (full)	0.9664814814814815	0.3762962962962963	0.7346296296296296	0.7346296296296296	0.7346296296296296
20	Normalized kNN (test)	Average Rating	1.0	0.4151851851851852	0.7251851851851852	0.7251851851851852	0.7251851851851852
20	Normalized kNN (test)	Normalized kNN (full)	0.008148148148148147	0.38925925925925925	0.5551851851851852	0.5551851851851852	0.5551851851851852
0	Normalized kNN (full)	kNN (full)	0.1312962962962963	0.457037037037037	0.4987037037037037	0.4987037037037037	0.4987037037037037
0	Normalized kNN (full)	Random	0.09481481481481481	0.38	0.4675925925925926	0.4675925925925926	0.4675925925925926
0	Normalized kNN (full)	iMF (test)	0.09481481481481481	0.42388888888888887	0.46944444444444444	0.46944444444444444	0.46944444444444444
0	Normalized kNN (full)	Popularity	0.09481481481481481	0.4137037037037037	0.47	0.47	0.47
0	Normalized kNN (full)	Average Rating	0.09481481481481481	0.4009259259259259	0.4675925925925926	0.4675925925925926	0.4675925925925926
0	Normalized kNN (full)	iMF (full)	0.09481481481481481	0.4261111111111111	0.46796296296296297	0.46796296296296297	0.46796296296296297
0	Normalized kNN (full)	kNN (test)	0.0961111111111111	0.4261111111111111	0.4687037037037037	0.4687037037037037	0.4687037037037037
0	Normalized kNN (full)	Normalized kNN (test)	0.1037037037037037	0.4162962962962963	0.47555555555555556	0.47555555555555556	0.47555555555555556
50	Normalized kNN (full)	iMF (full)	0.013333333333333334	0.43777777777777777	0.5727777777777778	0.5727777777777778	0.5727777777777778
50	Normalized kNN (full)	iMF (test)	0.013333333333333334	0.4285185185185185	0.5698148148148148	0.5698148148148148	0.5698148148148148
50	Normalized kNN (full)	kNN (test)	0.013333333333333334	0.45166666666666666	0.5968518518518519	0.5968518518518519	0.5968518518518519
50	Normalized kNN (full)	Normalized kNN (test)	0.013333333333333334	0.465	0.6107407407407407	0.6107407407407407	0.6107407407407407
50	Normalized kNN (full)	kNN (full)	0.013333333333333334	0.4774074074074074	0.6196296296296296	0.6196296296296296	0.6196296296296296
50	Normalized kNN (full)	Random	0.013333333333333334	0.5285185185185185	0.6024074074074074	0.6024074074074074	0.6024074074074074
50	Normalized kNN (full)	Average Rating	0.013333333333333334	0.5216666666666666	0.6177777777777778	0.6177777777777778	0.6177777777777778
100	kNN (test)	Popularity	1.0	0.49574074074074076	0.779074074074074	0.779074074074074	0.779074074074074
100	kNN (test)	Normalized kNN (test)	1.0	0.40574074074074074	0.5257407407407407	0.5257407407407407	0.5257407407407407
100	kNN (test)	iMF (full)	1.0	0.4935185185185185	0.827037037037037	0.827037037037037	0.827037037037037
100	kNN (test)	iMF (test)	1.0	0.45185185185185184	0.779074074074074	0.779074074074074	0.779074074074074
100	kNN (test)	Normalized kNN (full)	0.017037037037037038	0.47333333333333333	0.6351851851851852	0.6351851851851852	0.6351851851851852
100	kNN (test)	Average Rating	1.0	0.4114814814814815	0.44666666666666666	0.44666666666666666	0.44666666666666666
100	kNN (test)	Random	1.0	0.4103703703703704	0.4559259259259259	0.4559259259259259	0.4559259259259259
100	kNN (test)	kNN (full)	1.0	0.5274074074074074	0.8355555555555556	0.8355555555555556	0.8355555555555556
0	kNN (full)	Random	0.6857407407407408	0.5366666666666666	0.8742592592592593	0.8742592592592593	0.8742592592592593
0	kNN (full)	iMF (test)	0.6857407407407408	0.6351851851851852	0.8875925925925926	0.8875925925925926	0.8875925925925926
0	kNN (full)	Popularity	0.6857407407407408	0.6364814814814815	0.8820370370370371	0.8820370370370371	0.8820370370370371
0	kNN (full)	Average Rating	0.6857407407407408	0.5825925925925926	0.8837037037037037	0.8837037037037037	0.8837037037037037
0	kNN (full)	iMF (full)	0.6857407407407408	0.6711111111111111	0.887962962962963	0.887962962962963	0.887962962962963
0	kNN (full)	kNN (test)	0.6968518518518518	0.7164814814814815	0.8951851851851852	0.8951851851851852	0.8951851851851852
0	kNN (full)	Normalized kNN (test)	0.7338888888888889	0.6192592592592593	0.9005555555555556	0.9005555555555556	0.9005555555555556
100	Popularity	Normalized kNN (test)	1.0	0.4425925925925926	0.5531481481481482	0.5531481481481482	0.5531481481481482
100	Popularity	iMF (full)	1.0	0.4412962962962963	0.712037037037037	0.712037037037037	0.712037037037037
100	Popularity	iMF (test)	1.0	0.42574074074074075	0.6938888888888889	0.6938888888888889	0.6938888888888889
100	Popularity	Normalized kNN (full)	0.017037037037037038	0.5003703703703704	0.68	0.68	0.68
100	Popularity	Average Rating	1.0	0.4622222222222222	0.49833333333333335	0.49833333333333335	0.49833333333333335
100	Popularity	Random	1.0	0.4687037037037037	0.5133333333333333	0.5133333333333333	0.5133333333333333
100	Popularity	kNN (full)	1.0	0.46944444444444444	0.7379629629629629	0.7379629629629629	0.7379629629629629
50	iMF (full)	iMF (test)	1.0	0.46555555555555556	0.8201851851851852	0.8201851851851852	0.8201851851851852
50	iMF (full)	kNN (test)	1.0	0.4622222222222222	0.812962962962963	0.812962962962963	0.812962962962963
50	iMF (full)	Normalized kNN (test)	1.0	0.3762962962962963	0.567037037037037	0.567037037037037	0.567037037037037
50	iMF (full)	kNN (full)	1.0	0.47	0.7872222222222223	0.7872222222222223	0.7872222222222223
50	iMF (full)	Random	1.0	0.3801851851851852	0.4457407407407407	0.4457407407407407	0.4457407407407407
50	iMF (full)	Average Rating	1.0	0.37796296296296295	0.4583333333333333	0.4583333333333333	0.4583333333333333
500	kNN (test)	iMF (test)	1.0	0.535	0.7575925925925926	0.7575925925925926	0.7575925925925926
500	kNN (test)	Random	1.0	0.5485185185185185	0.5588888888888889	0.5588888888888889	0.5588888888888889
500	kNN (test)	Normalized kNN (full)	0.42462962962962963	0.5553703703703704	0.7646296296296297	0.7646296296296297	0.7646296296296297
500	kNN (test)	Normalized kNN (test)	1.0	0.5407407407407407	0.5555555555555556	0.5555555555555556	0.5555555555555556
500	kNN (test)	kNN (full)	1.0	0.6240740740740741	0.8587037037037037	0.8587037037037037	0.8587037037037037
500	kNN (test)	Average Rating	1.0	0.5446296296296296	0.5564814814814815	0.5564814814814815	0.5564814814814815
500	kNN (test)	iMF (full)	1.0	0.5751851851851851	0.8174074074074074	0.8174074074074074	0.8174074074074074
100	Normalized kNN (test)	iMF (full)	1.0	0.3985185185185185	0.5198148148148148	0.5198148148148148	0.5198148148148148
100	Normalized kNN (test)	iMF (test)	1.0	0.39814814814814814	0.5187037037037037	0.5187037037037037	0.5187037037037037
100	Normalized kNN (test)	Normalized kNN (full)	0.017037037037037038	0.5083333333333333	0.6096296296296296	0.6096296296296296	0.6096296296296296
100	Normalized kNN (test)	Average Rating	1.0	0.6853703703703704	0.7388888888888889	0.7388888888888889	0.7388888888888889
100	Normalized kNN (test)	Random	1.0	0.6368518518518519	0.6809259259259259	0.6809259259259259	0.6809259259259259
100	Normalized kNN (test)	kNN (full)	1.0	0.4162962962962963	0.5375925925925926	0.5375925925925926	0.5375925925925926
200	kNN (test)	iMF (full)	1.0	0.52	0.8127777777777778	0.8127777777777778	0.8127777777777778
200	kNN (test)	kNN (full)	1.0	0.5592592592592592	0.845925925925926	0.845925925925926	0.845925925925926
200	kNN (test)	Popularity	1.0	0.5201851851851852	0.8046296296296296	0.8046296296296296	0.8046296296296296
200	kNN (test)	iMF (test)	1.0	0.4774074074074074	0.7711111111111111	0.7711111111111111	0.7711111111111111
200	kNN (test)	Random	1.0	0.46425925925925926	0.49018518518518517	0.49018518518518517	0.49018518518518517
200	kNN (test)	Normalized kNN (full)	0.05037037037037037	0.5066666666666667	0.7038888888888889	0.7038888888888889	0.7038888888888889
