target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	0.0	0.5472222222222223	0.5472222222222223	0.5472222222222223	0.5472222222222223
500	Popularity	iMF (test)	0.0	0.5062962962962962	0.5062962962962962	0.5062962962962962	0.5062962962962962
500	Popularity	Random	0.0	0.6488888888888888	0.6488888888888888	0.6488888888888888	0.6488888888888888
500	Popularity	Normalized kNN (full)	0.0	0.5575925925925926	0.5575925925925926	0.5575925925925926	0.5575925925925926
500	Popularity	Normalized kNN (test)	0.0	0.6375925925925926	0.6375925925925926	0.6375925925925926	0.6375925925925926
500	Popularity	kNN (full)	0.0	0.5211111111111111	0.5211111111111111	0.5211111111111111	0.5211111111111111
500	Popularity	Average Rating	0.0	0.6388888888888888	0.6388888888888888	0.6388888888888888	0.6388888888888888
500	Popularity	iMF (full)	0.0	0.5057407407407407	0.5057407407407407	0.5057407407407407	0.5057407407407407
20	Popularity	Random	0.0	0.37722222222222224	0.37722222222222224	0.37722222222222224	0.37722222222222224
20	Popularity	Normalized kNN (test)	0.0	0.35703703703703704	0.35703703703703704	0.35703703703703704	0.35703703703703704
20	Popularity	iMF (full)	0.0	0.3424074074074074	0.3424074074074074	0.3424074074074074	0.3424074074074074
20	Popularity	iMF (test)	0.0	0.3425925925925926	0.3425925925925926	0.3425925925925926	0.3425925925925926
20	Popularity	kNN (test)	0.0	0.357962962962963	0.357962962962963	0.357962962962963	0.357962962962963
20	Popularity	kNN (full)	0.0	0.35648148148148145	0.35648148148148145	0.35648148148148145	0.35648148148148145
20	Popularity	Average Rating	0.0	0.36944444444444446	0.36944444444444446	0.36944444444444446	0.36944444444444446
20	Popularity	Normalized kNN (full)	0.0	0.42055555555555557	0.42055555555555557	0.42055555555555557	0.42055555555555557
20	Random	Normalized kNN (test)	0.0	0.3572222222222222	0.3572222222222222	0.3572222222222222	0.3572222222222222
20	Random	iMF (full)	0.0	0.33814814814814814	0.33814814814814814	0.33814814814814814	0.33814814814814814
20	Random	iMF (test)	0.0	0.3362962962962963	0.3362962962962963	0.3362962962962963	0.3362962962962963
20	Random	kNN (test)	0.0	0.3414814814814815	0.3414814814814815	0.3414814814814815	0.3414814814814815
20	Random	kNN (full)	0.0	0.34425925925925926	0.34425925925925926	0.34425925925925926	0.34425925925925926
20	Random	Average Rating	0.0	0.38296296296296295	0.38296296296296295	0.38296296296296295	0.38296296296296295
20	Random	Normalized kNN (full)	0.0	0.43296296296296294	0.43296296296296294	0.43296296296296294	0.43296296296296294
50	Popularity	Normalized kNN (full)	0.0	0.4431481481481481	0.4431481481481481	0.4431481481481481	0.4431481481481481
50	Popularity	iMF (full)	0.0	0.37203703703703705	0.37203703703703705	0.37203703703703705	0.37203703703703705
50	Popularity	iMF (test)	0.0	0.3655555555555556	0.3655555555555556	0.3655555555555556	0.3655555555555556
50	Popularity	kNN (test)	0.0	0.39037037037037037	0.39037037037037037	0.39037037037037037	0.39037037037037037
50	Popularity	Normalized kNN (test)	0.0	0.40166666666666667	0.40166666666666667	0.40166666666666667	0.40166666666666667
50	Popularity	kNN (full)	0.0	0.3875925925925926	0.3875925925925926	0.3875925925925926	0.3875925925925926
50	Popularity	Random	0.0	0.43	0.43	0.43	0.43
50	Popularity	Average Rating	0.0	0.43333333333333335	0.43333333333333335	0.43333333333333335	0.43333333333333335
5	iMF (full)	Normalized kNN (full)	0.0	0.3283333333333333	0.3283333333333333	0.3283333333333333	0.3283333333333333
5	iMF (full)	Random	0.0	0.32685185185185184	0.32685185185185184	0.32685185185185184	0.32685185185185184
5	iMF (full)	Normalized kNN (test)	0.0	0.32592592592592595	0.32592592592592595	0.32592592592592595	0.32592592592592595
5	iMF (full)	Average Rating	0.0	0.32537037037037037	0.32537037037037037	0.32537037037037037	0.32537037037037037
5	iMF (full)	Popularity	0.0	0.32685185185185184	0.32685185185185184	0.32685185185185184	0.32685185185185184
5	iMF (full)	kNN (full)	0.0	0.3264814814814815	0.3264814814814815	0.3264814814814815	0.3264814814814815
5	iMF (full)	kNN (test)	0.0	0.32666666666666666	0.32666666666666666	0.32666666666666666	0.32666666666666666
5	iMF (full)	iMF (test)	0.0	0.3275925925925926	0.3275925925925926	0.3275925925925926	0.3275925925925926
200	Average Rating	kNN (test)	0.0	0.46055555555555555	0.46055555555555555	0.46055555555555555	0.46055555555555555
200	Average Rating	iMF (full)	0.0	0.44222222222222224	0.44222222222222224	0.44222222222222224	0.44222222222222224
200	Average Rating	kNN (full)	0.0	0.46314814814814814	0.46314814814814814	0.46314814814814814	0.46314814814814814
200	Average Rating	Popularity	0.0	0.5196296296296297	0.5196296296296297	0.5196296296296297	0.5196296296296297
200	Average Rating	iMF (test)	0.0	0.44796296296296295	0.44796296296296295	0.44796296296296295	0.44796296296296295
200	Average Rating	Random	0.0	0.8681481481481481	0.8681481481481481	0.8681481481481481	0.8681481481481481
200	Average Rating	Normalized kNN (full)	0.0	0.5805555555555556	0.5805555555555556	0.5805555555555556	0.5805555555555556
200	Average Rating	Normalized kNN (test)	0.0	0.83	0.83	0.83	0.83
20	Normalized kNN (test)	iMF (full)	0.0	0.3375925925925926	0.3375925925925926	0.3375925925925926	0.3375925925925926
20	Normalized kNN (test)	iMF (test)	0.0	0.3383333333333333	0.3383333333333333	0.3383333333333333	0.3383333333333333
20	Normalized kNN (test)	kNN (test)	0.0	0.3487037037037037	0.3487037037037037	0.3487037037037037	0.3487037037037037
20	Normalized kNN (test)	kNN (full)	0.0	0.3440740740740741	0.3440740740740741	0.3440740740740741	0.3440740740740741
20	Normalized kNN (test)	Average Rating	0.0	0.3735185185185185	0.3735185185185185	0.3735185185185185	0.3735185185185185
20	Normalized kNN (test)	Normalized kNN (full)	0.0	0.3735185185185185	0.3735185185185185	0.3735185185185185	0.3735185185185185
0	Normalized kNN (full)	kNN (full)	0.04666666666666667	0.345	0.345	0.345	0.345
0	Normalized kNN (full)	Random	0.030925925925925926	0.3264814814814815	0.3264814814814815	0.3264814814814815	0.3264814814814815
0	Normalized kNN (full)	iMF (test)	0.030925925925925926	0.32611111111111113	0.32611111111111113	0.32611111111111113	0.32611111111111113
0	Normalized kNN (full)	Popularity	0.030925925925925926	0.32666666666666666	0.32666666666666666	0.32666666666666666	0.32666666666666666
0	Normalized kNN (full)	Average Rating	0.030925925925925926	0.32537037037037037	0.32537037037037037	0.32537037037037037	0.32537037037037037
0	Normalized kNN (full)	iMF (full)	0.030925925925925926	0.3257407407407407	0.3257407407407407	0.3257407407407407	0.3257407407407407
0	Normalized kNN (full)	kNN (test)	0.03148148148148148	0.327037037037037	0.327037037037037	0.327037037037037	0.327037037037037
0	Normalized kNN (full)	Normalized kNN (test)	0.034444444444444444	0.33111111111111113	0.33111111111111113	0.33111111111111113	0.33111111111111113
50	Normalized kNN (full)	iMF (full)	0.0	0.38333333333333336	0.38333333333333336	0.38333333333333336	0.38333333333333336
50	Normalized kNN (full)	iMF (test)	0.0	0.3798148148148148	0.3798148148148148	0.3798148148148148	0.3798148148148148
50	Normalized kNN (full)	kNN (test)	0.0	0.39537037037037037	0.39537037037037037	0.39537037037037037	0.39537037037037037
50	Normalized kNN (full)	Normalized kNN (test)	0.0	0.4559259259259259	0.4559259259259259	0.4559259259259259	0.4559259259259259
50	Normalized kNN (full)	kNN (full)	0.0	0.40814814814814815	0.40814814814814815	0.40814814814814815	0.40814814814814815
50	Normalized kNN (full)	Random	0.0	0.5205555555555555	0.5205555555555555	0.5205555555555555	0.5205555555555555
50	Normalized kNN (full)	Average Rating	0.0	0.5196296296296297	0.5196296296296297	0.5196296296296297	0.5196296296296297
100	kNN (test)	Popularity	0.0	0.41185185185185186	0.41185185185185186	0.41185185185185186	0.41185185185185186
100	kNN (test)	Normalized kNN (test)	0.0	0.4	0.4	0.4	0.4
100	kNN (test)	iMF (full)	0.0	0.3909259259259259	0.3909259259259259	0.3909259259259259	0.3909259259259259
100	kNN (test)	iMF (test)	0.0	0.3824074074074074	0.3824074074074074	0.3824074074074074	0.3824074074074074
100	kNN (test)	Normalized kNN (full)	0.0	0.417962962962963	0.417962962962963	0.417962962962963	0.417962962962963
100	kNN (test)	Average Rating	0.0	0.4088888888888889	0.4088888888888889	0.4088888888888889	0.4088888888888889
100	kNN (test)	Random	0.0	0.4072222222222222	0.4072222222222222	0.4072222222222222	0.4072222222222222
100	kNN (test)	kNN (full)	0.0	0.40370370370370373	0.40370370370370373	0.40370370370370373	0.40370370370370373
0	kNN (full)	Random	0.030925925925925926	0.32537037037037037	0.32537037037037037	0.32537037037037037	0.32537037037037037
0	kNN (full)	iMF (test)	0.030925925925925926	0.3251851851851852	0.3251851851851852	0.3251851851851852	0.3251851851851852
0	kNN (full)	Popularity	0.030925925925925926	0.3257407407407407	0.3257407407407407	0.3257407407407407	0.3257407407407407
0	kNN (full)	Average Rating	0.030925925925925926	0.32481481481481483	0.32481481481481483	0.32481481481481483	0.32481481481481483
0	kNN (full)	iMF (full)	0.030925925925925926	0.32537037037037037	0.32537037037037037	0.32537037037037037	0.32537037037037037
0	kNN (full)	kNN (test)	0.03148148148148148	0.3264814814814815	0.3264814814814815	0.3264814814814815	0.3264814814814815
0	kNN (full)	Normalized kNN (test)	0.034074074074074076	0.33055555555555555	0.33055555555555555	0.33055555555555555	0.33055555555555555
100	Popularity	Normalized kNN (test)	0.0	0.4368518518518518	0.4368518518518518	0.4368518518518518	0.4368518518518518
100	Popularity	iMF (full)	0.0	0.3912962962962963	0.3912962962962963	0.3912962962962963	0.3912962962962963
100	Popularity	iMF (test)	0.0	0.3857407407407407	0.3857407407407407	0.3857407407407407	0.3857407407407407
100	Popularity	Normalized kNN (full)	0.0	0.4601851851851852	0.4601851851851852	0.4601851851851852	0.4601851851851852
100	Popularity	Average Rating	0.0	0.4596296296296296	0.4596296296296296	0.4596296296296296	0.4596296296296296
100	Popularity	Random	0.0	0.4638888888888889	0.4638888888888889	0.4638888888888889	0.4638888888888889
100	Popularity	kNN (full)	0.0	0.4090740740740741	0.4090740740740741	0.4090740740740741	0.4090740740740741
50	iMF (full)	iMF (test)	0.0	0.36333333333333334	0.36333333333333334	0.36333333333333334	0.36333333333333334
50	iMF (full)	kNN (test)	0.0	0.3701851851851852	0.3701851851851852	0.3701851851851852	0.3701851851851852
