target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Random	NaN	0.0	0.0	0.0	0.0
500	Popularity	Normalized kNN (full)	NaN	4.886674778204544E-137	5.1403524455521866E-129	6.6233409268162055E-102	2.1145204103110968E-141
500	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
500	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
500	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
500	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Random	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (test)	NaN	0.0	3.916958620316838E-15	2.5386382076719336E-4	1.941238244730244E-12
20	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Popularity	Normalized kNN (full)	NaN	2.459612296853696E-196	0.0	0.0	0.0
20	Random	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Random	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Random	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Random	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Random	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (full)	NaN	3.76469738738928E-47	2.085E-320	0.0	0.0
50	Popularity	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	iMF (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Popularity	kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Popularity	Random	NaN	0.0	0.0	0.0	0.0
50	Popularity	Average Rating	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (full)	NaN	0.0	2.8049487924E-314	2.1052302061825743E-221	2.055E-321
5	iMF (full)	Random	NaN	0.0	0.0	0.0	0.0
5	iMF (full)	Normalized kNN (test)	NaN	0.0	8.296339505383098E-48	3.772913552695034E-16	1.6110166546649827E-40
5	iMF (full)	Average Rating	NaN	2.52555173E-316	1.2088196718059887E-86	4.266199341156709E-42	1.1120536950038235E-80
5	iMF (full)	Popularity	NaN	0.0	1.2707641838246424E-217	2.1723938761584193E-135	9.354780079229745E-216
5	iMF (full)	kNN (full)	NaN	3.7796202299894694E-41	8.298092516781963E-34	3.30501671120882E-14	8.463013909666714E-31
5	iMF (full)	kNN (test)	NaN	2.0793245491513356E-15	8.754503345442487E-12	0.01793141809212637	2.964589586303072E-8
5	iMF (full)	iMF (test)	NaN	1.0702408014045159E-13	2.7299094174731676E-9	4.2585804823686296E-8	1.4613000325462845E-9
200	Average Rating	kNN (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Popularity	NaN	0.0	0.0	0.0	0.0
200	Average Rating	iMF (test)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Random	NaN	3.154474708621797E-24	1.2111106641908987E-21	4.163061006647364E-15	7.728027712120182E-22
200	Average Rating	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
200	Average Rating	Normalized kNN (test)	NaN	3.177308660178898E-82	4.798046592990128E-92	4.088041765581942E-98	3.878965651872475E-110
20	Normalized kNN (test)	iMF (full)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	iMF (test)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (test)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	kNN (full)	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
20	Normalized kNN (test)	Normalized kNN (full)	NaN	5.787586953447534E-109	3.937413410689658E-253	0.0	7.2622012205E-314
0	Normalized kNN (full)	kNN (full)	NaN	5.785366353842527E-72	3.0123113769637738E-27	2.0063426231565295E-21	1.7044505223208143E-29
0	Normalized kNN (full)	Random	NaN	1.0482551787458775E-126	1.9591412939497466E-22	1.5613684731795946E-14	1.5059072135473294E-20
0	Normalized kNN (full)	iMF (test)	NaN	2.773062082629164E-166	1.8423803620532295E-57	1.3183232848600103E-39	1.5812436756892442E-59
0	Normalized kNN (full)	Popularity	NaN	2.6041033845222232E-20	0.009075665192304056	0.6691961223808567	0.23709491605160016
0	Normalized kNN (full)	Average Rating	NaN	6.005943771115253E-41	2.3373967704913383E-14	3.7306688263746655E-14	1.7427592275678068E-18
0	Normalized kNN (full)	iMF (full)	NaN	6.2328671538047E-102	1.7487440984474936E-46	1.1440794859682798E-33	3.724750730017603E-49
0	Normalized kNN (full)	kNN (test)	NaN	6.111245501143103E-69	2.7653777160213683E-34	1.7124294433192328E-31	1.0698798861525968E-38
0	Normalized kNN (full)	Normalized kNN (test)	NaN	1.0368393962651422E-97	1.0920200550024308E-28	1.1331353602914743E-24	1.8044774727152443E-32
50	Normalized kNN (full)	iMF (full)	NaN	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	iMF (test)	NaN	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	kNN (test)	NaN	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Normalized kNN (test)	NaN	0.0	3.5007185996221776E-152	4.864249129879214E-59	4.4637375860276336E-129
50	Normalized kNN (full)	kNN (full)	NaN	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Random	NaN	0.0	0.0	0.0	0.0
50	Normalized kNN (full)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Popularity	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Normalized kNN (test)	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	iMF (full)	NaN	3.503745590013891E-114	7.421779710662486E-77	8.398263423311817E-32	1.7398269760667819E-65
100	kNN (test)	iMF (test)	NaN	1.4171977874319112E-64	1.0588985018079853E-81	3.8864776532666946E-51	6.430272244527327E-78
100	kNN (test)	Normalized kNN (full)	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Average Rating	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	Random	NaN	0.0	0.0	0.0	0.0
100	kNN (test)	kNN (full)	NaN	2.8821832513487874E-8	2.1797944950019106E-5	2.0911232154619784E-15	2.9058870727232467E-9
