target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
500	Popularity	kNN (test)	1.0	0.5834814814814815	0.7854074074074074	0.7854074074074074	0.7854074074074074
500	Popularity	iMF (test)	1.0	0.5197777777777778	0.678962962962963	0.678962962962963	0.678962962962963
500	Popularity	Random	1.0	0.6524444444444445	0.6633703703703704	0.6633703703703704	0.6633703703703704
500	Popularity	Normalized kNN (full)	1.0	0.5717407407407408	0.7389629629629629	0.7389629629629629	0.7389629629629629
500	Popularity	Normalized kNN (test)	1.0	0.6506296296296297	0.6571481481481481	0.6571481481481481	0.6571481481481481
500	Popularity	kNN (full)	1.0	0.5495555555555556	0.7307777777777777	0.7307777777777777	0.7307777777777777
500	Popularity	Average Rating	1.0	0.6433703703703704	0.6532592592592592	0.6532592592592592	0.6532592592592592
500	Popularity	iMF (full)	1.0	0.5281481481481481	0.6932222222222222	0.6932222222222222	0.6932222222222222
20	Popularity	Random	1.0	0.3684074074074074	0.5364814814814814	0.5364814814814814	0.5364814814814814
20	Popularity	Normalized kNN (test)	1.0	0.36537037037037035	0.7046296296296296	0.7046296296296296	0.7046296296296296
20	Popularity	iMF (full)	1.0	0.44555555555555554	0.7437777777777778	0.7437777777777778	0.7437777777777778
20	Popularity	iMF (test)	1.0	0.4378888888888889	0.741	0.741	0.741
20	Popularity	kNN (test)	1.0	0.49574074074074076	0.7790370370370371	0.7790370370370371	0.7790370370370371
20	Popularity	kNN (full)	1.0	0.4676296296296296	0.766	0.766	0.766
20	Popularity	Average Rating	1.0	0.36944444444444446	0.6465555555555556	0.6465555555555556	0.6465555555555556
20	Popularity	Normalized kNN (full)	1.0	0.43107407407407405	0.6507777777777778	0.6507777777777778	0.6507777777777778
20	Random	Normalized kNN (test)	1.0	0.369	0.5471111111111111	0.5471111111111111	0.5471111111111111
20	Random	iMF (full)	1.0	0.3471851851851852	0.4994074074074074	0.4994074074074074	0.4994074074074074
20	Random	iMF (test)	1.0	0.3454814814814815	0.4968888888888889	0.4968888888888889	0.4968888888888889
20	Random	kNN (test)	1.0	0.34725925925925927	0.5022962962962964	0.5022962962962964	0.5022962962962964
20	Random	kNN (full)	1.0	0.3519259259259259	0.5094074074074074	0.5094074074074074	0.5094074074074074
20	Random	Average Rating	1.0	0.3937037037037037	0.5707407407407408	0.5707407407407408	0.5707407407407408
20	Random	Normalized kNN (full)	1.0	0.3967777777777778	0.5704074074074074	0.5704074074074074	0.5704074074074074
50	Popularity	Normalized kNN (full)	1.0	0.4587037037037037	0.6561851851851852	0.6561851851851852	0.6561851851851852
50	Popularity	iMF (full)	1.0	0.41788888888888887	0.7016296296296296	0.7016296296296296	0.7016296296296296
50	Popularity	iMF (test)	1.0	0.4083333333333333	0.6900740740740741	0.6900740740740741	0.6900740740740741
50	Popularity	kNN (test)	1.0	0.4723333333333333	0.7591481481481481	0.7591481481481481	0.7591481481481481
50	Popularity	Normalized kNN (test)	1.0	0.40574074074074074	0.5859629629629629	0.5859629629629629	0.5859629629629629
50	Popularity	kNN (full)	1.0	0.4454814814814815	0.7275925925925926	0.7275925925925926	0.7275925925925926
50	Popularity	Random	1.0	0.4312962962962963	0.5108518518518519	0.5108518518518519	0.5108518518518519
50	Popularity	Average Rating	1.0	0.4222962962962963	0.5445925925925926	0.5445925925925926	0.5445925925925926
5	iMF (full)	Normalized kNN (full)	1.0	0.44985185185185184	0.8992222222222223	0.8992222222222223	0.8992222222222223
5	iMF (full)	Random	1.0	0.35748148148148146	0.8793703703703704	0.8793703703703704	0.8793703703703704
5	iMF (full)	Normalized kNN (test)	1.0	0.441	0.9377037037037037	0.9377037037037037	0.9377037037037037
5	iMF (full)	Average Rating	1.0	0.43122222222222223	0.9257407407407408	0.9257407407407408	0.9257407407407408
5	iMF (full)	Popularity	1.0	0.4822592592592593	0.9187037037037037	0.9187037037037037	0.9187037037037037
5	iMF (full)	kNN (full)	1.0	0.5667407407407408	0.9433333333333334	0.9433333333333334	0.9433333333333334
5	iMF (full)	kNN (test)	1.0	0.6017777777777777	0.9542222222222222	0.9542222222222222	0.9542222222222222
5	iMF (full)	iMF (test)	1.0	0.6212962962962963	0.9641851851851851	0.9641851851851851	0.9641851851851851
200	Average Rating	kNN (test)	1.0	0.4649259259259259	0.48288888888888887	0.48288888888888887	0.48288888888888887
200	Average Rating	iMF (full)	1.0	0.4487037037037037	0.465037037037037	0.465037037037037	0.465037037037037
200	Average Rating	kNN (full)	1.0	0.4613333333333333	0.4784814814814815	0.4784814814814815	0.4784814814814815
200	Average Rating	Popularity	1.0	0.5253333333333333	0.5423703703703704	0.5423703703703704	0.5423703703703704
200	Average Rating	iMF (test)	1.0	0.4458888888888889	0.4631111111111111	0.4631111111111111	0.4631111111111111
200	Average Rating	Random	1.0	0.8678518518518519	0.8762592592592593	0.8762592592592593	0.8762592592592593
