====================
Dataset: ml100k-popular
====================

P@10
Recommender	Full	Test
iMF (full)	0.26086956521739135	0.5665959703075292
iMF (test)	0.10337221633085895	0.5811240721102864
kNN (full)	0.2340190880169671	0.5652598091198303
kNN (test)	0.2334252386002121	0.5655779427359491
Normalized kNN (full)	0.14413573700954402	0.5553340402969247
Normalized kNN (test)	0.04409331919406151	0.5730434782608695
Average Rating	0.02267232237539767	0.5686532343584305
Popularity	0.13151643690349948	0.532576882290562
Random	0.006935312831389184	0.4826086956521739

Recall@10
Recommender	Full	Test
iMF (full)	0.2870729168963503	0.7071727466279759
iMF (test)	0.11222750911607708	0.7194181461164272
kNN (full)	0.25593272091366004	0.7065026881691582
kNN (test)	0.25646889423391117	0.7066605118545358
Normalized kNN (full)	0.1801224052277703	0.6958995359498057
Normalized kNN (test)	0.033217150311544076	0.7143335536036391
Average Rating	0.01590737024614394	0.7108121053067542
Popularity	0.1363579514517292	0.6868064640630893
Random	0.0050497172285253866	0.6518649629499993

nDCG@10
Recommender	Full	Test
iMF (full)	0.36378037699402477	0.8073244227542652
iMF (test)	0.1276402156801189	0.8274857514471423
kNN (full)	0.3257147985676074	0.8069271534025371
kNN (test)	0.3263086428565436	0.8070576716480137
Normalized kNN (full)	0.18870376476896494	0.7908055719288769
Normalized kNN (test)	0.04059645090657986	0.8207592798290004
Average Rating	0.018989739964690774	0.8154585671298932
Popularity	0.17076857518159827	0.7521807609782771
Random	0.00760543861721949	0.6817720004887367

FScore@10
Recommender	Full	Test
iMF (full)	0.22375215063757178	0.5295137853719802
iMF (test)	0.08775364722053607	0.5419781304229881
kNN (full)	0.19867025711023328	0.5286156277913154
kNN (test)	0.19809578534564834	0.528840383539663
Normalized kNN (full)	0.13002286001023183	0.5191704379091091
Normalized kNN (test)	0.03241420940138061	0.535936222992479
Average Rating	0.016271862222931886	0.5324686291994606
Popularity	0.10886533270483274	0.5058193093482016
Random	0.0050224497550685	0.4687124417019941

