====================
Dataset: ml1m-unpopular
====================

P@10
Recommender	Full	Test
iMF (full)	0.3788543046357616	0.65941059602649
iMF (test)	0.1974139072847682	0.6842781456953642
kNN (full)	0.34225165562913906	0.6577549668874172
kNN (test)	0.3390860927152317	0.6592814569536424
Normalized kNN (full)	0.23296688741721852	0.6421291390728476
Normalized kNN (test)	0.1007814569536424	0.6731490066225165
Average Rating	0.054473509933774845	0.6652317880794703
Popularity	0.21480132450331127	0.6238046357615893
Random	0.010940397350993378	0.5490099337748344

Recall@10
Recommender	Full	Test
iMF (full)	0.2950855359717019	0.6188494467160165
iMF (test)	0.1447066810471284	0.6347951850175904
kNN (full)	0.2671655901321107	0.6178994446176781
kNN (test)	0.26226459428745563	0.61976288572345
Normalized kNN (full)	0.20410367908769894	0.6050624345076139
Normalized kNN (test)	0.05538396109404318	0.63031026557695
Average Rating	0.032579142456311834	0.6261885812666679
Popularity	0.14329021448318424	0.6026333151536389
Random	0.00540948226329221	0.5655266268379784

nDCG@10
Recommender	Full	Test
iMF (full)	0.46908231132295714	0.8394264464719507
iMF (test)	0.2287169717583825	0.8690372749431896
kNN (full)	0.4286566731981547	0.8377815433503493
kNN (test)	0.42500968466281536	0.8402833604576175
Normalized kNN (full)	0.2805024880848228	0.8141978618317113
Normalized kNN (test)	0.1040216010428576	0.8578221975089455
Average Rating	0.04956556412334534	0.8470285426100883
Popularity	0.2574022171832535	0.7938288411793055
Random	0.011461150873519326	0.691098170768379

FScore@10
Recommender	Full	Test
iMF (full)	0.2704032927201158	0.5281770075095588
iMF (test)	0.135338949796494	0.5456919311695019
kNN (full)	0.2434927387781428	0.5270199947876812
kNN (test)	0.24008454818666475	0.5286831979820147
Normalized kNN (full)	0.17681642250715784	0.5141079986892327
Normalized kNN (test)	0.05957937665850297	0.5397977771528362
Average Rating	0.033277023598985676	0.5347877742723415
Popularity	0.13926619689723146	0.507568464104794
Random	0.005942123159578593	0.4634119501628963

