====================
Dataset: ml1m
====================

P@10
Recommender	Full	Test
iMF (full)	0.3545761589403974	0.6593145695364238
iMF (test)	0.17767218543046356	0.6843940397350993
kNN (full)	0.31431788079470196	0.6577847682119206
kNN (test)	0.31109602649006624	0.6592814569536424
Normalized kNN (full)	0.2084569536423841	0.6422781456953642
Normalized kNN (test)	0.0815132450331126	0.6731490066225165
Average Rating	0.043748344370860934	0.6652317880794703
Popularity	0.19391390728476818	0.6238046357615894
Random	0.009758278145695364	0.5486754966887417

Recall@10
Recommender	Full	Test
iMF (full)	0.2736552440025711	0.6188751807967329
iMF (test)	0.13040402376109828	0.6348718221200254
kNN (full)	0.244584329633041	0.6179197051702234
kNN (test)	0.23951952846043248	0.6197736078931125
Normalized kNN (full)	0.18519582088287007	0.6052079970064097
Normalized kNN (test)	0.04446836961593238	0.6303110933915196
Average Rating	0.026983640065364044	0.6261885812666679
Popularity	0.12378838279832619	0.602633315153639
Random	0.004882788316470241	0.5656154297402018

nDCG@10
Recommender	Full	Test
iMF (full)	0.43935340431362524	0.8391625214025428
iMF (test)	0.20715773600703402	0.869347663534292
kNN (full)	0.3963052527315995	0.8377671934495055
kNN (test)	0.39198762320161384	0.8403017417239618
Normalized kNN (full)	0.25045871507921413	0.8143946553839033
Normalized kNN (test)	0.07909153955152162	0.8578271731925501
Average Rating	0.03792016309930142	0.8470285426100881
Popularity	0.22755614959337284	0.7938288411793055
Random	0.010297765198165127	0.6923561835920553

FScore@10
Recommender	Full	Test
iMF (full)	0.2513043812501576	0.5281856462041671
iMF (test)	0.12157511442027784	0.5458245437498362
kNN (full)	0.2226343171415785	0.5270528479339041
kNN (test)	0.21914249303578193	0.5286842167118025
Normalized kNN (full)	0.15877510178723142	0.5142589881864279
Normalized kNN (test)	0.048218230682865015	0.5397981450704228
Average Rating	0.027280460902779875	0.5347877742723415
Popularity	0.1225281488223267	0.5075684641047941
Random	0.005206660622697711	0.4634259160590458

