====================
Dataset: yahoo-popular
====================

P@10
Recommender	Full	Test
iMF (full)	0.05672222222222223	0.1704037037037037
iMF (test)	0.05269629629629631	0.17081851851851854
kNN (full)	0.05482222222222222	0.16981851851851854
kNN (test)	0.051614814814814815	0.17004444444444444
Normalized kNN (full)	0.04345925925925927	0.1684037037037037
Normalized kNN (test)	9.592592592592593E-4	0.17004444444444444
Average Rating	8.481481481481482E-4	0.16950740740740738
Popularity	0.03508148148148148	0.16805185185185184
Random	0.0017888888888888891	0.16690740740740742

Recall@10
Recommender	Full	Test
iMF (full)	0.23647039441363377	0.6667128906713626
iMF (test)	0.22459223563844324	0.6672476574319709
kNN (full)	0.22909079740171007	0.6657007065846636
kNN (test)	0.21718778843053183	0.6664108790191603
Normalized kNN (full)	0.18504898247376717	0.6623342863924682
Normalized kNN (test)	0.004105776229309294	0.6662249770585258
Average Rating	0.003282202893273326	0.6651907170710192
Popularity	0.14671235895634877	0.6620386510592283
Random	0.006267055346692972	0.6592676545186901

nDCG@10
Recommender	Full	Test
iMF (full)	0.16818828159107105	0.5779923322943585
iMF (test)	0.15068303749829387	0.58361002662656
kNN (full)	0.16085276161182702	0.5734527161595467
kNN (test)	0.15312198899877782	0.57365127410745
Normalized kNN (full)	0.11208950753259231	0.5589144889250806
Normalized kNN (test)	0.0022365441505996075	0.5810424261465379
Average Rating	0.0017553256116998848	0.5738029278808916
Popularity	0.09325514664404641	0.5513397001346665
Random	0.0036868824438491842	0.5327694687710254

FScore@10
Recommender	Full	Test
iMF (full)	0.08362854488740067	0.24810003775862294
iMF (test)	0.07835946838628119	0.24854154194698702
kNN (full)	0.0808661668920406	0.24743090318776959
kNN (test)	0.07631176042183677	0.24776178739238713
Normalized kNN (full)	0.0649518800250793	0.2456041084591642
Normalized kNN (test)	0.0013594098559874962	0.24774327165989024
Average Rating	0.0011884403629720524	0.24714708100978816
Popularity	0.051745395502839096	0.24539884443372553
Random	0.002422523265715651	0.24389358882089093

