====================
Dataset: ml100k/male
====================

P@10
Recommender	Full	Test
iMF (full)	0.21967164179104479	0.5597910447761194
iMF (test)	0.08071641791044776	0.584955223880597
kNN (full/test)	0.24197014925373134	0.5800000000000001
Normalized kNN (full)	0.15188059701492537	0.5727164179104478
Normalized kNN (test)	0.02480597014925373	0.5890149253731344
Average Rating	0.009791044776119402	0.5862686567164179
Popularity	0.1438805970149254	0.5486567164179105
Random	0.008388059701492537	0.48734328358208945

Recall@10
Recommender	Full	Test
iMF (full)	0.2463339351872575	0.6792260329273366
iMF (test)	0.08933929598311226	0.6972420793711473
kNN (full/test)	0.24817165449214657	0.6935722810423293
Normalized kNN (full)	0.1708914034185379	0.6843003193358251
Normalized kNN (test)	0.02225517777057063	0.7014562637506137
Average Rating	0.006491050747595521	0.6995976364597093
Popularity	0.13522082030504817	0.6744371137214741
Random	0.005907839664684911	0.6326641054902231

nDCG@10
Recommender	Full	Test
iMF (full)	0.30513573173791786	0.781129802798605
iMF (test)	0.09644770126316607	0.8102109765719525
kNN (full/test)	0.3279301170390377	0.806061514051908
Normalized kNN (full)	0.19221871874385654	0.7935372888477794
Normalized kNN (test)	0.02083908100101186	0.8196742922994957
Average Rating	0.008981379738713166	0.815840325301104
Popularity	0.1820826751112528	0.7549559526332528
Random	0.008606340545183298	0.6722239217442246

FScore@10
Recommender	Full	Test
iMF (full)	0.19183112566502805	0.5185819279498943
iMF (test)	0.06951248232748883	0.5378078790523354
kNN (full/test)	0.20057421809740344	0.5337420427361717
Normalized kNN (full)	0.131613787200317	0.5261156703007699
Normalized kNN (test)	0.0195619734019824	0.541690489579323
Average Rating	0.006604915277669257	0.5396280527911025
Popularity	0.11489285890317599	0.511686803171202
Random	0.00590831069838413	0.4669127735709801

