====================
Dataset: ml100k
====================

P@10
Recommender	Full	Test
iMF (full)	0.2617391304347826	0.5674655355249204
iMF (test)	0.10458112407211029	0.5794485683987276
kNN (full)	0.2340190880169671	0.5652598091198303
kNN (test)	0.23134676564156945	0.5658112407211029
Normalized kNN (full)	0.14413573700954402	0.5554612937433723
Normalized kNN (test)	0.04767762460233298	0.5738494167550371
Average Rating	0.022672322375397666	0.5686532343584305
Popularity	0.13151643690349948	0.532576882290562
Random	0.007592788971367975	0.48220572640509013

Recall@10
Recommender	Full	Test
iMF (full)	0.27987057207143573	0.7068774491274776
iMF (test)	0.10941224422407148	0.718242422492061
kNN (full)	0.25593272091366004	0.7065026881691581
kNN (test)	0.25389511317729213	0.7059277421920882
Normalized kNN (full)	0.1801224052277703	0.6964938587320768
Normalized kNN (test)	0.03928001513330009	0.713494319075064
Average Rating	0.01590737024614394	0.7108121053067542
Popularity	0.1363579514517292	0.6868064640630893
Random	0.0060963782434893515	0.653543147538812

nDCG@10
Recommender	Full	Test
iMF (full)	0.35868777641327626	0.80780463887598
iMF (test)	0.1289295392046641	0.8261550061294238
kNN (full)	0.3257147985676074	0.8069229885637197
kNN (test)	0.3220073504255156	0.8064569278186902
Normalized kNN (full)	0.18870376476896492	0.7907202809700206
Normalized kNN (test)	0.04609609123917374	0.8207998182183858
Average Rating	0.018989739964690774	0.8154585671298932
Popularity	0.17076857518159827	0.7521807609782771
Random	0.008521650054671379	0.6819849405961609

FScore@10
Recommender	Full	Test
iMF (full)	0.22106105702313594	0.5296049621941613
iMF (test)	0.08694590950592605	0.5406948775775985
kNN (full)	0.19867025711023328	0.5286156277913154
kNN (test)	0.1964480733467819	0.5285488143723496
Normalized kNN (full)	0.13002286001023186	0.51940626518523
Normalized kNN (test)	0.035583003581971376	0.5359201016408864
Average Rating	0.016271862222931886	0.5324686291994606
Popularity	0.10886533270483274	0.5058193093482015
Random	0.0055277709704052835	0.4693903447668041

