====================
Dataset: ml1m/female
====================

P@10
Recommender	Full	Test
iMF (full)	0.22608543007606788	0.6276301930953775
iMF (test)	0.06498537156231715	0.646085430076068
kNN (full/test)	0.1929432416617905	0.6325687536571094
Normalized kNN (full)	0.10533645406670569	0.6181275599765945
Normalized kNN (test)	0.004821533060269163	0.6421884142773553
Average Rating	0.0050204798127559975	0.6397425394967817
Popularity	0.11673493270918667	0.6069982445874782
Random	0.005196021064950264	0.5493036863662961

Recall@10
Recommender	Full	Test
iMF (full)	0.1915563244177731	0.6488396932377803
iMF (test)	0.054468316700722406	0.6598193044466738
kNN (full/test)	0.15504643926073175	0.6527502072356717
Normalized kNN (full)	0.10772573427248092	0.6397561838063041
Normalized kNN (test)	0.0032163503840473536	0.6593709103177262
Average Rating	0.0028066134255801396	0.658320570754305
Popularity	0.07969430717870656	0.6392881308169093
Random	0.003042876745535776	0.6092638001102773

nDCG@10
Recommender	Full	Test
iMF (full)	0.287180660790867	0.8264814778786459
iMF (test)	0.0734862524010175	0.8468387381381653
kNN (full/test)	0.2507328719090095	0.8318956242745468
Normalized kNN (full)	0.12700135180686517	0.8082561986912828
Normalized kNN (test)	0.003967504641161421	0.8442314303934616
Average Rating	0.004677551947131508	0.8398244723159068
Popularity	0.14177000673127188	0.7942643144735704
Random	0.0056109602661286425	0.7119675007145472

FScore@10
Recommender	Full	Test
iMF (full)	0.16804430945310583	0.5317966784672749
iMF (test)	0.047067464809706916	0.5441762614264933
kNN (full/test)	0.13850721830407617	0.5358113296199317
Normalized kNN (full)	0.08633178000745023	0.5228648294413633
Normalized kNN (test)	0.003143523148839893	0.5428566293708401
Average Rating	0.0030084755942862786	0.541500382933416
Popularity	0.07503653983049233	0.5196332472762109
Random	0.003015100343157519	0.48428386858851447

