====================
Dataset: ml1m/old
====================

P@10
Recommender	Full	Test
iMF (full)	0.1666315789473684	0.6161052631578947
iMF (test)	0.025631578947368422	0.6172105263157894
kNN (full)	0.1570526315789474	0.6202105263157895
kNN (test)	0.12763157894736843	0.6227368421052631
Normalized kNN (full)	0.0898421052631579	0.6054210526315791
Normalized kNN (test)	0.005947368421052632	0.6255263157894737
Average Rating	0.007421052631578948	0.6209473684210527
Popularity	0.08710526315789476	0.6102631578947368
Random	0.004105263157894737	0.5618421052631579

Recall@10
Recommender	Full	Test
iMF (full)	0.1566460618181039	0.7230535384390567
iMF (test)	0.026402156885360278	0.7278555893754795
kNN (full)	0.15413508767297385	0.7262116392001123
kNN (test)	0.11281387841435478	0.7293737150414428
Normalized kNN (full)	0.10679329874369559	0.7149295088973621
Normalized kNN (test)	0.004685999050886866	0.7319072557411141
Average Rating	0.004644650694840973	0.7298813870705907
Popularity	0.07464236062652041	0.7214244575906317
Random	0.00300585851617958	0.6902016560955124

nDCG@10
Recommender	Full	Test
iMF (full)	0.2177851832603138	0.8541148623727075
iMF (test)	0.027732443412262574	0.8558803956218805
kNN (full)	0.21351496043225832	0.8589403088819324
kNN (test)	0.167143183463443	0.8619287651255231
Normalized kNN (full)	0.10946329099725138	0.8351830169903176
Normalized kNN (test)	0.005695299186408572	0.86614228191243
Average Rating	0.009890054487846143	0.8580533392322813
Popularity	0.10620233260827647	0.8411493375424927
Random	0.004667056281539687	0.7611343889182202

FScore@10
Recommender	Full	Test
iMF (full)	0.13415858588030305	0.566591792103588
iMF (test)	0.02188391951302534	0.5699888363674629
kNN (full)	0.12762917586495487	0.5696862937636318
kNN (test)	0.09818285575624203	0.5723971051270542
Normalized kNN (full)	0.08005220462094613	0.5579429615586496
Normalized kNN (test)	0.003995380890305282	0.5752458829403888
Average Rating	0.004852079388950403	0.5726024212246796
Popularity	0.0653192222199894	0.5633270357625084
Random	0.0027173226148696854	0.5293995841575454

