====================
Dataset: yahoo
====================

P@10
Recommender	Full	Test
iMF (full)	0.05653703703703704	0.1703962962962963
iMF (test)	0.052814814814814814	0.17075555555555558
kNN (full)	0.05482222222222222	0.1698111111111111
kNN (test)	0.05372222222222223	0.17005555555555557
Normalized kNN (full)	0.043448148148148145	0.16842962962962965
Normalized kNN (test)	9.592592592592593E-4	0.17004444444444444
Average Rating	8.481481481481482E-4	0.16950740740740738
Popularity	0.03508148148148148	0.16805185185185184
Random	0.0021666666666666666	0.16666296296296296

Recall@10
Recommender	Full	Test
iMF (full)	0.235671348396601	0.6665875352149305
iMF (test)	0.22558824463373672	0.6671172369802872
kNN (full)	0.22909079740171007	0.6656940340391022
kNN (test)	0.2252556346711147	0.666322675931812
Normalized kNN (full)	0.1849854022268536	0.662005618714639
Normalized kNN (test)	0.004105776229309294	0.6662249770585257
Average Rating	0.003282202893273326	0.6651907170710192
Popularity	0.14671235895634877	0.6620386510592283
Random	0.008010066553658421	0.6588964280067221

nDCG@10
Recommender	Full	Test
iMF (full)	0.16799046835232095	0.5777732151359015
iMF (test)	0.15213294060917565	0.5835840891350708
kNN (full)	0.16085276161182704	0.5735393794488596
kNN (test)	0.15903878642335556	0.5742350128885603
Normalized kNN (full)	0.1120663703096499	0.5587599517664836
Normalized kNN (test)	0.002236544150599607	0.5810402744326459
Average Rating	0.0017553256116998848	0.5738029278808916
Popularity	0.09325514664404641	0.5513397001346664
Random	0.004653723808076503	0.5337763921108936

FScore@10
Recommender	Full	Test
iMF (full)	0.08332485861285006	0.24805746351969785
iMF (test)	0.07858850295928309	0.24845460437482214
kNN (full)	0.0808661668920406	0.24742519950669611
kNN (test)	0.07935262370107148	0.24774927022649984
Normalized kNN (full)	0.06493339727326322	0.2456047134754294
Normalized kNN (test)	0.0013594098559874964	0.24774327165989019
Average Rating	0.0011884403629720522	0.24714708100978813
Popularity	0.051745395502839096	0.24539884443372548
Random	0.002967527328868605	0.24356658574559148

