====================
Dataset: ml100k-popular
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5660869565217391	0.580254506892895	0.5652598091198303	0.5655779427359491	0.5554612937433723	0.5738069989395547	0.5686532343584306	0.532576882290562	0.48004241781548257
1	0.5637539766702014	0.5758430540827147	0.563457051961824	0.563626723223754	0.5479109225874867	0.5693319194061506	0.5603605514316012	0.5283987274655355	0.4674443266171792
2	0.5642629904559915	0.5738706256627784	0.5623753976670202	0.5625662778366914	0.543626723223754	0.5669565217391304	0.5560763520678684	0.5247720042417816	0.4488441145281018
5	0.5530434782608695	0.5554612937433723	0.5430540827147402	0.5427571580063627	0.5169247083775186	0.5417815482502651	0.5170519618239661	0.4861293743372216	0.40716861081654293
10	0.5369459172852598	0.5341463414634147	0.5246871686108164	0.5241145281018027	0.48568398727465534	0.5064475079533404	0.46432661717921525	0.4430116648992577	0.33887592788971366
20	0.5047083775185579	0.4795121951219513	0.48634146341463413	0.4848568398727465	0.4451961823966066	0.4423541887592789	0.3862142099681867	0.36525980911983036	0.268525980911983
50	0.4478260869565217	0.37709437963944853	0.4247720042417815	0.42409331919406157	0.36612937433722165	0.3052386002120891	0.2363308589607635	0.2981760339342524	0.16858960763520678
100	0.392237539766702	0.29535524920466594	0.3557794273594911	0.35427359490986216	0.29823966065747615	0.2126405090137858	0.1593849416755037	0.23408271474019085	0.10844114528101803
200	0.33857900318133616	0.21045599151643693	0.3042629904559915	0.30341463414634146	0.24171792152704136	0.13985153764581124	0.11015906680805938	0.1866595970307529	0.06407211028632026
500	0.2853022269353128	0.14305408271474018	0.25440084835630966	0.25408271474019084	0.171983032873807	0.08704135737009544	0.06956521739130435	0.15217391304347827	0.028080593849416757
1000	0.26551431601272535	0.11096500530222694	0.23683987274655355	0.23643690349946983	0.14924708377518558	0.05643690349946978	0.037667020148462356	0.13435843054082713	0.01408271474019088
1682	0.2604029692470838	0.10394485683987276	0.23401908801696716	0.23342523860021208	0.14413573700954402	0.04767762460233298	0.02267232237539767	0.13151643690349948	0.007274655355249205

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7065902931810617	0.7190608379980789	0.7065026881691581	0.7066605118545357	0.6961808753244643	0.7134216028199512	0.7108121053067542	0.6868064640630893	0.6511107371585603
1	0.7038388683381278	0.7141568431131174	0.7043892712737089	0.7042703801881581	0.6873237664436187	0.708666394675283	0.7006895070293852	0.6809371427122011	0.6369598505866974
2	0.7035609486990422	0.7120752286178581	0.7026718470695401	0.7027744000283391	0.6818622071402938	0.7055669638885587	0.6942140277543303	0.6753592794302021	0.616817919569592
5	0.6897908373026503	0.6940211583657847	0.6814329752364794	0.6813488497664414	0.6437695643415857	0.6769297057746574	0.6444752789039223	0.6236479058186952	0.5573573072374141
10	0.6683267861504377	0.6661301720507845	0.6565954992655822	0.6568842620001272	0.5863001480487741	0.6326351490215849	0.550468569212933	0.5432155523704827	0.4327671989441467
20	0.6220980634234985	0.5941983012002696	0.6034804456774996	0.6020378392231639	0.518639142664647	0.5423836075670492	0.4108276726318512	0.4132253161581936	0.30927530813642246
50	0.53913423191237	0.46740599304161795	0.5183040966023305	0.5170546328680619	0.4309751313763061	0.3638816852052105	0.21650063806270933	0.3187667439108042	0.1653852480226897
100	0.4670257463481996	0.35712633228732077	0.4332921446247918	0.43043710244218003	0.3618737588551479	0.22604618393468953	0.13014391793120986	0.24678219859717135	0.09545148912674599
200	0.39553288425780336	0.23926399390258038	0.36281197108430596	0.361935669898635	0.30076081675481336	0.12823360064460018	0.08910804986633684	0.19251548202650032	0.05159621699538984
500	0.31880746159636814	0.1554517275499855	0.28534430413906575	0.2860012429074422	0.21879779288044654	0.07043174206445887	0.05004978764889458	0.1568104023713612	0.02091803392768793
1000	0.29590359875201455	0.12076656866185986	0.2616849677810439	0.26250546707397676	0.1888967489889961	0.046750088603968364	0.02528441046311113	0.13988925455307705	0.011350736121518587
1682	0.2892622008002864	0.11171630955780101	0.25593272091366004	0.25646889423391117	0.18012240522777032	0.03928001513330009	0.015907370246143936	0.1363579514517292	0.006122652195019205

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8068146119299137	0.8268930742368397	0.8069117738210855	0.8070587302707354	0.790448018802057	0.8207357704056524	0.8154585671298932	0.7521807609782771	0.6772552946626822
1	0.8034600793264854	0.82133813564748	0.8045918298198901	0.804614663889056	0.7785036392785897	0.8141240568646598	0.793320111289379	0.7444469238356881	0.6466822673370783
2	0.803434699446508	0.8192406247790928	0.8031328251459955	0.803219089572058	0.7701606232068501	0.810408142165177	0.786294419706093	0.739068364280681	0.6104226011474678
5	0.7861131296494512	0.7934743813299386	0.7777633509610002	0.7772173780972779	0.7316008520234575	0.7565493618640694	0.6980754760549808	0.6768206749326662	0.5321127049169485
10	0.7641984056492654	0.7580005668183369	0.750788600593552	0.749920377548728	0.6877698282277931	0.6919757690245698	0.6091349897031371	0.6107562894552758	0.4293109724515517
20	0.7114521300060858	0.6688526775994619	0.6905769565459129	0.6881831190338215	0.6228311315506974	0.5758789247171077	0.48187299882174744	0.49446009906578786	0.3316440924767431
50	0.6289980925577163	0.5263644532307292	0.6044725411970094	0.6028812114686464	0.510629023021999	0.3797389652768913	0.2721578676868709	0.39640165196389726	0.19760771701070629
100	0.5489231075177095	0.4051020763321807	0.5061520790223187	0.5038502240976517	0.4136785098445415	0.2515500158278904	0.1902769449240217	0.3023938079438342	0.12385675921449675
200	0.4731891501968112	0.2696141141546026	0.4309650202421043	0.4292173637542421	0.3292439493494205	0.1566856396070019	0.1325563526893486	0.23466065175709985	0.07090008163699038
