====================
Dataset: ml100k-unpopular
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5679745493107105	0.5803393425238601	0.5652598091198304	0.5655779427359491	0.5559703075291622	0.5738494167550371	0.5686532343584306	0.532576882290562	0.480763520678685
1	0.5671474019088016	0.5800424178154826	0.5649628844114528	0.5652598091198302	0.5511558854718983	0.5732131495227996	0.5679109225874868	0.5320042417815481	0.4660657476139979
2	0.5667444326617179	0.5799787910922587	0.564220572640509	0.5647083775185578	0.5450901378579003	0.5724496288441145	0.5676564156945918	0.5285471898197243	0.4503499469777307
5	0.5594061505832449	0.5582396606574761	0.5544432661717922	0.555015906680806	0.523711558854719	0.5423966065747614	0.5254082714740191	0.5102226935312831	0.4015906680805939
10	0.5531071049840932	0.5457688229056202	0.5462778366914104	0.546574761399788	0.49643690349946984	0.5291198303287381	0.4981124072110286	0.4880593849416755	0.32922587486744426
20	0.5427147401908801	0.5310922587486744	0.5373488865323436	0.5378366914103924	0.47353128313891835	0.5138918345705197	0.45577942735949095	0.45149522799575814	0.24854718981972432
50	0.5355673382820785	0.49490986214209975	0.5300318133616119	0.530880169671262	0.4574337221633086	0.4653446447507953	0.3524496288441145	0.4486320254506893	0.15011664899257687
100	0.5361823966065747	0.4868292682926829	0.5281654294803817	0.5293319194061507	0.45238600212089075	0.4582608695652174	0.283541887592789	0.4486320254506893	0.09119830328738071
200	0.5355249204665959	0.47764581124072114	0.527592788971368	0.5289713679745492	0.4494167550371156	0.45071049840933186	0.20731707317073172	0.4486320254506893	0.05230116648992578
500	0.5045811240721102	0.3970943796394486	0.5004878048780488	0.5012301166489925	0.41936373276776245	0.32680805938494173	0.10477200424178154	0.4185153764581123	0.02288441145281018
1000	0.4285896076352068	0.24583244962884412	0.4227147401908802	0.4234782608695652	0.3327253446447508	0.13043478260869568	0.03802757158006363	0.2995546129374337	0.011261930010604455
1682	0.2599575821845175	0.10260869565217393	0.23401908801696716	0.2334252386002121	0.14413573700954402	0.04767762460233298	0.02267232237539767	0.13151643690349948	0.00816542948038176

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7073292095985442	0.7191840777568366	0.7065026881691582	0.7066605118545357	0.6968556720101148	0.7134872494391503	0.7108121053067542	0.6868064640630894	0.6516896220885278
1	0.7066845935459105	0.7183054234921741	0.7060743018977178	0.7061949258322159	0.6898422355543479	0.7127035986608018	0.7097670798714849	0.6859177939962644	0.6360105218093888
2	0.705652674853807	0.717840159888101	0.7048266924316565	0.7053543254051892	0.6809140096033224	0.7113465284304548	0.7093738734549487	0.681184732108783	0.6177496885955099
5	0.6971482774033685	0.6968270685894903	0.6920237341235432	0.6924038273238725	0.6501942665454002	0.682747725246885	0.6723083842723538	0.6548502435421139	0.552437428334964
10	0.6879688697524601	0.6821023274481166	0.6800284217457916	0.6804910758985256	0.5923880328028546	0.6652191863237247	0.6362525138559991	0.6197291652655718	0.4277247506357436
20	0.6703102763483981	0.6590374368004293	0.6637200048985952	0.6646541804957075	0.5377479527058007	0.6413524128852155	0.5535961462132015	0.5598871478061633	0.28573990579174935
50	0.6536512857788235	0.608068365620503	0.6470858284392904	0.6485249184845603	0.5037989727252836	0.580573012702444	0.3770443253408997	0.5513022715065468	0.15310149628003122
100	0.6531691765476106	0.594736502148928	0.6420665552651923	0.6444232672196003	0.4916836854280051	0.5674204702969362	0.2938504209744483	0.5513022715065468	0.08372495779801366
200	0.65357113406354	0.5797779451325086	0.6404296820641621	0.643406754570002	0.4847153380537567	0.5584699461422178	0.19164492999105381	0.5513022715065468	0.04670973613050555
500	0.6025105027067355	0.46778829679154477	0.5916827917722489	0.5926880245857837	0.46082545753774307	0.3870253834864387	0.10387912591504453	0.48404820839833845	0.019351807828360594
1000	0.49709958887409195	0.2815127834352384	0.486545066731206	0.4871159329219951	0.3844309312415924	0.14446111537320366	0.030980002470119956	0.323698795310759	0.008816767852822028
1682	0.27856474674796444	0.10757330158264086	0.25593272091366004	0.25646889423391117	0.18012240522777034	0.03928001513330008	0.015907370246143936	0.13635795145172921	0.006696228312294328

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8081220799339068	0.8273645141407331	0.8069216556808833	0.8070563862762133	0.7908609111874191	0.8208041473158266	0.8154585671298932	0.7521807609782771	0.6785829035167897
1	0.8066813188013832	0.8275948965471513	0.8063774177838232	0.8065925383335735	0.7812079542497161	0.8199192827046715	0.8137099749139697	0.7511236196240381	0.6415754913246573
2	0.8062900959245833	0.8260867002024892	0.80525778050828	0.805736025363591	0.7722695399755681	0.818191263477933	0.8132194736431264	0.7446735300658699	0.6100156457841264
5	0.7871078049365365	0.7644232116886432	0.7813874308616653	0.7811914481764769	0.7343416345816174	0.7435308592091572	0.7071772750665721	0.7170705364199337	0.5279800582509699
10	0.7771910909996997	0.7490079538072287	0.7718187202075547	0.7714784103272485	0.6980993436395766	0.7267576396362677	0.6641540471333311	0.6842965488173902	0.42055482464100225
20	0.7634832326765305	0.7285096567193856	0.7587419747683017	0.758832404392068	0.6646193971962985	0.7044029555242179	0.6086904790568035	0.6313730098657764	0.30397178483568577
50	0.7528879424245561	0.6692995341758292	0.7483270382674212	0.7488324021454648	0.641610502220437	0.624129589015852	0.4696674369497454	0.6275622573044168	0.17671663765423223
100	0.7531372684109925	0.6566141317244115	0.7457634888315342	0.7466934113042422	0.6352646775071753	0.612414556732015	0.3451670617658046	0.6275622573044168	0.10582221753876933
