====================
Dataset: ml100k
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5681230116648993	0.5802120890774125	0.5652810180275716	0.5655779427359491	0.5556945917285259	0.5730434782608695	0.5686532343584306	0.532576882290562	0.4805726405090137
1	0.5659597030752915	0.5770095440084836	0.5632873806998939	0.5637539766702014	0.5503287380699893	0.5670625662778368	0.5603181336161187	0.5288653234358431	0.46492046659597036
2	0.564814422057264	0.5743796394485684	0.5613573700954401	0.5615694591728526	0.5442417815482503	0.5611452810180276	0.5535524920466596	0.5258748674443267	0.4495652173913044
5	0.5606362672322376	0.5656839872746554	0.5558854718981973	0.5564369034994698	0.5267020148462355	0.5424178154825027	0.5282926829268293	0.5149310710498408	0.40396606574761396
10	0.5542948038176034	0.5517073170731707	0.5470413573700953	0.5471049840933192	0.49991516436903494	0.5129374337221633	0.4874867444326617	0.4984941675503712	0.32844114528101803
20	0.5420784729586426	0.5262566277836691	0.5323011664899256	0.5326829268292682	0.4733828207847296	0.45533404029692476	0.41881230116648993	0.4695652173913044	0.24973488865323432
50	0.5145493107104985	0.46903499469777304	0.49968186638388123	0.5006150583244964	0.4369883351007423	0.34443266171792153	0.2991304347826087	0.4123860021208908	0.1490137857900318
100	0.48188759278897136	0.40426299045599157	0.46371155885471893	0.4634570519618239	0.4008907741251326	0.2634782608695653	0.216288441145281	0.3574337221633086	0.09522799575821846
200	0.4377942735949098	0.324050901378579	0.41662778366914105	0.41510074231177096	0.35096500530222696	0.19191940615058325	0.15198303287380704	0.2987062566277837	0.05304347826086957
500	0.3651749734888653	0.21637327677624602	0.33961823966065746	0.3388123011664899	0.26407211028632027	0.11787910922587486	0.07730646871686109	0.21879109225874868	0.023117709437963947
1000	0.3060021208907741	0.14699893955461296	0.27673382820784725	0.2759915164369035	0.1923011664899258	0.07126193001060446	0.040106044538706254	0.16436903499469777	0.012258748674443268
1682	0.2605726405090138	0.10468716861081655	0.23401908801696716	0.23342523860021208	0.14413573700954402	0.04409331919406151	0.02267232237539767	0.13151643690349948	0.007359490986214211

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.7074663933476479	0.7190087262543153	0.7065238970768993	0.7066605118545357	0.6962356581133247	0.7143335536036391	0.7108121053067542	0.6868064640630893	0.6509394984588905
1	0.7052438050503528	0.7157702269050098	0.7041841756801415	0.7045097440287998	0.6890276887394197	0.7082385170168026	0.7025072599888492	0.6824445504630275	0.634661563481853
2	0.7041149495927386	0.7133172545877744	0.7023035708854489	0.7022326713162202	0.6812996038298187	0.702368937365683	0.6952364235878553	0.6787104350785301	0.6173636524107391
5	0.6981868721290486	0.7039346143903056	0.6945351085548274	0.6952706330309214	0.6544158685234629	0.68178948525223	0.666193705328435	0.6643220476082947	0.5533175075344275
10	0.6888124035338172	0.6877744834112912	0.6823266116586442	0.6826214565492414	0.5940409322279565	0.6429786405814274	0.6077151714362905	0.6379235626999618	0.424543988549147
20	0.6720245336699209	0.6566513310110742	0.6609453159488146	0.6616094218841184	0.5419507889618451	0.5499219180705579	0.4938781419206828	0.5908801970582676	0.286713114737371
50	0.6310257535247943	0.5802719673786028	0.6141332236562074	0.6160126304876998	0.49301782477153616	0.3651793043438284	0.31192409493305434	0.49313655037218684	0.14793930781830456
100	0.5821425354587869	0.491517137478766	0.5623971518787051	0.5608274281226311	0.45303426221965803	0.25119701691566104	0.20213329287223014	0.40402281144958324	0.08711936458831043
200	0.5188756010044414	0.3830706779275491	0.4957053811310071	0.4947935541281949	0.4065089145709379	0.17182703178976375	0.13595063575334576	0.3235596673556057	0.04832564783206603
500	0.4160965932514065	0.24595989702440937	0.3931376216778046	0.3923436917938302	0.3212975877004965	0.09992365168977427	0.06316826932808244	0.22924099662453196	0.01893501748986834
1000	0.33811362267556	0.1628588674211073	0.3118680313906708	0.3116702281266971	0.2402238321884786	0.05680442047333586	0.02927534650821092	0.16865507165271496	0.010151737748981461
1682	0.2803658001132052	0.11048295927852572	0.25593272091366004	0.25646889423391117	0.18012240522777032	0.03321715031154407	0.015907370246143936	0.1363579514517292	0.005801983928958879

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8081673959889729	0.8266077525926452	0.8069426885190356	0.8070595783247343	0.7909519607433939	0.8207592798290004	0.8154585671298932	0.7521807609782771	0.681274108087491
1	0.8047136310215925	0.8222346997136583	0.803500569055475	0.8037691011125064	0.7801393990308457	0.8036628479607175	0.7931387358812506	0.7446361811326849	0.6388168022400016
2	0.802887956670548	0.8155940524756179	0.8006658325071095	0.8007146376656259	0.7711316189910602	0.7874517859730668	0.7714058308148585	0.7389588423579474	0.6096112247300521
5	0.7961442322433704	0.7999787381108197	0.7916191910521482	0.7921801836913105	0.7436003055810488	0.7457602635196064	0.7175184378118724	0.7190664942538753	0.5306269983889087
10	0.7865764907101791	0.77589142590734	0.7789754494720331	0.7790012403451645	0.704284160232586	0.6849584558472328	0.6411025416113048	0.6908631368608916	0.4166356577534991
20	0.7666000214175286	0.7326905319830177	0.7566719045248866	0.7567724253333805	0.6652196407438989	0.5908694367687914	0.5295323048882398	0.6455183751218666	0.3066239070163222
50	0.7254276884173108	0.6416924229203684	0.7098976642200922	0.7103436810521738	0.6126440026386508	0.4293133780525837	0.36426801422073096	0.5597691418907929	0.17337179670689434
100	0.6782549814781231	0.5459313346841406	0.654710685358153	0.6543097099356607	0.557659828217919	0.32161701728610925	0.25422653131424483	0.4802189587549776	0.1093787141205309
