====================
Dataset: ml1m-unpopular
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.65941059602649	0.6842781456953642	0.6577549668874172	0.6592814569536424	0.6421291390728476	0.6731490066225165	0.6652317880794703	0.6238046357615893	0.5490099337748344
1	0.656635761589404	0.679725165562914	0.6537384105960264	0.655407284768212	0.634158940397351	0.6630728476821192	0.6536026490066225	0.6164933774834436	0.5317185430463577
2	0.6547516556291392	0.6770794701986755	0.6518509933774835	0.6536092715231788	0.6269238410596026	0.652201986754967	0.636884105960265	0.6140993377483444	0.5163509933774835
5	0.6516688741721854	0.6736324503311258	0.6480496688741721	0.6509701986754968	0.605066225165563	0.6417450331125828	0.6209238410596027	0.6101456953642383	0.4634072847682119
10	0.6463079470198675	0.6655993377483443	0.6421688741721855	0.6463841059602649	0.5772880794701987	0.6318609271523179	0.6011589403973511	0.6002847682119204	0.3888476821192053
20	0.6298245033112583	0.6319006622516556	0.6102880794701987	0.611294701986755	0.5377649006622518	0.5828344370860926	0.5483245033112583	0.5441059602649007	0.30745033112582776
50	0.625069536423841	0.6244470198675497	0.6062649006622517	0.6082450331125828	0.5163145695364239	0.5601788079470198	0.45354966887417225	0.5358543046357616	0.19106953642384106
100	0.5769602649006622	0.4874006622516557	0.5358774834437086	0.5320496688741722	0.4588543046357616	0.2822748344370861	0.16411920529801324	0.43634105960264896	0.1255562913907285
200	0.5441523178807948	0.43124503311258283	0.5077781456953643	0.5057417218543045	0.4255761589403974	0.2597748344370861	0.1426158940397351	0.38750993377483445	0.07821192052980133
500	0.49870198675496696	0.35304304635761585	0.4655827814569536	0.464794701986755	0.37259271523178805	0.2003278145695364	0.10861920529801325	0.33795033112582784	0.03872847682119206
1000	0.4442516556291391	0.269317880794702	0.41249006622516554	0.4121887417218543	0.30673841059602647	0.14161589403973512	0.07981788079470199	0.28338741721854305	0.02084105960264901
2000	0.3788543046357616	0.1974139072847682	0.34225165562913906	0.3390860927152317	0.23296688741721852	0.1007814569536424	0.054473509933774845	0.21480132450331127	0.010940397350993378
3706	0.29189735099337744	0.12440728476821192	0.25535099337748346	0.2527980132450331	0.1457682119205298	0.04652317880794701	0.017751655629139072	0.14585761589403973	0.00566225165562914

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6188494467160165	0.6347951850175904	0.6178994446176781	0.61976288572345	0.6050624345076139	0.63031026557695	0.6261885812666679	0.6026333151536389	0.5655266268379784
1	0.6156141584665616	0.6305213864243606	0.6135956699354435	0.6157150040270462	0.596140012532268	0.6205912210359396	0.6151099647371253	0.5962432576391261	0.5499220273230587
2	0.613244136311336	0.6278359701612471	0.611047681654075	0.613219006331218	0.5871337941543653	0.6096659129650714	0.5985680587342752	0.5927922740390141	0.5333995087031129
5	0.6073436186399184	0.6237763918022434	0.6044950093608359	0.6088290514239859	0.554491403106306	0.5975837390842996	0.5785136845193557	0.5862113412702701	0.4731759886794055
10	0.5953881996948274	0.6136783084756169	0.5922670816395337	0.6002377793135736	0.4969140501361976	0.5819146315419573	0.5476251782330568	0.5703383626923081	0.36673382549088157
20	0.5756728958726843	0.5777920821517407	0.5594571109857946	0.5656497307310486	0.4382383968048439	0.5216171466735885	0.4753572583015896	0.5114573446404161	0.2553786106721543
