====================
Dataset: yahoo-popular
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.1704037037037037	0.17081851851851854	0.16981851851851854	0.17004444444444444	0.1684037037037037	0.17004444444444444	0.16950740740740738	0.16805185185185184	0.16690740740740742
1	0.16982222222222226	0.17021111111111112	0.16924814814814815	0.1696740740740741	0.16670370370370372	0.16934444444444446	0.16767407407407406	0.16698518518518518	0.16493333333333332
2	0.16939629629629632	0.1696851851851852	0.16861111111111113	0.1691814814814815	0.16480370370370373	0.16837037037037036	0.16481851851851853	0.16632592592592593	0.16173703703703707
5	0.1663925925925926	0.167362962962963	0.1650148148148148	0.16616296296296298	0.15580740740740742	0.1640185185185185	0.15782962962962963	0.15995925925925927	0.14993333333333334
10	0.1591962962962963	0.16153703703703703	0.1549074074074074	0.15751111111111113	0.13035185185185189	0.1509851851851852	0.13876296296296298	0.14193333333333333	0.11354074074074075
20	0.14984814814814815	0.15202962962962965	0.1438111111111111	0.14748888888888886	0.10295925925925926	0.12171851851851852	0.11215185185185186	0.12714444444444445	0.0692
50	0.13762592592592593	0.13873703703703705	0.12941851851851852	0.13684074074074076	0.08131851851851853	0.06992222222222222	0.05838888888888889	0.11592222222222222	0.03208518518518519
100	0.12643333333333334	0.12634814814814815	0.11846296296296296	0.12525555555555556	0.0723074074074074	0.03038148148148148	0.018833333333333334	0.09644444444444446	0.017625925925925927
200	0.10361111111111113	0.10338518518518518	0.09788518518518521	0.09905185185185185	0.06601851851851852	0.007385185185185185	0.005837037037037037	0.07348518518518518	0.009192592592592592
500	0.0752962962962963	0.07273333333333334	0.07191481481481482	0.06821111111111111	0.0573962962962963	0.0021000000000000003	0.002137037037037037	0.051114814814814814	0.00392962962962963
1000	0.05672222222222223	0.05269629629629631	0.05482222222222222	0.051614814814814815	0.04345925925925927	9.592592592592593E-4	8.481481481481482E-4	0.03508148148148148	0.0017888888888888891

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6667128906713626	0.6672476574319709	0.6657007065846636	0.6664108790191603	0.6623342863924682	0.6662249770585258	0.6651907170710192	0.6620386510592283	0.6592676545186901
1	0.6656458155136076	0.6662132797268772	0.6645463090274883	0.6655836259224627	0.6588284873151216	0.6649525736243185	0.6619558353088884	0.659966766601396	0.6551530918507781
2	0.6645809788204653	0.6650866705346474	0.6633746666110392	0.6647073096575663	0.6549568742503332	0.6633892547300191	0.6570221586797927	0.6587857460804726	0.6487718336927428
5	0.6579322937186168	0.6599566957029898	0.6551631994193435	0.6587506360369336	0.6322855716946176	0.6546774517429303	0.6400073653851222	0.6444355098967607	0.6178864399170595
10	0.6361818599687263	0.643079278130902	0.6224538626850135	0.635304595931417	0.5344052922815903	0.6181903195097076	0.5693361893578708	0.5850683523938749	0.4751281239203185
20	0.601974656077622	0.6108504477267698	0.5814603391651916	0.5988413364334897	0.4121503844641327	0.5141946700426729	0.46312434561317256	0.5198375413206209	0.27805613781580807
50	0.5557321000067166	0.5628599194447896	0.5249074011252268	0.5579754321791326	0.32260725491313347	0.30240459306615153	0.24169578016906884	0.4765469780739201	0.12143102656962709
100	0.512994027800511	0.5167072700964328	0.4818156639202774	0.5141669007688608	0.28783992491021554	0.13147777306140807	0.07128209917487174	0.40127804349346946	0.06463894196048504
200	0.42474590937227363	0.42796286396315786	0.403586517046066	0.41261203406419933	0.2660990316448305	0.03059505137471183	0.02156667162450277	0.306179202692475	0.03340149507861889
500	0.3128861420576364	0.3069470071592618	0.3005516564361803	0.28680280740100683	0.23950328541021887	0.008379860443211973	0.007984019066213367	0.2115801722962972	0.01388825250234924
1000	0.23647039441363377	0.22459223563844324	0.22909079740171007	0.21718778843053183	0.18504898247376717	0.004105776229309294	0.003282202893273326	0.14671235895634877	0.006267055346692972

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5779923322943585	0.58361002662656	0.5734527161595467	0.57365127410745	0.5589144889250806	0.5810424261465379	0.5738029278808916	0.5513397001346665	0.5327694687710254
1	0.5723814496505584	0.5781438317438362	0.5681018142615518	0.5706182643332559	0.5351370296859511	0.5574143421709092	0.5425383489956397	0.5430489688334152	0.4838114560872414
2	0.5667408200230144	0.5721078639235639	0.5616363970081355	0.5643700459878808	0.5135027703660072	0.5388034911223878	0.47278319393694385	0.5343008498941423	0.4476492482901909
5	0.5448359472191435	0.5525993054882344	0.5389625377793299	0.5396724904639536	0.47449604841634796	0.49630441586272794	0.44583976238823614	0.48842395770341823	0.37648920897792365
10	0.4996030062431537	0.5108515797132716	0.48452041085550424	0.4819613110162285	0.40068637582948696	0.407229580256032	0.3523440092147275	0.4201877464216411	0.27299125209537906
20	0.4755229012271049	0.48549092091962204	0.4571881787804026	0.45801478470797913	0.3380833336087735	0.2762058007468399	0.2331023098499946	0.3907794799584289	0.15955086770496568
50	0.448401074574918	0.4522284445416604	0.42598671133603894	0.43759275544119447	0.29037489467431016	0.14971719668149422	0.11710256739729681	0.36989462680201535	0.072185513552757
100	0.40835040733615857	0.4095735162085951	0.38978103082221277	0.40186640891007774	0.2624975685443525	0.061136381941100715	0.03719895820757786	0.3091018865135065	0.03876432215670633
200	0.3174785874039732	0.3161211520843249	0.29986945281682936	0.2932062366221542	0.21763693491611075	0.014748286801916661	0.0112369187704565	0.21245138450826348	0.020291888911475327
500	0.22770662195266028	0.21586574454404364	0.21670142174993617	0.20430419065724545	0.16211421304027213	0.004378536162959791	0.003795590125381392	0.14181221303826286	0.008461059644163096
