====================
Dataset: ml100k/male
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5805074626865672	0.5919402985074627	0.5811343283582089	0.5814626865671643	0.571910447761194	0.5915522388059702	0.5862686567164179	0.5486567164179105	0.4891343283582089
1	0.5794328358208956	0.5895820895522388	0.5786567164179104	0.579402985074627	0.5667164179104478	0.5864179104477611	0.5768059701492537	0.545492537313433	0.47468656716417906
2	0.5775820895522388	0.5859104477611939	0.5770447761194031	0.5772537313432837	0.5616119402985075	0.5826865671641791	0.5684179104477611	0.5417910447761194	0.45450746268656717
5	0.5729850746268657	0.5756716417910448	0.5715223880597016	0.5706268656716418	0.5442388059701493	0.570865671641791	0.543910447761194	0.5309850746268656	0.4087462686567164
10	0.5647164179104477	0.5600597014925374	0.5623582089552238	0.5615820895522388	0.5186268656716417	0.5483582089552239	0.4974029850746269	0.5136716417910447	0.3352537313432836
20	0.5525074626865671	0.5347164179104478	0.5470447761194029	0.5459402985074627	0.4964477611940299	0.5141194029850746	0.4224179104477613	0.4847164179104477	0.2573731343283582
50	0.525820895522388	0.46892537313432836	0.5120298507462686	0.5119402985074627	0.45785074626865674	0.4286567164179105	0.2898507462686567	0.42525373134328354	0.15280597014925376
100	0.49113432835820897	0.40740298507462686	0.47558208955223885	0.4751044776119403	0.4210746268656716	0.3361194029850746	0.21044776119402986	0.37271641791044774	0.09626865671641792
200	0.4486567164179104	0.31964179104477614	0.425910447761194	0.42620895522388064	0.366179104477612	0.2345970149253731	0.14134328358208953	0.3136716417910448	0.055850746268656715
500	0.3730746268656716	0.20811940298507464	0.3484776119402985	0.3490149253731344	0.27561194029850744	0.13101492537313436	0.07594029850746267	0.23370149253731345	0.026000000000000002
1000	0.3101194029850746	0.1376417910447761	0.28543283582089557	0.286268656716418	0.2003582089552239	0.07429850746268657	0.028597014925373136	0.17844776119402986	0.013283582089552238
1605	0.26740298507462684	0.10140298507462689	0.24576119402985075	0.2448059701492537	0.15188059701492537	0.04746268656716418	0.009791044776119404	0.14388059701492537	0.008567164179104478

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6920575104554468	0.7023232838530906	0.6938410944092299	0.6929306423568968	0.682871623117401	0.7015307970564065	0.6995976364597094	0.6744371137214741	0.6339869981832422
1	0.6904465838296504	0.7001255165405882	0.691228848087253	0.690592215783896	0.676298609431526	0.6965959628684519	0.6907531431374637	0.6708175830411041	0.6182012002626653
2	0.6881273685993108	0.6962954154988354	0.6890146939826941	0.6877903783389563	0.6692811430975235	0.6929795774738347	0.6827068364145519	0.6657034367401888	0.5982772837913157
5	0.6826227372592587	0.6856950627544126	0.6821247650427804	0.6791558358596107	0.6395455640205	0.6807623141503967	0.653757082149641	0.6510496274320055	0.5322453323290814
10	0.6706692709155009	0.6668325739783442	0.6690887533005808	0.6654401668846651	0.5865706763699983	0.6540000105336823	0.5897296545132075	0.6252893430817401	0.4105902224219539
20	0.652887157731733	0.6333615180776782	0.6465901559927051	0.6426770427580705	0.5458148376206374	0.6128811464111477	0.47130211892229107	0.5765709062096835	0.2851809089708893
50	0.6145842533216388	0.5471618590016631	0.5975616073700906	0.5953405928754802	0.4940105858465066	0.5006805774674405	0.2832297076552483	0.47903182008815276	0.14545404164181447
100	0.565958931427508	0.4661685368388169	0.5441332453911835	0.5411385520920268	0.45680731863959234	0.37258915607991316	0.18853377042569572	0.3960875552058248	0.08307065915140738
200	0.504966257784383	0.35116988847821246	0.47886641723662693	0.4770157664257315	0.40681568761579345	0.23502580918407415	0.12041625290367138	0.3166858307762541	0.048258089459839816
500	0.4065584162440808	0.21664010504329428	0.37647205967699865	0.3774545059223525	0.313922532059295	0.11691500007850508	0.05891011748741608	0.22243902366108995	0.020108877600460547
1000	0.32729373507181914	0.13883009066710714	0.30036861617072086	0.29976582928370976	0.230277506021035	0.06010737110063615	0.02015852180530488	0.17002672200561897	0.010620541183114295
1605	0.2750300410275332	0.09981453602617504	0.252156911629091	0.250342624260269	0.1708914034185379	0.03625269732241972	0.006491050747595521	0.13522082030504817	0.00689847573639892

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8070492621025716	0.8217400731662383	0.8077425395278833	0.806106238397527	0.7930675282896988	0.8230481878976649	0.815840325301104	0.7549559526332528	0.6723300772673928
1	0.8048505941276808	0.8165295313850971	0.8042380600715167	0.8026570159059571	0.7828504332292323	0.8125317001062365	0.7901733529014976	0.7480925811998681	0.6398353169146619
2	0.8018174859122486	0.8095275814129007	0.8006880478305451	0.7989992358840804	0.7742448063458417	0.8047246656956795	0.7717263144157359	0.741271076787852	0.6028951565872253
5	0.7946793377688535	0.7920058205927607	0.792194711804963	0.7894775109727152	0.7479926014132083	0.7805607490555891	0.7144833152219615	0.7226522446264851	0.5255261993117655
10	0.7835060942351613	0.7663237163119474	0.7785566092922234	0.7758142101120081	0.711281316674383	0.7403167120656482	0.6363137639503674	0.6953459057867383	0.42056998241526483
