====================
Dataset: ml100k/old
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.5315384615384616	0.5288461538461539	0.5350000000000001	0.5384615384615384	0.5157692307692308	0.5253846153846153	0.5203846153846154	0.5292307692307693	0.488076923076923
1	0.5261538461538462	0.5253846153846153	0.5315384615384615	0.5338461538461539	0.5065384615384615	0.5184615384615384	0.5103846153846153	0.5246153846153846	0.47423076923076923
2	0.5192307692307693	0.5196153846153846	0.5273076923076923	0.5273076923076923	0.5007692307692307	0.5126923076923077	0.49884615384615383	0.5173076923076922	0.4607692307692308
5	0.5030769230769231	0.4926923076923077	0.5096153846153846	0.5061538461538462	0.46923076923076923	0.48769230769230776	0.4615384615384615	0.49423076923076925	0.41384615384615386
10	0.48038461538461547	0.4830769230769231	0.4865384615384615	0.485	0.4338461538461538	0.4542307692307692	0.4023076923076923	0.4607692307692308	0.3334615384615385
20	0.4511538461538461	0.4565384615384616	0.451923076923077	0.4492307692307692	0.3996153846153846	0.3884615384615384	0.3042307692307692	0.43038461538461537	0.2353846153846154
50	0.4069230769230769	0.4015384615384615	0.4046153846153846	0.3873076923076923	0.34	0.28846153846153844	0.2161538461538462	0.34153846153846157	0.13538461538461538
100	0.36423076923076925	0.34923076923076923	0.3515384615384615	0.3380769230769231	0.2884615384615385	0.21384615384615388	0.15730769230769232	0.2734615384615385	0.09153846153846153
200	0.30692307692307697	0.2911538461538462	0.2946153846153846	0.27884615384615385	0.24192307692307696	0.15192307692307694	0.10653846153846154	0.20884615384615382	0.05615384615384615
500	0.2261538461538462	0.20538461538461542	0.21846153846153848	0.2023076923076923	0.1726923076923077	0.07576923076923077	0.06576923076923077	0.13384615384615386	0.026538461538461545
1042	0.17307692307692307	0.14846153846153848	0.16846153846153847	0.15730769230769232	0.11961538461538461	0.03461538461538462	0.047692307692307694	0.09576923076923077	0.01346153846153846

Recall@10
