====================
Dataset: ml1m/male
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6672500577233895	0.6935626876010159	0.6679196490417917	0.6697806511198339	0.6522973909027938	0.6840868159778342	0.6770676518125145	0.6333040868159778	0.5506765181251443
1	0.6658092819210344	0.6919418148233664	0.6658554606326483	0.6679750634957285	0.6448533825906256	0.6791087508658509	0.6683352574463173	0.6299746017086123	0.5339459709074117
2	0.6639021011313785	0.6891341491572385	0.6639667513276379	0.6661694758716232	0.6381297621796352	0.6740845070422534	0.6596859847610251	0.6265897021473101	0.5161533133225582
5	0.6588085892403601	0.6818102054952667	0.6579773724313093	0.6609189563611175	0.6178065111983375	0.6592334333872085	0.6349341953359501	0.616735165088894	0.46415146617409375
10	0.6520110828907875	0.6705241283768182	0.6489956130223967	0.6529808358346803	0.5896790579542831	0.6354329254213807	0.5957792657584854	0.6013992149619026	0.3920849688293696
20	0.6427984299238052	0.6505703070884323	0.6365365966289541	0.6400923574232279	0.5620688062803049	0.5941999538212883	0.5358439159547449	0.5760932809974602	0.3084553220965135
50	0.6235419071807897	0.6034449318864004	0.6102655275917801	0.6116508889401986	0.528016624336181	0.5039990764257677	0.4299468944816439	0.5253521126760563	0.19685522973909028
100	0.5985638420688063	0.5480766566612792	0.5789702147310091	0.5795705379819902	0.49819903024705614	0.41942738397598706	0.34584160701916417	0.4754375432925421	0.12927268529208033
200	0.5652135765412145	0.47198799353498033	0.5371877164627107	0.5345509120295544	0.4577741861002078	0.32936966058646966	0.25442622950819677	0.41883629646732856	0.07979219579773725
500	0.49984299238051255	0.35339182636804434	0.46295543754329255	0.45782960055414457	0.3780512583698915	0.2204479335026553	0.15274994227661048	0.33678596167166935	0.03700300161625491
1000	0.43675825444470107	0.26173631955668436	0.3954375432925421	0.3901408450704225	0.2992195797737243	0.14818748556915262	0.09582544447009929	0.27277764950357886	0.02003694296929116
2000	0.3673331794042946	0.1826506580466405	0.3260309397367814	0.32065573770491806	0.2172846917571	0.08882936966058647	0.04815977834218425	0.21202955437543297	0.010422535211267606
3671	0.3041329946894481	0.12778111290694988	0.2669037173862849	0.26276148695451396	0.15377510967444008	0.05139228815516047	0.019242669129531285	0.16404063726622028	0.006183329485107366

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6043147445458613	0.6211775764728685	0.6046951859701768	0.6069325229059199	0.5914089872770196	0.6173007543389757	0.6141090973197327	0.5896166055004602	0.5485888440182514
1	0.6023336383055804	0.6189088466418299	0.6022457170472534	0.604851726523101	0.5828662503798475	0.6129227969786353	0.6065690959818136	0.5860109992370948	0.5334405085651515
2	0.5998732917182898	0.6165057879101755	0.6000468714817585	0.6028632738956932	0.5743345540730285	0.6085358696620027	0.5988171927501451	0.5822643668654537	0.5162361925826957
5	0.5918540463308091	0.608827159847305	0.5912722587028125	0.5960777437446925	0.5439195983073909	0.5941769331156901	0.5740283428950468	0.570519294624318	0.4570676301091325
10	0.5796928345410386	0.5958647226662198	0.5776553335896615	0.5849403480866466	0.491940829660089	0.5693634100243739	0.5289651165491389	0.5497472860716054	0.35590988829542736
20	0.5659049707783194	0.5722865370220915	0.5596359921263375	0.5670521589704395	0.44359414487445104	0.52239377276019	0.45448817948516085	0.5138298278248733	0.24783702616813427
50	0.540274376832147	0.5188041878725524	0.526201257121433	0.5298052222832685	0.397554399975697	0.41582426672647255	0.33661002012794833	0.44338234402206567	0.13488779411536211
100	0.509635149253884	0.45899653936676543	0.48911614862510816	0.4911563301084919	0.37192734359365764	0.32248985835461286	0.25453450164388997	0.3810225316411292	0.07959824945626195
200	0.46981346520124917	0.381532509425508	0.44275248029579	0.44101554495051565	0.3447399448693422	0.23512215067758105	0.18005121326782825	0.31717204292988843	0.044101552212330294
