====================
Dataset: ml100k-popular
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6394367856722045	0.02125014728408153	4123.918006143728
1	0.6569272496762066	0.6169141039236478	0.021273712737127366	3773.3712812669582
2	0.6393002404531057	0.5906209496877577	0.021261930010604443	4173.686661567844
5	0.5772974220291113	0.5020501944149874	0.021468127724755502	3563.1428706243964
10	0.44853606554864384	0.39866855190291034	0.022063155414162837	2703.386311050792
20	0.3084089577382711	0.3286202427241664	0.027341816896429824	2245.293899458421
50	0.16583511718753335	0.28068811122893833	0.046005655708731004	1668.7221208103363
100	0.09705958705064502	0.2800164958171321	0.07740662189230589	1528.3796313262992
200	0.05301874542466465	0.2986155296335572	0.12003652645222103	1345.0931771848573
500	0.02203229631468	0.33439377872039594	0.18888299752562743	1276.227797652781
1000	0.010822374254583897	0.35448332744197014	0.2317544479792624	1276.5019008230615
1682	0.006279079607348137	0.3611582420172027	0.24714858018145394	1228.6506395071028

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6394367856722045	0.02125014728408153	5169.689474298051
1	0.6569272496762066	0.6169141039236478	0.021273712737127366	4523.877831427086
2	0.6393002404531057	0.5906209496877577	0.021261930010604443	5103.801413500346
5	0.5772974220291113	0.5020501944149874	0.021468127724755502	3646.9881815679564
10	0.44853606554864384	0.39866855190291034	0.022063155414162837	3157.6899252601947
20	0.3084089577382711	0.3286202427241664	0.027341816896429824	2724.3116085920788
50	0.16583511718753335	0.28068811122893833	0.046005655708731004	2137.1186222072934
100	0.09705958705064502	0.2800164958171321	0.07740662189230589	1825.1012362722233
200	0.05301874542466465	0.2986155296335572	0.12003652645222103	1845.8502479813378
500	0.02203229631468	0.33439377872039594	0.18888299752562743	1709.3592224109937
1000	0.010822374254583897	0.35448332744197014	0.2317544479792624	1645.7917266801737
1682	0.006279079607348137	0.3611582420172027	0.24714858018145394	1563.2291307412042

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.20790620949687755	0.02125014728408153	4166.460628370146
1	0.6569272496762066	0.15327559797337098	0.021273712737127366	3784.7578197625476
2	0.6393002404531057	0.14029103334511606	0.021261930010604443	3890.50959707606
5	0.5772974220291113	0.09563449982325908	0.021468127724755502	2932.5982089041395
10	0.44853606554864384	0.0771474019088017	0.022063155414162837	2623.8746615081045
20	0.3084089577382711	0.06427477318251444	0.027341816896429824	2063.751767210122
50	0.16583511718753335	0.07084364321904091	0.046005655708731004	1676.7881381073241
100	0.09705958705064502	0.09747260516083425	0.07740662189230589	1537.8317678130938
200	0.05301874542466465	0.13752798397549196	0.12003652645222103	1302.1529455598775
500	0.02203229631468	0.20437139154000242	0.18888299752562743	1325.0243721467364
1000	0.010822374254583897	0.24625898432897372	0.2317544479792624	1323.0250549574955
1682	0.006279079607348137	0.26086367385412984	0.24714858018145394	1243.153780855513

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6394367856722045	0.02125014728408153	4373.657993424531
1	0.6569272496762066	0.6169141039236478	0.021273712737127366	3858.912715616269
2	0.6393002404531057	0.5906209496877577	0.021261930010604443	4334.329440250917
5	0.5772974220291113	0.5020501944149874	0.021468127724755502	3397.971154066981
10	0.44853606554864384	0.39866855190291034	0.022063155414162837	2766.793255615457
20	0.3084089577382711	0.3286202427241664	0.027341816896429824	2281.8678208657493
50	0.16583511718753335	0.28068811122893833	0.046005655708731004	1708.9548940666712
100	0.09705958705064502	0.2800164958171321	0.07740662189230589	1596.9407960045444
200	0.05301874542466465	0.2986155296335572	0.12003652645222103	1447.2521319443545
500	0.02203229631468	0.33439377872039594	0.18888299752562743	1246.3552380210424
1000	0.010822374254583897	0.35448332744197014	0.2317544479792624	1291.9060623832409
1682	0.006279079607348137	0.3611582420172027	0.24714858018145394	1259.2700217610113

