====================
Dataset: ml100k
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6466654883940143	0.019205844232355357	345.31407979826514
1	0.657026565829855	0.6251914693059973	0.01929421468127724	348.7930829227218
2	0.6392760578151713	0.6046600683398137	0.01929421468127724	367.4529994900079
5	0.5729878363041754	0.5324908683869448	0.019205844232355353	335.0277755824657
10	0.4398623548463452	0.4387003652645222	0.01941204194650641	223.65904530211225
20	0.29392832629585397	0.3537174502179804	0.021061623659714847	183.4300730934293
50	0.15370191841214598	0.2809002003063509	0.031076941204194644	127.41456884655788
100	0.08746938626907944	0.2632261105219748	0.046954165193825864	77.2347375585742
200	0.047567013106721706	0.25592082007776595	0.06604218216095206	99.47026753617834
500	0.020195375781898957	0.2736243666784494	0.11279014964062685	74.12334176822542
1000	0.01032543703553766	0.31960645693413464	0.1835454224107458	85.3583004404888
1682	0.006279079607348137	0.3623188405797101	0.2459644161659008	77.92525145811734

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6466654883940143	0.019205844232355357	394.57550465020137
1	0.657026565829855	0.6251914693059973	0.01929421468127724	450.0018964770988
2	0.6392760578151713	0.6046600683398137	0.01929421468127724	493.3195545963876
5	0.5729878363041754	0.5324908683869448	0.019205844232355353	297.87794021003634
10	0.4398623548463452	0.4387003652645222	0.01941204194650641	202.0327120950522
20	0.29392832629585397	0.3537174502179804	0.021061623659714847	172.47238937892632
50	0.15370191841214598	0.2809002003063509	0.031076941204194644	123.45745565031528
100	0.08746938626907944	0.2632261105219748	0.046954165193825864	147.04224345454966
200	0.047567013106721706	0.25592082007776595	0.06604218216095206	148.3700211358305
500	0.020195375781898957	0.2736243666784494	0.11279014964062685	105.94546146251058
1000	0.01032543703553766	0.31960645693413464	0.1835454224107458	90.65678338354417
1682	0.006279079607348137	0.3623188405797101	0.2459644161659008	100.13205714687251

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.21312006598326855	0.019205844232355357	392.4979717102999
1	0.657026565829855	0.16401555319901018	0.01929421468127724	389.55174831417327
2	0.6392760578151713	0.14195239778484744	0.01929421468127724	385.1647238430453
5	0.5729878363041754	0.11040414751973608	0.019205844232355353	225.58848219034002
10	0.4398623548463452	0.08639684222929184	0.01941204194650641	200.80054193787436
20	0.29392832629585397	0.07470248615529633	0.021061623659714847	129.75171962572426
50	0.15370191841214598	0.06654294803817604	0.031076941204194644	115.27781473864349
100	0.08746938626907944	0.077677624602333	0.046954165193825864	78.9868930762464
200	0.047567013106721706	0.08910686932956288	0.06604218216095206	118.31362095176208
500	0.020195375781898957	0.13128903028160716	0.11279014964062685	60.48091334310349
1000	0.01032543703553766	0.20007069635913755	0.1835454224107458	68.45866180005355
1682	0.006279079607348137	0.260840108401084	0.2459644161659008	98.73739553567701

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6466654883940143	0.019205844232355357	355.5619095857976
1	0.657026565829855	0.6251914693059973	0.01929421468127724	370.29645185773654
2	0.6392760578151713	0.6046600683398137	0.01929421468127724	406.4347244418223
5	0.5729878363041754	0.5324908683869448	0.019205844232355353	293.27785715335654
10	0.4398623548463452	0.4387003652645222	0.01941204194650641	195.19206440123318
20	0.29392832629585397	0.3537174502179804	0.021061623659714847	165.9093790004126
50	0.15370191841214598	0.2809002003063509	0.031076941204194644	121.07510963873524
100	0.08746938626907944	0.2632261105219748	0.046954165193825864	107.70654642488769
200	0.047567013106721706	0.25592082007776595	0.06604218216095206	117.98477172065365
500	0.020195375781898957	0.2736243666784494	0.11279014964062685	100.87122690833385
1000	0.01032543703553766	0.31960645693413464	0.1835454224107458	74.30618011596746
1682	0.006279079607348137	0.3623188405797101	0.2459644161659008	87.85784315913547

