====================
Dataset: ml1m-popular
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672553348050037	0.008567880794701985	121.38183378515414
1	0.5580213705826131	0.5462932303164092	0.009377299484915383	131.96092830146227
2	0.5404658877207409	0.5243101545253864	0.009441685062545991	149.90792241289466
5	0.48439192811609966	0.443616629874908	0.009699227373068432	81.23790159203584
10	0.37863397834708484	0.3445778145695363	0.010126931567328917	65.96189716585505
20	0.2602936753459655	0.2730914275202355	0.011819352465047827	55.405130918779086
50	0.14015218885107408	0.24201158940397352	0.01868561442236939	33.7210949976559
100	0.08290198338537887	0.21830849889624726	0.027400662251655623	24.101392287689336
200	0.04615575944159202	0.20886221486387055	0.041565489330389976	36.41900629512084
500	0.020153338538366435	0.2182395143487859	0.0748988226637233	39.20056281745938
1000	0.010632094928660255	0.24084805003679172	0.10905537159676232	38.664100964283826
2000	0.005457751355857626	0.2756024650478293	0.1538217439293598	40.7670960841424
3706	0.002804388214482436	0.333016004415011	0.23348509933774833	44.22627975348964

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672553348050037	0.008567880794701985	160.17827817803555
1	0.5580213705826131	0.5462932303164092	0.009377299484915383	213.0691945073779
2	0.5404658877207409	0.5243101545253864	0.009441685062545991	202.04109928128477
5	0.48439192811609966	0.443616629874908	0.009699227373068432	106.14835352042563
10	0.37863397834708484	0.3445778145695363	0.010126931567328917	72.86596976039093
20	0.2602936753459655	0.2730914275202355	0.011819352465047827	58.94568696421261
50	0.14015218885107408	0.24201158940397352	0.01868561442236939	47.11694415246895
100	0.08290198338537887	0.21830849889624726	0.027400662251655623	45.91763814600734
200	0.04615575944159202	0.20886221486387055	0.041565489330389976	50.90559612441194
500	0.020153338538366435	0.2182395143487859	0.0748988226637233	52.08913014770357
1000	0.010632094928660255	0.24084805003679172	0.10905537159676232	34.49853351168488
2000	0.005457751355857626	0.2756024650478293	0.1538217439293598	46.734659214673925
3706	0.002804388214482436	0.333016004415011	0.23348509933774833	60.29189619619694

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.19337288447387785	0.008567880794701985	126.40508031097875
1	0.5580213705826131	0.16099153789551138	0.009377299484915383	141.243859492906
2	0.5404658877207409	0.15191317144959526	0.009441685062545991	156.34974670770114
5	0.48439192811609966	0.06525018395879323	0.009699227373068432	65.0433512936384
10	0.37863397834708484	0.055224429727740984	0.010126931567328917	37.83015095731749
20	0.2602936753459655	0.04185522442972775	0.011819352465047827	34.91844059611102
50	0.14015218885107408	0.047401582045621775	0.01868561442236939	46.21334882251792
100	0.08290198338537887	0.04925956585724798	0.027400662251655623	34.28576951574789
200	0.04615575944159202	0.05886221486387048	0.041565489330389976	52.65203787840512
500	0.020153338538366435	0.08763796909492276	0.0748988226637233	48.01345472519099
1000	0.010632094928660255	0.1203964311994113	0.10905537159676232	24.340952540060314
2000	0.005457751355857626	0.16470290654893308	0.1538217439293598	35.47468244008831
3706	0.002804388214482436	0.24296357615894046	0.23348509933774833	47.67841143198668

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672553348050037	0.008567880794701985	135.74035400371255
1	0.5580213705826131	0.5462932303164092	0.009377299484915383	173.56718964005623
2	0.5404658877207409	0.5243101545253864	0.009441685062545991	206.5542259144996
5	0.48439192811609966	0.443616629874908	0.009699227373068432	85.66044514166126
10	0.37863397834708484	0.3445778145695363	0.010126931567328917	62.10791764676181
20	0.2602936753459655	0.2730914275202355	0.011819352465047827	54.36985954349071
50	0.14015218885107408	0.24201158940397352	0.01868561442236939	36.96229197509617
100	0.08290198338537887	0.21830849889624726	0.027400662251655623	30.388479231740806
200	0.04615575944159202	0.20886221486387055	0.041565489330389976	39.21711865053522
500	0.020153338538366435	0.2182395143487859	0.0748988226637233	46.29788958410967
1000	0.010632094928660255	0.24084805003679172	0.10905537159676232	37.27113419491529
2000	0.005457751355857626	0.2756024650478293	0.1538217439293598	41.75212530288259
3706	0.002804388214482436	0.333016004415011	0.23348509933774833	39.62771553538962

