====================
Dataset: ml1m-unpopular
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.565618101545254	0.008521891096394403	154.34044185346144
1	0.558888552025327	0.5453918322295803	0.008586276674025018	191.12342907888697
2	0.5414547394596155	0.5174668874172185	0.008609271523178808	164.79503566819793
5	0.48057546489792	0.45437821927888156	0.008724245768947756	170.32190254326252
10	0.37255166678610935	0.3751057763061075	0.008926600441501108	128.66446897213655
20	0.2585014908286622	0.32373988226637235	0.010237306843267104	68.95895884131427
50	0.13877510239441432	0.2676416482707873	0.012973693892568064	76.74230878500171
100	0.08146370391129172	0.19980224429727741	0.03436350257542311	38.22504093112494
200	0.04596939631250035	0.20101177336276674	0.04769591611479028	37.982201323339005
500	0.020647309629622378	0.211759565857248	0.06627575423105225	43.208025722451715
1000	0.010882782772733256	0.23030721118469463	0.0963070272259014	41.381400659149946
2000	0.0055636910002852345	0.26468451066961	0.14389716703458422	45.36404049711666
3706	0.0028043882144824363	0.3360513245033112	0.2353706769683591	44.20327466477959

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.565618101545254	0.008521891096394403	189.15730677500022
1	0.558888552025327	0.5453918322295803	0.008586276674025018	330.2299641766458
2	0.5414547394596155	0.5174668874172185	0.008609271523178808	201.1955547721476
5	0.48057546489792	0.45437821927888156	0.008724245768947756	151.79733690080334
10	0.37255166678610935	0.3751057763061075	0.008926600441501108	123.01838188798946
20	0.2585014908286622	0.32373988226637235	0.010237306843267104	74.71999240060113
50	0.13877510239441432	0.2676416482707873	0.012973693892568064	91.01813683973717
100	0.08146370391129172	0.19980224429727741	0.03436350257542311	58.89035551260158
200	0.04596939631250035	0.20101177336276674	0.04769591611479028	40.241377389348045
500	0.020647309629622378	0.211759565857248	0.06627575423105225	39.43626968461012
1000	0.010882782772733256	0.23030721118469463	0.0963070272259014	53.62179177502814
2000	0.0055636910002852345	0.26468451066961	0.14389716703458422	29.68273699744172
3706	0.0028043882144824363	0.3360513245033112	0.2353706769683591	48.97516353599004

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.19318432671081676	0.008521891096394403	128.13339469544903
1	0.558888552025327	0.16359915378955114	0.008586276674025018	177.03632507206135
2	0.5414547394596155	0.12638428991905815	0.008609271523178808	156.251784743601
5	0.48057546489792	0.11278513612950701	0.008724245768947756	129.29496553165018
10	0.37255166678610935	0.09381438557763061	0.008926600441501108	115.58903821727776
20	0.2585014908286622	0.0615066225165563	0.010237306843267104	47.667258804174345
50	0.13877510239441432	0.05323307579102282	0.012973693892568064	41.62087935319731
100	0.08146370391129172	0.052193708609271514	0.03436350257542311	43.38750544424064
200	0.04596939631250035	0.06387049300956588	0.04769591611479028	22.54241064881265
500	0.020647309629622378	0.07994389256806476	0.06627575423105225	39.20611975184034
1000	0.010882782772733256	0.10784584253127301	0.0963070272259014	35.127735612738654
2000	0.0055636910002852345	0.1548933038999264	0.14389716703458422	25.682427578278823
3706	0.0028043882144824363	0.24544701986754966	0.2353706769683591	48.434046415239536

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.565618101545254	0.008521891096394403	172.20168551645543
1	0.558888552025327	0.5453918322295803	0.008586276674025018	276.5650217376838
2	0.5414547394596155	0.5174668874172185	0.008609271523178808	178.8724616756614
5	0.48057546489792	0.45437821927888156	0.008724245768947756	142.99218640776166
10	0.37255166678610935	0.3751057763061075	0.008926600441501108	114.35413786522693
20	0.2585014908286622	0.32373988226637235	0.010237306843267104	61.06500505650608
50	0.13877510239441432	0.2676416482707873	0.012973693892568064	69.0408407044688
100	0.08146370391129172	0.19980224429727741	0.03436350257542311	39.34740964427997
200	0.04596939631250035	0.20101177336276674	0.04769591611479028	30.577495423511152
500	0.020647309629622378	0.211759565857248	0.06627575423105225	24.69647576686122
1000	0.010882782772733256	0.23030721118469463	0.0963070272259014	37.45595116764904
2000	0.0055636910002852345	0.26468451066961	0.14389716703458422	31.1235768651224
3706	0.0028043882144824363	0.3360513245033112	0.2353706769683591	36.34842863754876

