====================
Dataset: ml1m
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672259013980869	0.0089836276674025	150.17758791080269
1	0.5582881565189544	0.5417402501839589	0.009013061074319352	160.97450516472958
2	0.5408822541854138	0.5186267476085358	0.009026857983811627	161.5251603692018
5	0.4807492470350264	0.45054267844002943	0.009090323767476087	139.75808632052355
10	0.3730316060369533	0.3680362398822664	0.009419610007358352	98.30047870737494
20	0.25632523634378446	0.30733811626195734	0.010843451066961003	69.57522640708932
50	0.13888707934673733	0.24995768947755698	0.016167218543046355	60.581829588560176
100	0.08101645171456025	0.222852281089036	0.024424208977189103	50.2106545183254
200	0.044913041935378685	0.20917034584253125	0.03810062545989699	55.07324539463075
500	0.01944622554237347	0.21364238410596026	0.06842347314201619	59.50933135045699
1000	0.010035898302657924	0.23721394407652685	0.10446100073583517	38.819268242595626
2000	0.00510558113341906	0.2791519499632083	0.16149926416482707	35.69291713180916
3706	0.002804388214482436	0.33572479764532753	0.23533572479764533	41.87722345067923

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672259013980869	0.0089836276674025	192.92098669537086
1	0.5582881565189544	0.5417402501839589	0.009013061074319352	202.595086909606
2	0.5408822541854138	0.5186267476085358	0.009026857983811627	221.0658844292624
5	0.4807492470350264	0.45054267844002943	0.009090323767476087	176.57737041970157
10	0.3730316060369533	0.3680362398822664	0.009419610007358352	113.1306574135751
20	0.25632523634378446	0.30733811626195734	0.010843451066961003	109.9599286139913
50	0.13888707934673733	0.24995768947755698	0.016167218543046355	57.491890329549406
100	0.08101645171456025	0.222852281089036	0.024424208977189103	58.56268349676326
200	0.044913041935378685	0.20917034584253125	0.03810062545989699	35.02633206650226
500	0.01944622554237347	0.21364238410596026	0.06842347314201619	45.66132133263029
1000	0.010035898302657924	0.23721394407652685	0.10446100073583517	39.6757362710588
2000	0.00510558113341906	0.2791519499632083	0.16149926416482707	37.56203848608441
3706	0.002804388214482436	0.33572479764532753	0.23533572479764533	55.58840033118843

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.1950754231052244	0.0089836276674025	130.05997319846458
1	0.5582881565189544	0.14942972774098595	0.009013061074319352	164.03949795273502
2	0.5408822541854138	0.12993837380426781	0.009026857983811627	166.43032036607718
5	0.4807492470350264	0.10251103752759382	0.009090323767476087	98.87422528066281
10	0.3730316060369533	0.08334069168506254	0.009419610007358352	94.98590205419207
20	0.25632523634378446	0.06696559970566593	0.010843451066961003	61.89992341213839
50	0.13888707934673733	0.05292310522442973	0.016167218543046355	37.7310903809513
100	0.08101645171456025	0.051331861662987484	0.024424208977189103	56.37903726200137
200	0.044913041935378685	0.05749264164827079	0.03810062545989699	52.57890800072248
500	0.01944622554237347	0.08208333333333331	0.06842347314201619	30.748675181623444
1000	0.010035898302657924	0.11598233995584989	0.10446100073583517	21.011695704323785
2000	0.00510558113341906	0.17199779249448124	0.16149926416482707	33.219604187172635
3706	0.002804388214482436	0.24507266372332598	0.23533572479764533	43.759468467100206

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.5744670846998197	0.5672259013980869	0.0089836276674025	162.11641397992344
1	0.5582881565189544	0.5417402501839589	0.009013061074319352	181.62999842735238
2	0.5408822541854138	0.5186267476085358	0.009026857983811627	184.7115398286524
5	0.4807492470350264	0.45054267844002943	0.009090323767476087	144.06181502059533
10	0.3730316060369533	0.3680362398822664	0.009419610007358352	97.62348828146814
20	0.25632523634378446	0.30733811626195734	0.010843451066961003	72.42731285030682
50	0.13888707934673733	0.24995768947755698	0.016167218543046355	54.02143536133764
100	0.08101645171456025	0.222852281089036	0.024424208977189103	52.52605851473533
200	0.044913041935378685	0.20917034584253125	0.03810062545989699	32.78833252171875
500	0.01944622554237347	0.21364238410596026	0.06842347314201619	40.61857596292389
1000	0.010035898302657924	0.23721394407652685	0.10446100073583517	29.413160804319016
2000	0.00510558113341906	0.2791519499632083	0.16149926416482707	37.4443600997521
3706	0.002804388214482436	0.33572479764532753	0.23533572479764533	41.04459336697897

