====================
Dataset: ml100k/female
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7158616083124052	0.6636141636141638	0.01831501831501832	709.6005944909994
1	0.7006309448015664	0.6422466422466425	0.01831501831501832	726.2712359274698
2	0.6837295215898083	0.6209808709808713	0.01831501831501832	687.6774554385352
5	0.6171783626015731	0.5573870573870576	0.01831501831501832	465.05611415234154
10	0.4693452152803538	0.44149369149369133	0.018620268620268627	370.8763223957686
20	0.30871190057193	0.36416361416361415	0.02035002035002036	254.17068858027707
50	0.15824143398898743	0.28612128612128607	0.031033781033781054	163.7612256652051
100	0.08908114619362567	0.264041514041514	0.047110297110297135	144.76134156826996
200	0.04802805195246686	0.2737077737077736	0.07387057387057389	153.00792553071702
500	0.020269471929235904	0.31125356125356124	0.14784289784289778	153.4491691607817
1000	0.010344323160590524	0.35643060643060653	0.2190679690679691	98.72103956277115
1534	0.006880799594286897	0.3964183964183965	0.2749287749287748	112.6137900507594

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7158616083124052	0.6636141636141638	0.01831501831501832	764.6504190020983
1	0.7006309448015664	0.6422466422466425	0.01831501831501832	844.1728199036082
2	0.6837295215898083	0.6209808709808713	0.01831501831501832	722.6344478645104
5	0.6171783626015731	0.5573870573870576	0.01831501831501832	611.6508384392423
10	0.4693452152803538	0.44149369149369133	0.018620268620268627	358.162264203779
20	0.30871190057193	0.36416361416361415	0.02035002035002036	207.24589910637684
50	0.15824143398898743	0.28612128612128607	0.031033781033781054	201.51555935192007
100	0.08908114619362567	0.264041514041514	0.047110297110297135	188.16298965990185
200	0.04802805195246686	0.2737077737077736	0.07387057387057389	175.89010867102527
500	0.020269471929235904	0.31125356125356124	0.14784289784289778	174.55430497563512
1000	0.010344323160590524	0.35643060643060653	0.2190679690679691	172.55934410001905
1534	0.006880799594286897	0.3964183964183965	0.2749287749287748	190.71887333607842

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7158616083124052	0.20034595034595037	0.01831501831501832	498.80511514008896
1	0.7006309448015664	0.13939763939763936	0.01831501831501832	635.1393959055098
2	0.6837295215898083	0.1229141229141229	0.01831501831501832	589.7986852040825
5	0.6171783626015731	0.09493284493284494	0.01831501831501832	589.3258267626159
10	0.4693452152803538	0.07102157102157101	0.018620268620268627	321.68352680968104
20	0.30871190057193	0.06074481074481074	0.02035002035002036	207.29364692357768
50	0.15824143398898743	0.0531135531135531	0.031033781033781054	127.00905041556
100	0.08908114619362567	0.06593406593406592	0.047110297110297135	135.23066217211144
200	0.04802805195246686	0.09188034188034189	0.07387057387057389	132.57116602822163
500	0.020269471929235904	0.16300366300366295	0.14784289784289778	149.14446915865122
1000	0.010344323160590524	0.2318884818884819	0.2190679690679691	113.60161592274528
1534	0.006880799594286897	0.288156288156288	0.2749287749287748	121.88336987503818

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.7158616083124052	0.6636141636141638	0.01831501831501832	740.7557512732046
1	0.7006309448015664	0.6422466422466425	0.01831501831501832	759.6322069599702
2	0.6837295215898083	0.6209808709808713	0.01831501831501832	671.258045748456
5	0.6171783626015731	0.5573870573870576	0.01831501831501832	481.26819278529763
10	0.4693452152803538	0.44149369149369133	0.018620268620268627	322.900709708074
20	0.30871190057193	0.36416361416361415	0.02035002035002036	291.51060614121513
50	0.15824143398898743	0.28612128612128607	0.031033781033781054	172.98317778359893
100	0.08908114619362567	0.264041514041514	0.047110297110297135	148.32900842216048
200	0.04802805195246686	0.2737077737077736	0.07387057387057389	166.3425199022039
500	0.020269471929235904	0.31125356125356124	0.14784289784289778	149.37847147472544
1000	0.010344323160590524	0.35643060643060653	0.2190679690679691	144.1988735417059
1534	0.006880799594286897	0.3964183964183965	0.2749287749287748	136.2359280676779

