====================
Dataset: ml100k
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6405443619653587	0.021309060916696116	154.0370988438855
1	0.6569760450507501	0.6185519029103335	0.02127371273712737	155.21803570912644
2	0.6392723888303692	0.5940438317426653	0.021326735006480493	188.7815443035266
5	0.5731896931584584	0.527306468716861	0.02137386591257217	152.29191562721078
10	0.44008246330931167	0.433751620124897	0.021786261340874274	114.64694186017769
20	0.2936647602773256	0.36339106869329574	0.02302344762578061	97.20422809478436
50	0.15364278732889133	0.29146930599740783	0.03018734535171438	71.71675139418569
100	0.08754020498272705	0.26127017791917045	0.04214681277247555	39.854974172950534
200	0.04754518580709437	0.25404736656062205	0.06548839401437492	40.66145862960962
500	0.02019465568799237	0.2739483916578296	0.11819842111464594	39.827034738354584
1000	0.010325938060088061	0.315205608577825	0.18298574290090727	50.56136730064492
1682	0.006279079607348137	0.36277247555084235	0.2515258630847178	38.40912890595912

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6405443619653587	0.021309060916696116	221.27706085111512
1	0.6569760450507501	0.6185519029103335	0.02127371273712737	173.84892989558352
2	0.6392723888303692	0.5940438317426653	0.021326735006480493	241.20703796747443
5	0.5731896931584584	0.527306468716861	0.02137386591257217	140.63102998075217
10	0.44008246330931167	0.433751620124897	0.021786261340874274	108.17109717680798
20	0.2936647602773256	0.36339106869329574	0.02302344762578061	75.86780702001478
50	0.15364278732889133	0.29146930599740783	0.03018734535171438	74.86309115651811
100	0.08754020498272705	0.26127017791917045	0.04214681277247555	74.74396991021874
200	0.04754518580709437	0.25404736656062205	0.06548839401437492	63.79042266187313
500	0.02019465568799237	0.2739483916578296	0.11819842111464594	57.57750548794216
1000	0.010325938060088061	0.315205608577825	0.18298574290090727	41.92584107583049
1682	0.006279079607348137	0.36277247555084235	0.2515258630847178	47.14883919606038

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.20506657240485449	0.021309060916696116	182.77616005389999
1	0.6569760450507501	0.15642158595499	0.02127371273712737	162.34953500272172
2	0.6392723888303692	0.1356015081889949	0.021326735006480493	153.37999540760399
5	0.5731896931584584	0.10737598680334631	0.02137386591257217	116.94406700136709
10	0.44008246330931167	0.08872982208082951	0.021786261340874274	109.13426185322466
20	0.2936647602773256	0.07087899139860965	0.02302344762578061	58.047514702406694
50	0.15364278732889133	0.06177094379639447	0.03018734535171438	31.4359731096435
100	0.08754020498272705	0.06588900671615414	0.04214681277247555	29.03293175581321
200	0.04754518580709437	0.08375751148815838	0.06548839401437492	54.01806235661315
500	0.02019465568799237	0.13295039472133852	0.11819842111464594	33.45569554103323
1000	0.010325938060088061	0.19605278661482264	0.18298574290090727	31.840918476532607
1682	0.006279079607348137	0.26286084599976434	0.2515258630847178	52.809509524012135

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.6726577348012521	0.6405443619653587	0.021309060916696116	186.17629795936455
1	0.6569760450507501	0.6185519029103335	0.02127371273712737	153.33538378076338
2	0.6392723888303692	0.5940438317426653	0.021326735006480493	203.76679211023176
5	0.5731896931584584	0.527306468716861	0.02137386591257217	142.23776553010845
10	0.44008246330931167	0.433751620124897	0.021786261340874274	92.305492387518
20	0.2936647602773256	0.36339106869329574	0.02302344762578061	85.99168261503695
50	0.15364278732889133	0.29146930599740783	0.03018734535171438	62.050868893192565
100	0.08754020498272705	0.26127017791917045	0.04214681277247555	52.68161985863545
200	0.04754518580709437	0.25404736656062205	0.06548839401437492	45.33920406059863
500	0.02019465568799237	0.2739483916578296	0.11819842111464594	56.71415977203923
1000	0.010325938060088061	0.315205608577825	0.18298574290090727	43.547918409104234
1682	0.006279079607348137	0.36277247555084235	0.2515258630847178	36.8415329662375

