====================
Dataset: ml1m/male
====================

P@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.557199999688235	0.5574655583775878	0.008993304086815979	76.52540943913225
1	0.5411939086082003	0.5322814849021267	0.009012545216655123	79.47599429908487
2	0.5241358145242611	0.5097719284743067	0.00900228328074091	108.72948734008587
5	0.4655472746746475	0.4443623489571306	0.009083096026065317	93.27131583160465
10	0.3627628334160454	0.36741450524641467	0.009372995715641754	56.260478340153675
20	0.2507737847491625	0.3111175248210575	0.010340183175556069	47.003764956851036
50	0.13696420218700883	0.2548500474614537	0.014968316272864875	33.62288788650461
100	0.08033296647201306	0.22622181174478564	0.0221914364144796	32.118213829038716
200	0.04470393773057196	0.2101387926832397	0.03419020498216988	30.53733644558949
500	0.019424871405031144	0.21158700838913264	0.061058518689550784	14.87645239471873
1000	0.01004136364667746	0.23219554118884528	0.09733061392031607	17.456921872502498
2000	0.005113487769724666	0.27270709869416865	0.15477180020010778	26.85372273993706
3671	0.002838287984819066	0.3255958336540188	0.2256035301059545	28.894913377019336

Recall@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.557199999688235	0.5574655583775878	0.008993304086815979	92.11351731813967
1	0.5411939086082003	0.5322814849021267	0.009012545216655123	98.41076613026604
2	0.5241358145242611	0.5097719284743067	0.00900228328074091	114.23498575282565
5	0.4655472746746475	0.4443623489571306	0.009083096026065317	106.62191362261773
10	0.3627628334160454	0.36741450524641467	0.009372995715641754	60.83358127229179
20	0.2507737847491625	0.3111175248210575	0.010340183175556069	75.81852546886353
50	0.13696420218700883	0.2548500474614537	0.014968316272864875	39.44823858656798
100	0.08033296647201306	0.22622181174478564	0.0221914364144796	41.928140461717234
200	0.04470393773057196	0.2101387926832397	0.03419020498216988	35.12208752429308
500	0.019424871405031144	0.21158700838913264	0.061058518689550784	35.086042973566244
1000	0.01004136364667746	0.23219554118884528	0.09733061392031607	29.080949615848624
2000	0.005113487769724666	0.27270709869416865	0.15477180020010778	28.98290725402916
3671	0.002838287984819066	0.3255958336540188	0.2256035301059545	25.013311503409398

nDCG@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.557199999688235	0.19516021447446052	0.008993304086815979	62.97975341096517
1	0.5411939086082003	0.15155468329100288	0.009012545216655123	69.40763148946931
2	0.5241358145242611	0.13342184253059342	0.00900228328074091	80.80134204325438
5	0.4655472746746475	0.10705251545704099	0.009083096026065317	66.23390536582453
10	0.3627628334160454	0.08640165217168219	0.009372995715641754	40.326689727350505
20	0.2507737847491625	0.07027501988250083	0.010340183175556069	46.30948218582326
50	0.13696420218700883	0.05467302906693347	0.014968316272864875	24.969150846915472
100	0.08033296647201306	0.0501731701685523	0.0221914364144796	23.447399698458533
200	0.04470393773057196	0.05402011339439186	0.03419020498216988	37.77528976658397
500	0.019424871405031144	0.07460427409630828	0.061058518689550784	18.064396427434716
1000	0.01004136364667746	0.10873419020498216	0.09733061392031607	21.586715539899135
2000	0.005113487769724666	0.1650773493419534	0.15477180020010778	27.58591647837416
3671	0.002838287984819066	0.23504066292106007	0.2256035301059545	25.379036277028643

FScore@10
Target size	Expected intersection ratio in top n	Ratio of ties	Ratio of ties at zero	Sum of p-values
0	0.557199999688235	0.5574655583775878	0.008993304086815979	99.21031609457906
1	0.5411939086082003	0.5322814849021267	0.009012545216655123	103.86841239234067
2	0.5241358145242611	0.5097719284743067	0.00900228328074091	102.78767004811424
5	0.4655472746746475	0.4443623489571306	0.009083096026065317	84.78247453623234
10	0.3627628334160454	0.36741450524641467	0.009372995715641754	54.64332550688233
20	0.2507737847491625	0.3111175248210575	0.010340183175556069	48.74048679806064
50	0.13696420218700883	0.2548500474614537	0.014968316272864875	37.59760643826122
100	0.08033296647201306	0.22622181174478564	0.0221914364144796	35.781499208620566
200	0.04470393773057196	0.2101387926832397	0.03419020498216988	43.46070236021714
500	0.019424871405031144	0.21158700838913264	0.061058518689550784	26.897339432115253
1000	0.01004136364667746	0.23219554118884528	0.09733061392031607	26.021163108493067
2000	0.005113487769724666	0.27270709869416865	0.15477180020010778	16.844779685096206
3671	0.002838287984819066	0.3255958336540188	0.2256035301059545	26.02145327500834

