====================
Dataset: ml1m-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8862549668874171	0.8862549668874171	0.8616026490066225	0.8751490066225166	0.676841059602649	0.8824039735099337	0.8861688741721855	0.8861688741721855	0.8862549668874171
1	0.9136125827814571	0.9136125827814571	0.8685132450331127	0.8862450331125828	0.6774602649006622	0.8978774834437087	0.9133543046357616	0.9133543046357616	0.9136125827814571
2	0.9374735099337748	0.9374735099337748	0.8746721854304635	0.8968046357615893	0.6779900662251656	0.9124006622516557	0.9370993377483444	0.9370993377483444	0.9374735099337748
5	0.9854105960264901	0.9854105960264901	0.8925827814569537	0.9237980132450332	0.6797251655629137	0.9473543046357615	0.984933774834437	0.984933774834437	0.9854105960264901
10	1.0	1.0	0.9186059602649006	0.9578509933774834	0.682433774834437	0.981774834437086	0.9999867549668874	0.9999867549668874	1.0
20	1.0	1.0	0.954658940397351	0.9883245033112583	0.6881721854304634	0.9986456953642383	1.0	1.0	1.0
50	1.0	1.0	0.9921324503311257	0.9996556291390728	0.7035562913907285	0.999996688741722	1.0	1.0	1.0
100	1.0	1.0	0.9996324503311259	0.9999933774834437	0.7267052980132449	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.7664105960264901	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.8473509933774835	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.9187086092715232	1.0	1.0	1.0	1.0
2000	1.0	1.0	1.0	1.0	0.9729668874172186	1.0	1.0	1.0	1.0
3706	1.0	1.0	1.0	1.0	0.9954834437086092	1.0	1.0	1.0	1.0

