====================
Dataset: ml100k-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8321951219512196	0.8321951219512196	0.8254718981972429	0.8193849416755038	0.6656415694591729	0.8237751855779427	0.832152704135737	0.832152704135737	0.8321951219512196
1	0.8701802757158006	0.8701802757158006	0.8373700954400848	0.8285896076352068	0.6673594909862142	0.8336797454931071	0.8694379639448568	0.8694379639448568	0.8701802757158006
2	0.904644750795334	0.904644750795334	0.8497773064687169	0.8382396606574762	0.6690137857900318	0.8442417815482504	0.9032661717921527	0.9032661717921527	0.904644750795334
5	0.9752279957582186	0.9752279957582186	0.8791092258748675	0.8616542948038177	0.6738494167550371	0.869607635206787	0.9737857900318133	0.9737857900318133	0.9752279957582186
10	1.0	1.0	0.917730646871686	0.894846235418876	0.6817603393425239	0.9033297985153764	0.9998939554612937	0.9998939554612937	1.0
20	1.0	1.0	0.9553976670201484	0.9326405090137857	0.6971367974549312	0.9429904559915163	1.0	1.0	1.0
50	1.0	1.0	0.9921102863202546	0.9796394485683988	0.7363096500530222	0.985323435843054	1.0	1.0	1.0
100	1.0	1.0	0.9995758218451749	0.9974125132555673	0.785662778366914	0.9987698833510075	1.0	1.0	1.0
200	1.0	1.0	1.0	0.9999787910922588	0.8492682926829268	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.9474655355249204	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.9930858960763521	1.0	1.0	1.0	1.0
1682	1.0	1.0	1.0	1.0	0.9996818663838812	1.0	1.0	1.0	1.0

