====================
Dataset: ml100k/old-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.805	0.805	0.7661538461538461	0.7815384615384616	0.5757692307692308	0.7346153846153847	0.7819230769230769	0.7819230769230769	0.805
1	0.848076923076923	0.848076923076923	0.7896153846153846	0.823076923076923	0.5800000000000001	0.7584615384615384	0.8238461538461538	0.8238461538461538	0.848076923076923
2	0.8884615384615385	0.8884615384615385	0.8173076923076922	0.8676923076923078	0.588076923076923	0.7846153846153846	0.8684615384615384	0.8684615384615384	0.8884615384615385
5	0.9753846153846155	0.9753846153846155	0.8780769230769231	0.9584615384615385	0.6015384615384616	0.8423076923076923	0.9607692307692307	0.9607692307692307	0.9753846153846155
10	1.0	1.0	0.9373076923076923	0.9996153846153846	0.6211538461538462	0.9319230769230769	1.0	1.0	1.0
20	1.0	1.0	0.9846153846153847	1.0	0.6634615384615385	0.9957692307692309	1.0	1.0	1.0
50	1.0	1.0	1.0	1.0	0.7157692307692308	1.0	1.0	1.0	1.0
100	1.0	1.0	1.0	1.0	0.7619230769230769	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.8580769230769232	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.9830769230769232	1.0	1.0	1.0	1.0
1042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0

