====================
Dataset: ml100k/young-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8185185185185185	0.8185185185185185	0.8	0.5755555555555556	0.7322222222222223	0.8092592592592593	0.8092592592592593	0.8185185185185185
1	0.8585185185185183	0.8585185185185183	0.8255555555555556	0.5803703703703704	0.7514814814814814	0.8481481481481481	0.8481481481481481	0.8585185185185183
2	0.8951851851851853	0.8951851851851853	0.8566666666666667	0.5855555555555555	0.7666666666666667	0.8859259259259259	0.8859259259259259	0.8951851851851853
5	0.9729629629629629	0.9729629629629629	0.9144444444444444	0.5944444444444444	0.8074074074074075	0.9625925925925927	0.9625925925925927	0.9729629629629629
10	1.0	1.0	0.9733333333333334	0.6174074074074075	0.8674074074074074	1.0	1.0	1.0
20	1.0	1.0	0.9955555555555555	0.658888888888889	0.9596296296296296	1.0	1.0	1.0
50	1.0	1.0	1.0	0.7507407407407408	0.9988888888888887	1.0	1.0	1.0
100	1.0	1.0	1.0	0.8622222222222222	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	0.9477777777777778	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	0.9992592592592592	1.0	1.0	1.0	1.0
1012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0

