====================
Dataset: ml1m/male-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8941029785268991	0.8941029785268991	0.8724774878780881	0.8857030708843224	0.7021473100900485	0.8888201339182638	0.8940337104594782	0.8940337104594782	0.8941029785268991
1	0.9197229277303164	0.9197229277303164	0.8790902793812052	0.8971784807203879	0.7027799584391595	0.9019995382128838	0.9194550912029555	0.9194550912029555	0.9197229277303164
2	0.9419995382128838	0.9419995382128838	0.8854306164858	0.9084876471946431	0.7034495497575618	0.9143985222812283	0.9416393442622951	0.9416393442622951	0.9419995382128838
5	0.986575848533826	0.986575848533826	0.9039482798429923	0.9372939274994228	0.705079658277534	0.9464096051720157	0.9861325329023319	0.9861325329023319	0.986575848533826
10	1.0	1.0	0.9291387670283999	0.9688108981759409	0.7083167859616717	0.977367813438005	0.9999815285153544	0.9999815285153544	1.0
20	1.0	1.0	0.9621981066728239	0.9934795659201108	0.7137889632879243	0.9972985453705843	1.0	1.0	1.0
50	1.0	1.0	0.9949480489494343	0.9999399676749018	0.72970214731009	1.0	1.0	1.0	1.0
100	1.0	1.0	0.9997506349572847	1.0	0.7530962826137151	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	1.0	0.7925329023320249	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	1.0	0.8706441930270146	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	1.0	0.9342876933733549	1.0	1.0	1.0	1.0
2000	1.0	1.0	1.0	1.0	0.9811175248210574	1.0	1.0	1.0	1.0
3671	1.0	1.0	1.0	1.0	0.9973724313091665	1.0	1.0	1.0	1.0

