====================
Dataset: ml1m/young-nofill
====================

Coverage@10
Target size	iMF (full)	iMF (test)	kNN (full/test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8793693693693694	0.8793693693693694	0.8612612612612611	0.6517117117117117	0.8515315315315315	0.8751351351351351	0.8751351351351351	0.8793693693693694
1	0.9079279279279279	0.9079279279279279	0.877117117117117	0.6533333333333333	0.8654954954954954	0.903063063063063	0.903063063063063	0.9079279279279279
2	0.9332432432432434	0.9332432432432434	0.8915315315315315	0.6551351351351351	0.8776576576576577	0.9274774774774774	0.9274774774774774	0.9332432432432434
5	0.9852252252252253	0.9852252252252253	0.9281981981981982	0.6609009009009009	0.914864864864865	0.9801801801801803	0.9801801801801803	0.9852252252252253
10	1.0	1.0	0.964954954954955	0.6681981981981983	0.953963963963964	0.9999099099099098	0.9999099099099098	1.0
20	1.0	1.0	0.994864864864865	0.6893693693693693	0.9906306306306305	1.0	1.0	1.0
50	1.0	1.0	1.0	0.7392792792792793	1.0	1.0	1.0	1.0
100	1.0	1.0	1.0	0.7987387387387387	1.0	1.0	1.0	1.0
200	1.0	1.0	1.0	0.8865765765765765	1.0	1.0	1.0	1.0
500	1.0	1.0	1.0	0.9716216216216216	1.0	1.0	1.0	1.0
1000	1.0	1.0	1.0	0.9968468468468469	1.0	1.0	1.0	1.0
2000	1.0	1.0	1.0	0.9998198198198198	1.0	1.0	1.0	1.0
2650	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0

