target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	NaN	5.015816570726302E-13	1.087184597000076E-24	2.2327553924505528E-11	4.4183662545554105E-22
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	NaN	5.17266664209462E-83	2.84637194857152E-66	2.516386582088487E-55	8.594712580648323E-68
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	NaN	1.7646188622448367E-19	1.625744592067828E-39	9.594711969497156E-21	8.196807213983872E-37
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	NaN	3.2169547683333726E-8	0.3831925398119791	0.4067815039102973	0.41219878311633507
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	NaN	1.259864058298635E-7	9.622903179474182E-19	1.00358342403562E-8	1.5109652048275405E-16
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	NaN	1.8083058217631815E-275	6.9089789557366864E-301	2.485515082519058E-274	2.0E-323
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	NaN	3.3102823772057736E-156	4.5088462821170654E-136	7.973096778968699E-114	6.813650929661996E-141
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	NaN	0.9548019546077069	0.7646358318617057	0.1380188909352914	0.8154811850391495
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	NaN	4.319599201597583E-16	1.652191568925288E-32	7.122138975601444E-20	1.6986828176506406E-31
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	NaN	3.1029657843380333E-75	2.1016224024173116E-63	7.141434240963616E-54	1.634126878491752E-65
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	NaN	7.624512758086395E-9	2.74058331787828E-16	4.607308705125218E-8	2.1344200115845327E-14
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	NaN	1.2632012832443093E-19	8.588122476310179E-18	2.422096712154123E-26	1.2018495304982127E-23
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	NaN	5.851607131097292E-287	3.37852876E-315	5.076869315581518E-289	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	NaN	7.363237974310153E-305	0.0	4.2962407E-317	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	NaN	3.073601537271082E-24	3.0483926474103135E-38	1.861760207301286E-46	2.6262021601729044E-45
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	NaN	0.9688540118213018	0.013462577750932993	0.8097167044962126	0.060857517067189205
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	NaN	0.023553795492922303	6.676358855591207E-12	2.5866525110865917E-6	1.0337650935505386E-11
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	NaN	5.5287111089472445E-132	1.641644596423237E-111	4.926699932776337E-91	7.385575692335216E-114
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	NaN	4.321106841741704E-299	0.0	1.2522262621E-312	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	NaN	1.9568141785413342E-14	3.0203839989686926E-26	1.6148394629616503E-13	7.338814633836691E-24
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	NaN	3.7302132715790086E-18	3.033144925649223E-36	2.004053643785617E-21	1.9433124500007717E-35
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	NaN	1.5883083877723973E-10	5.397312797728032E-19	1.4556198708984447E-8	8.16564183783151E-17
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	NaN	0.5733671589188142	0.002351952769612884	0.47087652893783916	0.0161112006229274
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	NaN	2.1037755149328716E-17	1.8099962816939778E-36	4.31577174922941E-18	2.5944200439408617E-33
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	NaN	1.4876048605578275E-11	3.3459225371271406E-25	2.3199532627005035E-13	2.517639707436992E-24
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	NaN	9.508438842672483E-304	0.0	3.407086146E-314	0.0
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	NaN	1.1371843867965398E-26	1.4641920117498866E-6	4.163452674680718E-7	1.8477708559773095E-6
