fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
4	1000	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.06882712027215013	0.025185185185185185	0.11314189473635325	0.03831136609802559
2	1000	iMF (k=5, lambda=0.1, alpha=100.0)	1.0	0.06394507372931572	0.02372222222222222	0.10709620447697918	0.035807906034366184
4	1000	Normalized kNN (k=1000, min=3)	1.0	0.0026257366231163463	0.0010555555555555557	0.0042900112887971015	0.0015024896727109777
2	0	Normalized kNN (k=1000, min=3)	0.43042592592592593	0.5791434980412645	0.1701111111111111	0.6647050025894881	0.24801936558318335
2	1000	Normalized kNN (k=1000, min=3)	1.0	0.002309469446518456	8.148148148148149E-4	0.0033626807268972827	0.001155687107995907
4	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13331947598899643	0.04694444444444444	0.20281102572380888	0.0703110073200923
4	0	Normalized kNN (k=1000, min=3)	0.42942592592592593	0.5788137463348704	0.168	0.6646047474192717	0.24562263824329897
2	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.43042592592592593	0.5781187170501352	0.1703888888888889	0.66481069994277	0.24815813847579274
1	0	Normalized kNN (k=1000, min=3)	0.4339074074074074	0.5846914351920744	0.17020370370370372	0.6689243495213448	0.2480120801021653
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1318893388110315	0.04722222222222222	0.2020995962709082	0.07027906529294466
1	1000	Normalized kNN (k=1000, min=3)	1.0	0.0018281474790254797	7.962962962962962E-4	0.004023532267891101	0.0011800071843230012
4	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.42942592592592593	0.5750298366164094	0.16824074074074075	0.664248099970826	0.24577588398418335
5	1000	Normalized kNN (k=1000, min=3)	1.0	0.0017445084491611049	8.333333333333334E-4	0.003488127861252702	0.0011464848917979293
1	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.4339074074074074	0.5810554220244438	0.17101851851851851	0.6710295138597008	0.24904896835823773
1	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13787996214241124	0.048	0.20617446827699715	0.07152790346033747
5	0	Normalized kNN (k=1000, min=3)	0.4310740740740741	0.5851422845931541	0.1722037037037037	0.6694392204151388	0.2498193420261757
5	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13997647933965904	0.04896296296296297	0.20825102410919583	0.07250665172697561
3	1000	Normalized kNN (k=1000, min=3)	1.0	0.0026748587551766495	0.0012962962962962963	0.0053645290017082835	0.0018123804231096657
5	0	iMF (k=5, lambda=0.1, alpha=10.0)	0.4310740740740741	0.5814487533800637	0.17203703703703704	0.6684579944163661	0.24943493523201157
4	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07082754211576688	0.02659259259259259	0.11651217165679953	0.03998152019039352
2	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.06994048311464653	0.025333333333333336	0.11276767490298231	0.03811797235275339
2	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.43042592592592593	0.5772340383301303	0.1703888888888889	0.66419093883635	0.24810953326494684
4	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.42942592592592593	0.5731257266789413	0.1685185185185185	0.6643870053279407	0.24601507537564507
3	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1386636209309896	0.049351851851851855	0.20433985279759478	0.07304339619604995
1	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.4339074074074074	0.581608737583367	0.17042592592592593	0.6693926458595859	0.2482543820638501
1	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07595705002149002	0.02761111111111111	0.12352994979011439	0.04169451510315923
5	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07117042386443964	0.0267962962962963	0.11277868161752504	0.03977869539985129
5	0	iMF (k=10, lambda=1.0, alpha=100.0)	0.4310740740740741	0.5751054493570463	0.17170370370370372	0.6675054340325721	0.24897801961228483
4	1000	kNN (k=20)	1.0	0.12483035264170349	0.04227777777777778	0.17232633914567147	0.06191548411379734
3	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.07372299741157151	0.027944444444444445	0.11857889985494896	0.04144957143303141
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
2	0	kNN (k=20)	0.43042592592592593	0.5687990263495047	0.16922222222222225	0.66233710623173	0.24679180332933112
4	0	kNN (k=20)	0.42942592592592593	0.5632846807768395	0.16716666666666669	0.6619145315790528	0.24442738783373313
1	1000	kNN (k=20)	1.0	0.1276224015501035	0.043000000000000003	0.18033287236517295	0.06331746141766101
1	0	kNN (k=20)	0.4339074074074074	0.5691455259848803	0.16944444444444445	0.6672516841231361	0.24701984334910423
5	1000	kNN (k=20)	1.0	0.12506402421471283	0.04288888888888889	0.17642167772597933	0.06284956658375984
5	0	kNN (k=20)	0.4310740740740741	0.5685630889339507	0.17064814814814816	0.6654757958688342	0.24780108928083847
3	1000	kNN (k=20)	1.0	0.12549525546508883	0.04240740740740741	0.1721823771909866	0.062019057015117354
4	1000	kNN (k=80)	1.0	0.15306138685572393	0.0532962962962963	0.22366798853674943	0.07879270846561225
2	0	kNN (k=80)	0.43042592592592593	0.5731444729943316	0.1699074074074074	0.6641393453626638	0.24766570181771466
2	1000	kNN (k=80)	1.0	0.15904549098493306	0.05385185185185185	0.2232934176011761	0.07927043773055459
4	0	kNN (k=80)	0.42942592592592593	0.569924564281741	0.16777777777777778	0.6641435404774743	0.24530534623759023
1	1000	kNN (k=80)	1.0	0.1612296983130559	0.05474074074074074	0.23026568069986697	0.08094621964942426
1	0	kNN (k=80)	0.4339074074074074	0.5748837152988975	0.17020370370370372	0.6689848298479342	0.24804471821432997
5	1000	kNN (k=80)	1.0	0.15856756105123312	0.053981481481481484	0.22468318463637346	0.07937191911836365
5	0	kNN (k=80)	0.4310740740740741	0.5745541296518761	0.17137037037037037	0.667563244639672	0.24875413080882447
3	1000	kNN (k=80)	1.0	0.16191062683268564	0.05494444444444444	0.22594723892569551	0.08078721757313492
2	1000	Normalized kNN (k=3000, min=3)	1.0	0.0021673498757338486	7.407407407407407E-4	0.0030679646897768457	0.0010411807865477764
4	1000	Normalized kNN (k=3000, min=3)	1.0	0.002091696263932689	9.62962962962963E-4	0.00370504731097598	0.001321968994661756
2	1000	iMF (k=10, lambda=0.1, alpha=100.0)	1.0	0.0729273559877347	0.027425925925925927	0.11713257030364223	0.04092602204901217
