fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1	0	Random	0.4339074074074074	0.5351441341670231	0.16725925925925927	0.6623922313535634	0.24434262731503492
1	0	Average Rating	0.4339074074074074	0.5766756694575503	0.1696666666666667	0.6683897391798755	0.24752913323428727
4	0	Random	0.42942592592592593	0.5287591406877203	0.1645185185185185	0.6554689322133568	0.2411481463128711
1	0	iMF (k=5, lambda=0.1, alpha=100.0)	0.4339074074074074	0.5812290214276131	0.17072222222222222	0.6702500188680106	0.24866445136977336
2	0	iMF (k=5, lambda=0.1, alpha=100.0)	0.43042592592592593	0.5776909450313291	0.17053703703703704	0.6649632913298384	0.24836498649022698
1	0	iMF (k=5, lambda=10.0, alpha=1.0)	0.4339074074074074	0.5750437338314801	0.17042592592592593	0.6695677606549525	0.24831236756927857
4	0	iMF (k=5, lambda=0.1, alpha=100.0)	0.42942592592592593	0.5760124573051943	0.16803703703703704	0.6642028956488404	0.24561495293145677
5	0	iMF (k=5, lambda=0.1, alpha=100.0)	0.4310740740740741	0.5836210906214001	0.17194444444444446	0.6685782533398685	0.24938391420522152
1	0	iMF (k=10, lambda=0.1, alpha=100.0)	0.4339074074074074	0.5819755434923588	0.17057407407407407	0.6691060276348861	0.2483546732107771
1	0	iMF (k=10, lambda=0.1, alpha=10.0)	0.4339074074074074	0.5860424013660628	0.1712037037037037	0.6709737301372505	0.24919145076036356
1	0	kNN (k=700)	0.4339074074074074	0.5750693428354257	0.17046296296296296	0.6698312198275829	0.24841662238546877
1	0	kNN (k=80)	0.4339074074074074	0.5751425902363875	0.17022222222222222	0.6694174430166585	0.24810753694747034
1	0	kNN (k=10)	0.4339074074074074	0.5624021609003025	0.169	0.6656148087043162	0.24643439732092454
1	0	kNN (k=100)	0.4339074074074074	0.5754285607149497	0.1701851851851852	0.6691181439752096	0.2480445934850227
1	0	Normalized kNN (k=100, min=3)	0.4339074074074074	0.5739889474339779	0.1696111111111111	0.6684627676441017	0.2474014709800678
1	0	kNN (k=40)	0.4339074074074074	0.5734111516378557	0.1696666666666667	0.6679778302752484	0.24735365336815676
4	0	kNN (k=10)	0.42942592592592593	0.5559438853449444	0.16677777777777777	0.6600668449762727	0.24378557211571555
1	0	kNN (k=5000)	0.4339074074074074	0.5691018179825844	0.1698888888888889	0.6690779990002537	0.24783585913100709
1	0	kNN (k=300)	0.4339074074074074	0.5768676866433413	0.17035185185185184	0.6694312883925208	0.2482427652705754
1	0	kNN (k=200)	0.4339074074074074	0.5754438250741275	0.17037037037037037	0.6695944701182025	0.24829490135767882
1	0	kNN (k=400)	0.4339074074074074	0.5758674480786132	0.17042592592592593	0.6697432249127906	0.24835195070167043
1	0	Normalized kNN (k=40, min=3)	0.4339074074074074	0.5703167255105653	0.16903703703703704	0.6666149048092574	0.24664573538480916
1	0	iMF (k=5, lambda=1.0, alpha=10.0)	0.4339074074074074	0.5812662361492733	0.17085185185185187	0.670389386110817	0.2488078287192983
1	0	kNN (k=600)	0.4339074074074074	0.5753915066747919	0.17046296296296296	0.6698647977601805	0.24843344319740182
5	0	Random	0.4310740740740741	0.5336189298421766	0.1686666666666667	0.6603613808342854	0.2453531615358588
