target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
0	Normalized kNN (k=400, min=3)	kNN (k=4000)	1.0	0.6572222222222223	0.9768518518518519	0.9768518518518519	0.9768518518518519
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=3000, min=3)	1.0	0.7257407407407407	0.9812962962962963	0.9812962962962963	0.9812962962962963
0	Normalized kNN (k=400, min=3)	iMF (k=10, lambda=10.0, alpha=100.0)	1.0	0.6405555555555555	0.9768518518518519	0.9768518518518519	0.9768518518518519
0	Normalized kNN (k=400, min=3)	kNN (k=60)	1.0	0.6472222222222223	0.9762962962962963	0.9762962962962963	0.9762962962962963
0	Normalized kNN (k=400, min=3)	kNN (k=300)	1.0	0.6716666666666666	0.975925925925926	0.975925925925926	0.975925925925926
0	Normalized kNN (k=400, min=3)	kNN (k=40)	1.0	0.6381481481481481	0.9753703703703703	0.9753703703703703	0.9753703703703703
0	Normalized kNN (k=400, min=3)	iMF (k=10, lambda=1.0, alpha=10.0)	1.0	0.6577777777777778	0.9761111111111112	0.9761111111111112	0.9761111111111112
0	Normalized kNN (k=400, min=3)	kNN (k=80)	1.0	0.655	0.9785185185185186	0.9785185185185186	0.9785185185185186
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=40, min=3)	1.0	0.6309259259259259	0.9729629629629629	0.9729629629629629	0.9729629629629629
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=10, min=3)	1.0	0.5875925925925926	0.9664814814814815	0.9664814814814815	0.9664814814814815
0	Normalized kNN (k=400, min=3)	iMF (k=5, lambda=0.1, alpha=1.0)	1.0	0.6533333333333333	0.9762962962962963	0.9762962962962963	0.9762962962962963
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=70, min=3)	1.0	0.6553703703703704	0.9755555555555555	0.9755555555555555	0.9755555555555555
0	Normalized kNN (k=400, min=3)	kNN (k=5000)	1.0	0.6568518518518518	0.9764814814814815	0.9764814814814815	0.9764814814814815
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=700, min=3)	1.0	0.7862962962962963	0.9872222222222222	0.9872222222222222	0.9872222222222222
0	Normalized kNN (k=400, min=3)	kNN (k=600)	1.0	0.6659259259259259	0.9790740740740741	0.9790740740740741	0.9790740740740741
0	Normalized kNN (k=400, min=3)	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.6581481481481481	0.9781481481481481	0.9781481481481481	0.9781481481481481
0	Normalized kNN (k=400, min=3)	kNN (k=2000)	1.0	0.6568518518518518	0.9766666666666667	0.9766666666666667	0.9766666666666667
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=5000, min=3)	1.0	0.7229629629629629	0.9801851851851852	0.9801851851851852	0.9801851851851852
0	Normalized kNN (k=400, min=3)	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.6468518518518519	0.9783333333333334	0.9783333333333334	0.9783333333333334
0	Normalized kNN (k=400, min=3)	kNN (k=1000)	1.0	0.6635185185185185	0.9774074074074074	0.9774074074074074	0.9774074074074074
0	Normalized kNN (k=400, min=3)	iMF (k=50, lambda=0.1, alpha=1.0)	1.0	0.6296296296296297	0.9753703703703703	0.9753703703703703	0.9753703703703703
0	Normalized kNN (k=400, min=3)	kNN (k=200)	1.0	0.6666666666666666	0.9764814814814815	0.9764814814814815	0.9764814814814815
0	Normalized kNN (k=400, min=3)	iMF (k=5, lambda=10.0, alpha=100.0)	1.0	0.6546296296296297	0.9788888888888889	0.9788888888888889	0.9788888888888889
0	Normalized kNN (k=400, min=3)	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.6570370370370371	0.9775925925925926	0.9775925925925926	0.9775925925925926
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=60, min=3)	1.0	0.6516666666666666	0.9740740740740741	0.9740740740740741	0.9740740740740741
0	Normalized kNN (k=400, min=3)	iMF (k=50, lambda=1.0, alpha=100.0)	1.0	0.627962962962963	0.9772222222222222	0.9772222222222222	0.9772222222222222
0	Normalized kNN (k=400, min=3)	iMF (k=5, lambda=10.0, alpha=10.0)	1.0	0.6624074074074074	0.977037037037037	0.977037037037037	0.977037037037037
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=500, min=3)	1.0	0.845	0.992037037037037	0.992037037037037	0.992037037037037
0	Normalized kNN (k=400, min=3)	kNN (k=900)	1.0	0.6642592592592592	0.9781481481481481	0.9781481481481481	0.9781481481481481
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=800, min=3)	1.0	0.7718518518518519	0.9857407407407407	0.9857407407407407	0.9857407407407407
0	Normalized kNN (k=400, min=3)	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.6614814814814814	0.9768518518518519	0.9768518518518519	0.9768518518518519
0	Normalized kNN (k=400, min=3)	kNN (k=10)	1.0	0.6096296296296296	0.9737037037037037	0.9737037037037037	0.9737037037037037
0	Normalized kNN (k=400, min=3)	Random	1.0	0.5818518518518518	0.9687037037037037	0.9687037037037037	0.9687037037037037
0	Normalized kNN (k=400, min=3)	Normalized kNN (k=100, min=3)	1.0	0.6777777777777778	0.9790740740740741	0.9790740740740741	0.9790740740740741
