target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	Average Rating	iMF (test)	0.0	0.6229629629629629	0.6229629629629629	0.6229629629629629	0.6229629629629629
1000	Average Rating	Random	0.0	0.9724074074074074	0.9724074074074074	0.9724074074074074	0.9724074074074074
1000	Average Rating	kNN (full)	0.0	0.6124074074074074	0.6124074074074074	0.6124074074074074	0.6124074074074074
1000	Average Rating	Normalized kNN (full)	0.0	0.6662962962962963	0.6662962962962963	0.6662962962962963	0.6662962962962963
1000	Average Rating	kNN (test)	0.0	0.6218518518518519	0.6218518518518519	0.6218518518518519	0.6218518518518519
1000	Average Rating	Popularity	0.0	0.7235185185185186	0.7235185185185186	0.7235185185185186	0.7235185185185186
1000	Average Rating	iMF (full)	0.0	0.6022222222222222	0.6022222222222222	0.6022222222222222	0.6022222222222222
1000	Average Rating	Normalized kNN (test)	0.0	0.9824074074074074	0.9824074074074074	0.9824074074074074	0.9824074074074074
1000	iMF (test)	Random	0.0	0.6238888888888889	0.6238888888888889	0.6238888888888889	0.6238888888888889
1000	iMF (test)	kNN (full)	0.0	0.5574074074074075	0.5574074074074075	0.5574074074074075	0.5574074074074075
1000	iMF (test)	Normalized kNN (full)	0.0	0.5655555555555556	0.5655555555555556	0.5655555555555556	0.5655555555555556
1000	iMF (test)	kNN (test)	0.0	0.5590740740740741	0.5590740740740741	0.5590740740740741	0.5590740740740741
1000	iMF (test)	Popularity	0.0	0.5677777777777778	0.5677777777777778	0.5677777777777778	0.5677777777777778
1000	iMF (test)	iMF (full)	0.0	0.562962962962963	0.562962962962963	0.562962962962963	0.562962962962963
1000	iMF (test)	Normalized kNN (test)	0.0	0.6214814814814815	0.6214814814814815	0.6214814814814815	0.6214814814814815
1000	Random	kNN (full)	0.0	0.6129629629629629	0.6129629629629629	0.6129629629629629	0.6129629629629629
1000	Random	Normalized kNN (full)	0.0	0.6653703703703704	0.6653703703703704	0.6653703703703704	0.6653703703703704
1000	Random	kNN (test)	0.0	0.622037037037037	0.622037037037037	0.622037037037037	0.622037037037037
1000	Random	Popularity	0.0	0.7216666666666667	0.7216666666666667	0.7216666666666667	0.7216666666666667
1000	Random	iMF (full)	0.0	0.602037037037037	0.602037037037037	0.602037037037037	0.602037037037037
1000	Random	Normalized kNN (test)	0.0	0.9705555555555555	0.9705555555555555	0.9705555555555555	0.9705555555555555
1000	kNN (full)	Normalized kNN (full)	0.0	0.5790740740740741	0.5790740740740741	0.5790740740740741	0.5790740740740741
1000	kNN (full)	kNN (test)	0.0	0.5929629629629629	0.5929629629629629	0.5929629629629629	0.5929629629629629
1000	kNN (full)	Popularity	0.0	0.590925925925926	0.590925925925926	0.590925925925926	0.590925925925926
1000	kNN (full)	iMF (full)	0.0	0.5607407407407408	0.5607407407407408	0.5607407407407408	0.5607407407407408
1000	kNN (full)	Normalized kNN (test)	0.0	0.6116666666666667	0.6116666666666667	0.6116666666666667	0.6116666666666667
1000	Normalized kNN (full)	kNN (test)	0.0	0.5766666666666667	0.5766666666666667	0.5766666666666667	0.5766666666666667
1000	Normalized kNN (full)	Popularity	0.0	0.6027777777777777	0.6027777777777777	0.6027777777777777	0.6027777777777777
1000	Normalized kNN (full)	iMF (full)	0.0	0.5618518518518518	0.5618518518518518	0.5618518518518518	0.5618518518518518
1000	Normalized kNN (full)	Normalized kNN (test)	0.0	0.6648148148148149	0.6648148148148149	0.6648148148148149	0.6648148148148149
1000	kNN (test)	Popularity	0.0	0.6079629629629629	0.6079629629629629	0.6079629629629629	0.6079629629629629
1000	kNN (test)	iMF (full)	0.0	0.5683333333333334	0.5683333333333334	0.5683333333333334	0.5683333333333334
1000	kNN (test)	Normalized kNN (test)	0.0	0.6211111111111111	0.6211111111111111	0.6211111111111111	0.6211111111111111
1000	Popularity	iMF (full)	0.0	0.5668518518518518	0.5668518518518518	0.5668518518518518	0.5668518518518518
1000	Popularity	Normalized kNN (test)	0.0	0.7216666666666667	0.7216666666666667	0.7216666666666667	0.7216666666666667
1000	iMF (full)	Normalized kNN (test)	0.0	0.6003703703703703	0.6003703703703703	0.6003703703703703	0.6003703703703703
