fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
5	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.15089175869713292	0.051425925925925924	0.21495422502731887	0.07587428593007321
4	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.1437030525895432	0.049962962962962966	0.21093742448105837	0.07407408231214521
2	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.14828939515685965	0.051055555555555555	0.21210406841273147	0.07533183596243738
1	1000	iMF (k=5, lambda=3.0, alpha=1.0)	1.0	0.1499197491559407	0.0512962962962963	0.21465984917703543	0.07573317343030844
1	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1379916229071396	0.04774074074074074	0.20486691120346634	0.07121974187564292
5	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.1381716427951187	0.04844444444444445	0.20668632762174566	0.0719466792798926
2	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13568720838587553	0.047759259259259265	0.20405477224633845	0.07103990915041604
4	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.13316930549464623	0.047092592592592596	0.2031986919996346	0.0704489259950695
1	1000	kNN (k=20)	1.0	0.1276224015501035	0.043000000000000003	0.18033287236517295	0.06331746141766101
2	1000	kNN (k=20)	1.0	0.13058635177874817	0.04357407407407408	0.17783715279481785	0.06362409992425196
5	1000	kNN (k=20)	1.0	0.12506402421471283	0.04288888888888889	0.17642167772597933	0.06284956658375984
4	1000	kNN (k=20)	1.0	0.12483035264170349	0.04227777777777778	0.17232633914567147	0.06191548411379734
1	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.14798638040326284	0.04964814814814815	0.21485746593342497	0.07403458280728094
2	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.15172037296991453	0.05053703703703704	0.21265834126269326	0.07456515025989421
4	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.14575510459816918	0.0492037037037037	0.20998834969078337	0.07329935436832678
5	1000	iMF (k=30, lambda=5.0, alpha=5.0)	1.0	0.14973708405031116	0.05074074074074074	0.21468619696759259	0.07492289280788314
1	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.14790994132400098	0.05098148148148148	0.22169109073195647	0.07626489883745836
2	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.13960745115667278	0.04868518518518519	0.20975964483830908	0.07260982148274123
5	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.14043980475576817	0.050018518518518525	0.21233406202318716	0.07415832821021473
4	1000	iMF (k=10, lambda=1.0, alpha=15.0)	1.0	0.14084527050414955	0.049166666666666664	0.21249767129463454	0.07360523969591908
1	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.172888382132669	0.057444444444444444	0.24283686527737422	0.08493491520562932
2	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16303458931186618	0.05557407407407408	0.2310521774708404	0.08188668761971085
4	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.16159825596905375	0.054592592592592595	0.23233334549236875	0.0809299300314887
5	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.1687163729011561	0.056925925925925935	0.23733738639662855	0.08378716485500315
1	1000	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.1452968464596548	0.050907407407407415	0.22139046794737485	0.07608302086706577
1	1000	Average Rating	1.0	8.384406204741109E-4	4.814814814814815E-4	0.0017425879036134036	6.506285926895076E-4
2	1000	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.14065180659297966	0.04866666666666667	0.20977851032037742	0.07244909868674555
2	1000	Average Rating	1.0	0.0022192007085439854	0.0010925925925925927	0.004089205276237851	0.001502672058636111
5	1000	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.1400535056906447	0.04981481481481481	0.2117957621505463	0.07391158946163444
5	1000	Average Rating	1.0	0.0016536457453755096	7.037037037037038E-4	0.002894179894179894	0.0010021176777712726
4	1000	iMF (k=10, lambda=0.5, alpha=15.0)	1.0	0.13934114764588051	0.04855555555555555	0.21101334120304863	0.07289715066478927
4	1000	Average Rating	1.0	0.0018997901492690526	9.074074074074074E-4	0.003582561153976333	0.0012493062751408781
1	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.13677389079241392	0.04807407407407408	0.20707240970356838	0.07168793185998162
2	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.13637274995602755	0.047296296296296295	0.2020938142250497	0.07049990993035889
5	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.13754430393072495	0.048259259259259266	0.2061166461304132	0.07178724566847648
4	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.1345245732128101	0.04753703703703704	0.20650208947985274	0.07132002278302534
1	1000	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.13848928281177333	0.04546296296296296	0.1939562489409071	0.06728715422742791
5	1000	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.13682733644210673	0.045500000000000006	0.18858736455610753	0.06681430753012638
2	1000	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.14155813053331948	0.04712962962962963	0.19696500558332036	0.06928433925273898
