target size	recommender system 1	recommender system 2	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=50)	0.0	0.5525925925925926	0.5525925925925926	0.5525925925925926	0.5525925925925926
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=100.0)	0.0	0.5987037037037037	0.5987037037037037	0.5987037037037037	0.5987037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=90)	0.0	0.5425925925925926	0.5425925925925926	0.5425925925925926	0.5425925925925926
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=20, min=3)	0.0	0.5637037037037037	0.5637037037037037	0.5637037037037037	0.5637037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=0.1, alpha=1.0)	0.0	0.5468518518518518	0.5468518518518518	0.5468518518518518	0.5468518518518518
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=300, min=3)	0.0	0.6585185185185185	0.6585185185185185	0.6585185185185185	0.6585185185185185
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=80, min=3)	0.0	0.617037037037037	0.617037037037037	0.617037037037037	0.617037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=50, lambda=10.0, alpha=10.0)	0.0	0.5914814814814815	0.5914814814814815	0.5914814814814815	0.5914814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=10.0, alpha=10.0)	0.0	0.5477777777777778	0.5477777777777778	0.5477777777777778	0.5477777777777778
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=100.0)	0.0	0.6022222222222222	0.6022222222222222	0.6022222222222222	0.6022222222222222
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=700)	0.0	0.5425925925925926	0.5425925925925926	0.5425925925925926	0.5425925925925926
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=10)	0.0	0.5940740740740741	0.5940740740740741	0.5940740740740741	0.5940740740740741
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=400, min=3)	0.0	0.6635185185185185	0.6635185185185185	0.6635185185185185	0.6635185185185185
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=2000, min=3)	0.0	0.6692592592592592	0.6692592592592592	0.6692592592592592	0.6692592592592592
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=10, min=3)	0.0	0.605	0.605	0.605	0.605
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=4000)	0.0	0.5477777777777778	0.5477777777777778	0.5477777777777778	0.5477777777777778
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=5, lambda=1.0, alpha=10.0)	0.0	0.5546296296296296	0.5546296296296296	0.5546296296296296	0.5546296296296296
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=70, min=3)	0.0	0.6131481481481481	0.6131481481481481	0.6131481481481481	0.6131481481481481
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=1000, min=3)	0.0	0.6681481481481482	0.6681481481481482	0.6681481481481482	0.6681481481481482
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=400)	0.0	0.5427777777777778	0.5427777777777778	0.5427777777777778	0.5427777777777778
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=1.0, alpha=10.0)	0.0	0.5464814814814815	0.5464814814814815	0.5464814814814815	0.5464814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=40)	0.0	0.5551851851851852	0.5551851851851852	0.5551851851851852	0.5551851851851852
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=3000)	0.0	0.5468518518518518	0.5468518518518518	0.5468518518518518	0.5468518518518518
1000	iMF (k=50, lambda=1.0, alpha=10.0)	kNN (k=80)	0.0	0.5433333333333333	0.5433333333333333	0.5433333333333333	0.5433333333333333
1000	iMF (k=50, lambda=1.0, alpha=10.0)	iMF (k=10, lambda=0.1, alpha=10.0)	0.0	0.5514814814814815	0.5514814814814815	0.5514814814814815	0.5514814814814815
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=4000, min=3)	0.0	0.6687037037037037	0.6687037037037037	0.6687037037037037	0.6687037037037037
1000	iMF (k=50, lambda=1.0, alpha=10.0)	Normalized kNN (k=30, min=3)	0.0	0.5748148148148148	0.5748148148148148	0.5748148148148148	0.5748148148148148
