fold	target size	recommender system	Coverage@10	nDCG@10	P@10	Recall@10	FScore@10
3	1000	Normalized kNN (k=1000, min=3)	1.0	0.004900307684872052	0.0015555555555555557	0.008499485596707818	0.002492718836286088
3	1000	iMF (k=5, lambda=0.1, alpha=10.0)	1.0	0.020558697186849398	0.005833333333333334	0.038112213403880074	0.009700701289753578
3	1000	iMF (k=10, lambda=1.0, alpha=100.0)	1.0	0.015944724858883902	0.0045000000000000005	0.029890873015873013	0.007530247832535415
3	1000	kNN (k=20)	1.0	0.020637312342753827	0.0054444444444444445	0.0337745443856555	0.0089734590553734
3	1000	kNN (k=80)	1.0	0.02430536887128354	0.006462962962962963	0.04323236331569665	0.010831330797017072
3	1000	iMF (k=50, lambda=10.0, alpha=100.0)	1.0	0.017344593945586854	0.004666666666666667	0.030696869488536158	0.007791845076975796
3	1000	Normalized kNN (k=200, min=3)	1.0	0.007655367362518603	0.0025	0.015266093474426807	0.004126877691420176
3	1000	iMF (k=10, lambda=0.1, alpha=1.0)	1.0	0.02537334904843515	0.006777777777777778	0.04468320105820106	0.011326869874255496
3	1000	Normalized kNN (k=10, min=3)	1.0	0.013726532911770199	0.003314814814814815	0.02188668430335097	0.00549296854198815
3	1000	kNN (k=60)	1.0	0.02445976126062799	0.006388888888888889	0.04226014109347443	0.010687053777740053
3	1000	Average Rating	1.0	0.00341713487498291	0.0014074074074074076	0.007731995884773663	0.002275400336072851
3	1000	kNN (k=40)	1.0	0.02441783003797239	0.006425925925925926	0.04284656084656085	0.010744648960335236
3	1000	iMF (k=5, lambda=1.0, alpha=10.0)	1.0	0.02164381865291264	0.0060185185185185185	0.038990079365079366	0.010008669918800638
3	1000	iMF (k=50, lambda=1.0, alpha=1.0)	1.0	0.022867252011610134	0.005888888888888889	0.03952425044091711	0.009859014684178083
3	1000	Normalized kNN (k=40, min=3)	1.0	0.016903559554806716	0.005074074074074075	0.03357686654908877	0.008467065628443338
3	1000	iMF (k=10, lambda=0.1, alpha=10.0)	1.0	0.025333434878668137	0.006925925925925926	0.04571693121693122	0.011597814827389991
3	1000	Normalized kNN (k=70, min=3)	1.0	0.01303272244067791	0.003944444444444445	0.02609839800117578	0.006563294994065548
3	1000	kNN (k=700)	1.0	0.02215703280420929	0.006	0.03758605232216344	0.009924974980745535
3	1000	Normalized kNN (k=500, min=3)	1.0	0.005596540917307203	0.0017962962962962965	0.010263080540858317	0.002907478285961258
3	1000	Normalized kNN (k=900, min=3)	1.0	0.005595618949980529	0.001851851851851852	0.010665637860082304	0.0030067913730194434
3	1000	iMF (k=10, lambda=10.0, alpha=10.0)	1.0	0.02527109676146521	0.00687037037037037	0.04488359788359788	0.011482374711949876
3	1000	kNN (k=300)	1.0	0.023861509062364488	0.006407407407407408	0.04176609347442681	0.010664918354460838
3	1000	iMF (k=10, lambda=10.0, alpha=1.0)	1.0	0.02504061660764339	0.006777777777777778	0.04430489417989418	0.011311223846354565
3	1000	iMF (k=50, lambda=1.0, alpha=10.0)	1.0	0.021361328382509422	0.0055000000000000005	0.037783068783068786	0.009259160018146946
3	1000	Normalized kNN (k=300, min=3)	1.0	0.0058947149044461045	0.0019629629629629632	0.011853615520282187	0.0032383153339035696
3	1000	kNN (k=5000)	1.0	0.020511227424269668	0.005555555555555556	0.03441497648442093	0.009145750755442878
3	1000	iMF (k=10, lambda=1.0, alpha=1.0)	1.0	0.024201953005453795	0.006500000000000001	0.04274316578483245	0.01085140126153198
3	1000	iMF (k=5, lambda=10.0, alpha=1.0)	1.0	0.0229954394919241	0.0061666666666666675	0.040159832451499115	0.010238728440525827
3	1000	Normalized kNN (k=20, min=3)	1.0	0.019224021354957765	0.005537037037037037	0.03455386537330982	0.009113112097804221
3	1000	kNN (k=4000)	1.0	0.020552270929344817	0.005555555555555556	0.03441497648442093	0.009145750755442878
3	1000	kNN (k=800)	1.0	0.021858217617416693	0.005870370370370371	0.03684531158142269	0.009710436432873653
3	1000	kNN (k=3000)	1.0	0.020657608028823545	0.005666666666666667	0.03497670487948266	0.009325194768220224
3	1000	iMF (k=50, lambda=0.1, alpha=100.0)	1.0	0.01517203519954673	0.004425925925925926	0.028259773662551443	0.007363133590472771
3	1000	Normalized kNN (k=80, min=3)	1.0	0.011557791212680994	0.003611111111111111	0.023375881834215167	0.0059925934027241215
3	1000	Popularity	1.0	0.01396709877931881	0.004240740740740741	0.02592092886537331	0.006959227251108917
3	1000	Normalized kNN (k=600, min=3)	1.0	0.005471086060146465	0.0016666666666666668	0.009455761316872428	0.0026924282669896706
